State,DivisionId,DivisionAb,DivisionName,PartyAb,CandidateSurname,Votes
ACT,318,BEAN,Bean,ON,AMBARD,2680
ACT,318,BEAN,Bean,LP,HIATT,29241
ACT,318,BEAN,Bean,GRN,SAVERY,14559
ACT,318,BEAN,Bean,UAPP,CONWAY,2831
ACT,318,BEAN,Bean,ALP,SMITH,41060
ACT,318,BEAN,Bean,IND,CHRISTIE,8023
ACT,318,BEAN,Bean,,Informal,2915
ACT,101,CANB,Canberra,,Informal,1668
ACT,101,CANB,Canberra,ON,MILES,1531
ACT,101,CANB,Canberra,UAPP,SMITH,1687
ACT,101,CANB,Canberra,ALP,PAYNE,41435
ACT,101,CANB,Canberra,LP,MINSON,20102
ACT,101,CANB,Canberra,IND,BOHM,4772
ACT,101,CANB,Canberra,GRN,HOLLO,22795
ACT,102,FENN,Fenner,,Informal,2533
ACT,102,FENN,Fenner,ALP,LEIGH,44100
ACT,102,FENN,Fenner,UAPP,ELTON,2346
ACT,102,FENN,Fenner,GRN,SOJIC,15294
ACT,102,FENN,Fenner,LP,KUSTER,25416
ACT,102,FENN,Fenner,ON,GRANT,2419
ACT,102,FENN,Fenner,LDP,JAKEMAN,1706
NSW,103,BANK,Banks,,KHOUW,886
NSW,103,BANK,Banks,ALP,ALP_BANK,35509
NSW,103,BANK,Banks,LP,LP_BANK,44197
NSW,103,BANK,Banks,GRN,GRN_BANK,8536
NSW,103,BANK,Banks,ON,ON_BANK,3240
NSW,103,BANK,Banks,LDP,LDP_BANK,1156
NSW,103,BANK,Banks,UAPP,UAPP_BANK,5563
NSW,103,BANK,Banks,,Informal,7274
NSW,104,BART,Barton,,Informal,8447
NSW,104,BART,Barton,,KHOUW,75
NSW,104,BART,Barton,ALP,ALP_BART,46861
NSW,104,BART,Barton,LP,LP_BART,28705
NSW,104,BART,Barton,GRN,GRN_BART,10749
NSW,104,BART,Barton,ON,ON_BART,4742
NSW,104,BART,Barton,LDP,LDP_BART,108
NSW,104,BART,Barton,UAPP,UAPP_BART,6400
NSW,105,BENN,Bennelong,IND,TINK,8698
NSW,105,BENN,Bennelong,ALP,ALP_BENN,33911
NSW,105,BENN,Bennelong,LP,LP_BENN,42996
NSW,105,BENN,Bennelong,GRN,GRN_BENN,10927
NSW,105,BENN,Bennelong,ON,ON_BENN,1625
NSW,105,BENN,Bennelong,LDP,LDP_BENN,1517
NSW,105,BENN,Bennelong,SPP,SPP_BENN,425
NSW,105,BENN,Bennelong,IMO,IMO_BENN,181
NSW,105,BENN,Bennelong,UAPP,UAPP_BENN,2788
NSW,105,BENN,Bennelong,DPDA,DPDA_BENN,814
NSW,105,BENN,Bennelong,SOPA,SOPA_BENN,1486
NSW,105,BENN,Bennelong,TNL,TNL_BENN,317
NSW,105,BENN,Bennelong,,Informal,6318
NSW,106,BERO,Berowra,,Informal,6805
NSW,106,BERO,Berowra,IND,WOODWARD,821
NSW,106,BERO,Berowra,IND,BOELE,2322
NSW,106,BERO,Berowra,IND,KITSON,366
NSW,106,BERO,Berowra,IND,DUNCAN-STRELEC,0
NSW,106,BERO,Berowra,IND,CASWELL,1696
NSW,106,BERO,Berowra,ALP,ALP_BERO,26634
NSW,106,BERO,Berowra,LP,LP_BERO,52772
NSW,106,BERO,Berowra,GRN,GRN_BERO,16653
NSW,106,BERO,Berowra,ASP,ASP_BERO,0
NSW,106,BERO,Berowra,ON,ON_BERO,3207
NSW,106,BERO,Berowra,LDP,LDP_BERO,2267
NSW,106,BERO,Berowra,CYA,CYA_BERO,473
NSW,106,BERO,Berowra,UAPP,UAPP_BERO,2869
NSW,106,BERO,Berowra,DPDA,DPDA_BERO,185
NSW,106,BERO,Berowra,SOPA,SOPA_BERO,1553
NSW,107,BLAX,Blaxland,GRN,GRN_BLAX,5680
NSW,107,BLAX,Blaxland,ON,ON_BLAX,3706
NSW,107,BLAX,Blaxland,LDP,LDP_BLAX,918
NSW,107,BLAX,Blaxland,AJP,AJP_BLAX,526
NSW,107,BLAX,Blaxland,UAPP,UAPP_BLAX,6062
NSW,107,BLAX,Blaxland,,Informal,10873
NSW,107,BLAX,Blaxland,IND,CHRISTOU,837
NSW,107,BLAX,Blaxland,ALP,ALP_BLAX,42959
NSW,107,BLAX,Blaxland,LP,LP_BLAX,22639
NSW,108,BRFD,Bradfield,,Informal,4536
NSW,108,BRFD,Bradfield,IND,BOELE,17876
NSW,108,BRFD,Bradfield,IND,KITSON,2652
NSW,108,BRFD,Bradfield,IND,TINK,7574
NSW,108,BRFD,Bradfield,ALP,ALP_BRFD,19743
NSW,108,BRFD,Bradfield,LP,LP_BRFD,48602
NSW,108,BRFD,Bradfield,GRN,GRN_BRFD,9592
NSW,108,BRFD,Bradfield,ON,ON_BRFD,1633
NSW,108,BRFD,Bradfield,LDP,LDP_BRFD,322
NSW,108,BRFD,Bradfield,SPP,SPP_BRFD,354
NSW,108,BRFD,Bradfield,IMO,IMO_BRFD,150
NSW,108,BRFD,Bradfield,UAPP,UAPP_BRFD,2577
NSW,108,BRFD,Bradfield,TNL,TNL_BRFD,259
NSW,109,CALA,Calare,,Informal,4455
NSW,109,CALA,Calare,IND,HOOK,21891
NSW,109,CALA,Calare,UAPP,JANNIS,4067
NSW,109,CALA,Calare,GRN,NANKERVIS,4891
NSW,109,CALA,Calare,NP,GEE,51161
NSW,109,CALA,Calare,ALP,ELLIOTT,16252
NSW,109,CALA,Calare,ON,WHITTAKER,9057
NSW,111,CHIF,Chifley,,Informal,8551
NSW,111,CHIF,Chifley,IND,KHAN,1666
NSW,111,CHIF,Chifley,ALP,ALP_CHIF,46460
NSW,111,CHIF,Chifley,LP,LP_CHIF,21584
NSW,111,CHIF,Chifley,GRN,GRN_CHIF,4975
NSW,111,CHIF,Chifley,ON,ON_CHIF,5444
NSW,111,CHIF,Chifley,LDP,LDP_CHIF,2897
NSW,111,CHIF,Chifley,UAPP,UAPP_CHIF,4637
NSW,112,COOK,Cook,,Informal,4369
NSW,112,COOK,Cook,IND,STEELE,3184
NSW,112,COOK,Cook,IND,SEYMOUR,660
NSW,112,COOK,Cook,ALP,ALP_COOK,24642
NSW,112,COOK,Cook,LP,LP_COOK,55142
NSW,112,COOK,Cook,GRN,GRN_COOK,9687
NSW,112,COOK,Cook,ON,ON_COOK,4536
NSW,112,COOK,Cook,UAPP,UAPP_COOK,4797
NSW,113,COWP,Cowper,,Informal,5658
NSW,113,COWP,Cowper,IND,HEISE,28558
NSW,113,COWP,Cowper,ALP,ALP_COWP,15278
NSW,113,COWP,Cowper,NP,NP_COWP,43124
NSW,113,COWP,Cowper,GRN,GRN_COWP,6387
NSW,113,COWP,Cowper,ON,ON_COWP,8913
NSW,113,COWP,Cowper,LDP,LDP_COWP,4234
NSW,113,COWP,Cowper,UAPP,UAPP_COWP,2618
NSW,114,CUNN,Cunningham,,Informal,6306
NSW,114,CUNN,Cunningham,ALP,ALP_CUNN,46037
NSW,114,CUNN,Cunningham,LP,LP_CUNN,27347
NSW,114,CUNN,Cunningham,GRN,GRN_CUNN,23090
NSW,114,CUNN,Cunningham,CEC,CEC_CUNN,1098
NSW,114,CUNN,Cunningham,ON,ON_CUNN,5994
NSW,114,CUNN,Cunningham,LDP,LDP_CUNN,2578
NSW,114,CUNN,Cunningham,UAPP,UAPP_CUNN,5602
NSW,115,DOBE,Dobell,SOPA,SOPA_DOBE,2194
NSW,115,DOBE,Dobell,,Informal,4917
NSW,115,DOBE,Dobell,ALP,ALP_DOBE,43517
NSW,115,DOBE,Dobell,LP,LP_DOBE,34168
NSW,115,DOBE,Dobell,GRN,GRN_DOBE,8680
NSW,115,DOBE,Dobell,ON,ON_DOBE,7555
NSW,115,DOBE,Dobell,LDP,LDP_DOBE,1536
NSW,115,DOBE,Dobell,UAPP,UAPP_DOBE,3807
NSW,117,EMON,Eden-Monaro,,Informal,7079
NSW,117,EMON,Eden-Monaro,IND,DIGIGLIO,71
NSW,117,EMON,Eden-Monaro,IND,THALER,1676
NSW,117,EMON,Eden-Monaro,IND,MENERIPITIYAGE DONA,225
NSW,117,EMON,Eden-Monaro,IND,ACKERY,4046
NSW,117,EMON,Eden-Monaro,ALP,ALP_EMON,39455
NSW,117,EMON,Eden-Monaro,LP,LP_EMON,35217
NSW,117,EMON,Eden-Monaro,GRN,GRN_EMON,8796
NSW,117,EMON,Eden-Monaro,ASP,ASP_EMON,724
NSW,117,EMON,Eden-Monaro,ON,ON_EMON,4477
NSW,117,EMON,Eden-Monaro,LDP,LDP_EMON,2072
NSW,117,EMON,Eden-Monaro,SPP,SPP_EMON,1788
NSW,117,EMON,Eden-Monaro,AUD,AUD_EMON,499
NSW,117,EMON,Eden-Monaro,IMO,IMO_EMON,723
NSW,117,EMON,Eden-Monaro,UAPP,UAPP_EMON,2708
NSW,118,FARR,Farrer,,Informal,8256
NSW,118,FARR,Farrer,IND,DUNCAN-STRELEC,3189
NSW,118,FARR,Farrer,ALP,ALP_FARR,19097
NSW,118,FARR,Farrer,LP,LP_FARR,52566
NSW,118,FARR,Farrer,GRN,GRN_FARR,9163
NSW,118,FARR,Farrer,ASP,ASP_FARR,5339
NSW,118,FARR,Farrer,ON,ON_FARR,6363
NSW,118,FARR,Farrer,LDP,LDP_FARR,1595
NSW,118,FARR,Farrer,UAPP,UAPP_FARR,3270
NSW,119,FOWL,Fowler,,Informal,10544
NSW,119,FOWL,Fowler,IND,LE,25346
NSW,119,FOWL,Fowler,ALP,ALP_FOWL,32791
NSW,119,FOWL,Fowler,LP,LP_FOWL,15763
NSW,119,FOWL,Fowler,GRN,GRN_FOWL,4373
NSW,119,FOWL,Fowler,ON,ON_FOWL,3241
NSW,119,FOWL,Fowler,LDP,LDP_FOWL,2190
NSW,119,FOWL,Fowler,UAPP,UAPP_FOWL,5885
NSW,120,GILM,Gilmore,,Informal,5082
NSW,120,GILM,Gilmore,IND,DIGIGLIO,4650
NSW,120,GILM,Gilmore,ALP,ALP_GILM,39450
NSW,120,GILM,Gilmore,LP,LP_GILM,46102
NSW,120,GILM,Gilmore,GRN,GRN_GILM,11226
NSW,120,GILM,Gilmore,ON,ON_GILM,4387
NSW,120,GILM,Gilmore,LDP,LDP_GILM,880
NSW,120,GILM,Gilmore,UAPP,UAPP_GILM,3059
NSW,121,GRAY,Grayndler,,Informal,5533
NSW,121,GRAY,Grayndler,IND,KILHAM,1543
NSW,121,GRAY,Grayndler,ALP,ALP_GRAY,55173
NSW,121,GRAY,Grayndler,LP,LP_GRAY,18682
NSW,121,GRAY,Grayndler,GRN,GRN_GRAY,21916
NSW,121,GRAY,Grayndler,CEC,CEC_GRAY,0
NSW,121,GRAY,Grayndler,ON,ON_GRAY,2399
NSW,121,GRAY,Grayndler,SAL,SAL_GRAY,0
NSW,121,GRAY,Grayndler,AJP,AJP_GRAY,908
NSW,121,GRAY,Grayndler,UAPP,UAPP_GRAY,3068
NSW,121,GRAY,Grayndler,SOPA,SOPA_GRAY,999
NSW,122,GREE,Greenway,,Informal,6762
NSW,122,GREE,Greenway,IND,BOSI,2425
NSW,122,GREE,Greenway,IND,NANDA,1219
NSW,122,GREE,Greenway,ALP,ALP_GREE,37966
NSW,122,GREE,Greenway,LP,LP_GREE,28386
NSW,122,GREE,Greenway,GRN,GRN_GREE,6482
NSW,122,GREE,Greenway,ON,ON_GREE,2302
NSW,122,GREE,Greenway,LDP,LDP_GREE,2536
NSW,122,GREE,Greenway,UAPP,UAPP_GREE,3477
NSW,124,HUGH,Hughes,,Informal,5366
NSW,124,HUGH,Hughes,IND,STEELE,10707
NSW,124,HUGH,Hughes,IND,SEYMOUR,2478
NSW,124,HUGH,Hughes,ALP,ALP_HUGH,27501
NSW,124,HUGH,Hughes,LP,LP_HUGH,39793
NSW,124,HUGH,Hughes,GRN,GRN_HUGH,6331
NSW,124,HUGH,Hughes,ON,ON_HUGH,3396
NSW,124,HUGH,Hughes,LDP,LDP_HUGH,1148
NSW,124,HUGH,Hughes,UAPP,UAPP_HUGH,7148
NSW,125,HUME,Hume,,Informal,7014
NSW,125,HUME,Hume,IND,MENERIPITIYAGE DONA,665
