State,DivisionId,DivisionAb,DivisionName,TCPCandidate,PreferenceVotes,CandidateId,CandidateSurname,PartyAb,,,,
ACT,318,BEAN,Bean,1,61935,36231,SMITH,ALP,,,,
ACT,318,BEAN,Bean,2,36459,37198,HIATT,LP,,,,
ACT,101,CANB,Canberra,1,34901,36241,HOLLO,GRN,,,,
ACT,101,CANB,Canberra,2,57421,36228,PAYNE,ALP,,,,s
ACT,102,FENN,Fenner,1,59966,36234,LEIGH,ALP,,,,
ACT,102,FENN,Fenner,2,31315,37203,KUSTER,LP,,,,
NSW,103,BANK,Banks,1,46927,40251,ALP_BANK,ALP,,,,
NSW,103,BANK,Banks,2,52159,40252,LP_BANK,LP,,,,
NSW,104,BART,Barton,1,60530,40257,ALP_BART,ALP,,,,
NSW,104,BART,Barton,2,37111,40258,LP_BART,LP,,,,
NSW,105,BENN,Bennelong,1,52884,40264,LP_BENN,LP,,,,
NSW,105,BENN,Bennelong,2,52801,40263,ALP_BENN,ALP,,,,
NSW,106,BERO,Berowra,1,64359,40275,LP_BERO,LP,,,,
NSW,106,BERO,Berowra,2,47460,40274,ALP_BERO,ALP,,,,
NSW,107,BLAX,Blaxland,1,52529,40284,ALP_BLAX,ALP,,,,
NSW,107,BLAX,Blaxland,2,30797,40285,LP_BLAX,LP,,,,
NSW,108,BRFD,Bradfield,1,59448,40292,LP_BRFD,LP,,,,
NSW,108,BRFD,Bradfield,2,51883,36047,BOELE,IND,,,,
NSW,109,CALA,Calare,1,64047,36348,GEE,NP,,,,
NSW,109,CALA,Calare,2,43272,35951,HOOK,IND,,,,
NSW,111,CHIF,Chifley,1,55795,40300,ALP_CHIF,ALP,,,,
NSW,111,CHIF,Chifley,2,31868,40301,LP_CHIF,LP,,,,
NSW,112,COOK,Cook,1,63255,40307,LP_COOK,LP,,,,
NSW,112,COOK,Cook,2,39394,40306,ALP_COOK,ALP,,,,
NSW,113,COWP,Cowper,1,57180,40312,NP_COWP,NP,,,,
NSW,113,COWP,Cowper,2,51933,36245,HEISE,IND,,,,
NSW,114,CUNN,Cunningham,1,72717,40317,ALP_CUNN,ALP,,,,
NSW,114,CUNN,Cunningham,2,39030,40318,LP_CUNN,LP,,,,
NSW,115,DOBE,Dobell,1,57383,40324,ALP_DOBE,ALP,,,,
NSW,115,DOBE,Dobell,2,44074,40325,LP_DOBE,LP,,,,
