Electorate,TwoParty,TwoPartyMargin,TwoCandidate,TwoCandidateMargin,TwoCandidateLoser
Banks,LIB,2.6,,,
Barton,ALP,12,,,
Bennelong,LIB,0.04,,,
Berowra,LIB,7.6,,,
Blaxland,ALP,13,,,
Bradfield,LIB,6.1,LIB,2.5,IND
Calare,NAT,15.5,NAT,9.7,IND
Chifley,ALP,13.6,,,
Cook,LIB,11.6,,,
Cowper,NAT,9.5,NAT,2.4,IND
Cunningham,ALP,15.1,,,
Dobell,ALP,6.6,,,
Eden-Monaro,ALP,6.1,,,
Farrer,LIB,16.3,,,
Fowler,ALP,5.9,IND,1.1,ALP
Gilmore,ALP,0.2,,,
Grayndler,ALP,26.6,ALP,17.3,GRN
Greenway,ALP,7.9,,,
Hughes,LIB,3.5,,,
Hume,LIB,6.9,,,
Hunter,ALP,4.8,,,
Kingsford Smith,ALP,13.3,,,
Lindsay,LIB,6.1,,,
Lyne,NAT,13.8,,,
Macarthur,ALP,9.8,,,
Mackellar,LIB,7.9,IND,3.3,LIB
Macquarie,ALP,6.3,,,
McMahon,ALP,10.5,,,
Mitchell,LIB,10.5,,,
New England,NAT,15.2,,,
Newcastle,ALP,17.9,,,
Page,NAT,10.7,,,
Parkes,NAT,18.2,,,
Parramatta,ALP,3.7,,,
Paterson,ALP,2.6,,,
Reid,ALP,5.2,,,
Richmond,ALP,8.2,,,
Riverina,NAT,9.7,,,
Robertson,ALP,2.2,,,
Shortland,ALP,6,,,
Sydney,ALP,25.7,ALP,16.5,GRN
Warringah,LIB,0.7,IND,9.4,LIB
Watson,ALP,15.2,,,
Wentworth,LIB,1.2,IND,6.8,LIB
Werriwa,ALP,5.3,,,
Whitlam,ALP,8.3,,,
Aston,LIB,2.6,,,
Ballarat,ALP,13,,,
Bendigo,ALP,11.2,,,
Bruce,ALP,5.3,,,
Calwell,ALP,12.4,,,
Casey,LIB,1.4,,,
Chisholm,ALP,3.3,,,
Cooper,ALP,25.7,ALP,7.8,GRN
Corangamite,ALP,7.8,,,
Corio,ALP,12.5,,,
Deakin,LIB,0.02,,,
Dunkley,ALP,6.8,,,
Flinders,LIB,6.2,,,
Fraser,ALP,16.6,,,
Gellibrand,ALP,11.2,,,
Gippsland,NAT,20.6,,,
Goldstein,LIB,3.7,IND,3.3,LIB
Gorton,ALP,10,,,
Hawke,ALP,7.6,,,
Holt,ALP,7.1,,,
Hotham,ALP,11.6,,,
Indi,LIB,5.3,IND,8.9,LIB
Isaacs,ALP,9.5,,,
Jagajaga,ALP,12.2,,,
Kooyong,LIB,3.7,IND,2.2,LIB
La Trobe,LIB,8.4,,,
Lalor,ALP,12.8,,,
Macnamara,ALP,12.2,,,
Mallee,NAT,19,,,
Maribyrnong,ALP,13,,,
McEwen,ALP,3.8,,,
Melbourne,ALP,23.1,GRN,6.5,ALP
Menzies,ALP,0.4,,,
Monash,LIB,2.9,,,
Nicholls,NAT,15.8,NAT,3.4,IND
Scullin,ALP,15.4,,,
Wannon,LIB,8.6,LIB,3.8,IND
Wills,ALP,27.1,ALP,4.6,GRN
Blair,ALP,5.2,,,
Bonner,LIB,3.4,,,
Bowman,LIB,5.5,,,
Brisbane,ALP,4.4,GRN,3.7,LIB
Capricornia,NAT,6.6,,,
Dawson,NAT,10.4,,,
Dickson,LIB,1.7,,,
Fadden,LIB,10.6,,,
Fairfax,LIB,9,,,
Fisher,LIB,8.7,,,
Flynn,NAT,3.8,,,
Forde,LIB,4.2,,,
Griffith,ALP,11.1,GRN,10.5,LIB
Groom,LIB,14.2,LIB,6.9,IND
Herbert,LIB,11.8,,,
Hinkler,NAT,10.1,,,
Kennedy,NAT,10.2,KAP,13.1,LNP
Leichhardt,LIB,3.4,,,
Lilley,ALP,10.5,,,
Longman,LIB,3.1,,,
Maranoa,NAT,22.1,,,
McPherson,LIB,9.3,,,
Moncrieff,LIB,11.2,,,
Moreton,ALP,9.1,,,
Oxley,ALP,11.6,,,
Petrie,LIB,4.4,,,
Rankin,ALP,9.1,,,
Ryan,ALP,2.4,GRN,2.6,LNP
Wide Bay,NAT,11.3,,,
Wright,LIB,10.9,,,
Brand,ALP,17.1,,,
Bullwinkel,ALP,3.3,,,
Burt,ALP,13.3,,,
Canning,LIB,1.2,,,
Cowan,ALP,9.9,,,
Curtin,LIB,5.6,IND,1.3,LIB
Durack,LIB,4.7,,,
Forrest,LIB,4.2,,,
Fremantle,ALP,16.9,,,
Hasluck,ALP,10,,,
Moore,LIB,0.9,,,
O'Connor,LIB,6.7,,,
Pearce,ALP,8.8,,,
Perth,ALP,14.4,,,
Swan,ALP,9.4,,,
Tangney,ALP,2.8,,,
Adelaide,ALP,11.9,,,
Barker,LIB,16.6,,,
Boothby,ALP,3.3,,,
Grey,LIB,10.1,,,
Hindmarsh,ALP,8.9,,,
Kingston,ALP,16.4,,,
Makin,ALP,10.8,,,
Mayo,ALP,1.6,CA,12.3,LIB
Spence,ALP,12.9,,,
Sturt,LIB,0.5,,,
Bass,LIB,1.4,,,
Braddon,LIB,8,,,
Clark,ALP,17.2,IND,20.8,ALP
Franklin,ALP,13.7,,,
Lyons,ALP,0.9,,,
Bean,ALP,12.9,,,
Canberra,ALP,22.5,ALP,12.2,GRN
Fenner,ALP,15.7,,,
Lingiari,ALP,1.7,,,
Solomon,ALP,8.4,,,
