Electorate,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over,Total
Lyne,15335,16817,11122,11933,17011,21361,24421,17743,8125,1575,33,145480
Paterson,21180,19276,18476,18611,19701,20031,19030,12717,5507,1096,16,155632
Lyons,12241,12380,9826,10752,13289,15728,15229,8734,3418,589,7,102181
Canning,18548,17722,15886,16707,18657,18709,17788,12435,5348,945,16,142762
Curtin,18128,20126,23143,22475,21989,19599,16044,10990,6134,1694,27,160348
Perth,17293,13511,31145,33499,22694,19305,15089,9066,5855,1508,21,168988
Cowan,22102,20828,26168,26480,23003,21952,17982,10903,4931,830,9,175188
Hasluck,21223,20419,20071,21681,22309,19256,14836,8683,3741,732,16,152972
Durack,28848,23253,26709,32206,30213,28238,19753,9495,3460,555,18,202750
Pearce,25519,22473,22516,24866,23939,16996,10828,6310,2728,524,8,156703
Swan,20704,17888,34983,31862,22439,19761,16147,9246,5391,1457,24,179888
Moore,19564,21542,18068,18496,23536,23282,18658,8691,4012,863,14,156738
Burt,25060,19700,24253,27467,20744,17775,14531,7958,3557,656,0,161708
Tangney,20211,24302,23199,21603,24651,23062,19422,10971,6324,1710,20,175475
Fremantle,19461,16765,20184,23949,21951,18786,14269,8149,4354,867,12,148741
Brand,25615,21494,23928,24793,23037,19055,13293,8379,3800,631,4,164025
Migratory - Offshore - Shipping (WA),0,0,72,141,117,74,24,0,0,0,0,431
No usual address (WA),296,253,1201,1062,909,1008,916,263,34,8,0,5950
No usual address (NSW),578,676,2918,2099,1821,1771,1643,612,134,25,5,12288
Solomon,15604,12414,18456,19947,15678,12752,8643,3562,1068,160,0,108272
Migratory - Offshore - Shipping (NSW),25,31,21,30,39,64,110,69,28,3,0,419
Brisbane,14702,14959,38275,30078,22246,17432,11961,6130,3060,841,17,159699
Lilley,18398,16125,22394,23796,21388,17758,13835,9252,5723,1439,44,150151
Dickson,21727,21444,17679,19946,23545,19941,15471,8084,2919,645,15,151444
Moreton,19806,18365,30937,26219,21036,17867,13880,8253,4432,1172,24,161994
Rankin,28867,25167,26645,27883,23368,20250,15881,7617,2824,646,15,179171
Oxley,26248,23311,23948,25744,24047,19472,13465,7256,2998,663,15,167171
Ryan,18170,21553,27810,19846,21362,17096,13855,8533,4041,1145,30,153444
Leichhardt,23170,21360,21485,23198,24627,23222,17600,8714,3361,678,14,167433
Kennedy,22575,21757,18789,19149,21626,22915,19718,11998,4968,861,28,164371
Maranoa,20155,18509,15837,16234,18818,20787,19682,12740,5443,1039,28,149264
Groom,20299,20252,19193,17876,18931,18528,16073,10763,5679,1251,25,148864
Flynn,23332,20186,18450,20678,21743,22010,16323,9071,3154,525,13,155484
Capricornia,21273,20099,19210,20320,20442,20851,15784,9045,4360,846,24,152244
Moncrieff,16021,17259,27273,23522,22153,21132,18994,13092,6131,1507,31,167110
McPherson,18268,18557,18282,19842,21507,19440,17215,11095,5853,1494,26,151575
Fadden,21255,20168,21066,21248,22987,20690,17795,11975,4903,1102,19,163221
Wright,21116,22745,16734,18522,23430,21966,17813,9845,3513,740,18,156442
Forde,25685,22846,22608,23249,22682,19287,15874,8954,3587,734,17,165537
Blair,25130,22307,22198,21936,21230,19978,15721,9212,3920,753,21,162411
Dawson,19956,19439,20091,20195,21530,21580,16492,9401,4306,809,19,153824
Longman,22083,21405,19781,19199,21165,20024,19060,12211,4714,941,15,160600
Fairfax,17851,17994,15264,17204,20809,20536,18675,12079,5758,1306,31,147518
Fisher,16631,18389,14857,16123,19880,19600,18846,13607,6709,1438,37,146115
Wide Bay,15546,17232,11726,13432,18459,21797,22821,14642,5818,1183,37,142686
