Electorate,"North-West European, nfd",British,Arab,Australian Peoples,"Oceanian, nfd",New Zealand Peoples,Melanesian and Papuan,Micronesian,Polynesian,Irish,Western European,Northern European,"Southern and Eastern European, nfd",Southern European,South Eastern European,Eastern European,"North African and Middle Eastern, nfd",Jewish,Peoples of the Sudan,Other North African and Middle Eastern,"South-East Asian, nfd",Mainland South-East Asian,Maritime South-East Asian,"North-East Asian, nfd",Chinese Asian,Other North-East Asian,"Southern and Central Asian, nfd",Southern Asian,Central Asian,"Peoples of the Americas, nfd",North American,South American,Central American,Caribbean Islander,"Sub-Saharan African, nfd",Central and West African,Southern and East African,Inadequately described,"So described, nfd",Not stated,Total
Lyne,3,71098,184,46420,0,293,13,5,59,8095,3560,265,7,1698,465,665,6,10,0,45,0,193,421,0,535,86,0,410,12,0,158,116,10,5,0,12,178,228,49,10182,145480
Paterson,4,75444,150,47825,5,442,14,0,254,8762,3872,244,7,1945,839,1182,12,13,39,73,0,305,710,0,903,141,0,1005,18,8,163,127,19,3,0,21,401,246,153,10312,155632
Lyons,5,50208,26,33901,0,181,4,0,26,4732,2502,169,0,783,268,545,0,4,8,23,0,88,255,0,309,52,0,184,10,0,133,27,13,16,0,10,114,175,45,7341,102181
Canning,3,73899,138,32162,26,1525,67,0,200,6293,4558,329,12,3767,662,810,4,15,49,164,0,548,1346,0,1008,213,0,1854,66,15,234,140,20,18,0,155,1465,225,463,10311,142762
Curtin,4,69098,481,29293,3,755,13,0,74,10701,5181,540,27,6390,3022,2000,30,71,47,739,9,913,1279,0,8846,1136,3,5299,122,45,564,768,72,44,0,99,1556,218,434,10473,160348
Perth,11,57963,911,23798,7,1030,27,0,158,9969,4732,444,42,12496,5444,2975,35,231,248,1252,25,4205,2507,0,9925,2152,0,8223,296,50,423,1085,94,37,0,201,2347,280,845,14526,168988
Cowan,0,51872,2419,25532,41,1525,24,0,248,6802,3410,215,34,13520,9721,2434,96,123,1311,1438,11,12482,3821,0,8895,685,7,8145,1459,58,278,554,156,33,4,773,4313,329,1463,10969,175188
Hasluck,5,69153,603,30073,14,1808,39,0,250,6739,4387,312,24,6150,2278,1471,24,17,618,227,0,1807,2710,0,1972,273,0,5390,318,13,276,246,40,29,0,269,2248,237,920,12023,152972
Durack,5,77169,175,65619,33,2191,133,5,438,8780,5063,370,10,3833,1094,935,3,13,56,112,0,1170,3363,0,1792,292,0,1998,43,12,272,165,31,27,0,60,1438,280,459,25314,202750
Pearce,0,73917,795,25636,29,2371,36,0,360,7038,4087,201,25,5456,3203,1460,49,34,707,458,4,2695,2309,0,3026,306,0,5295,677,25,263,385,138,25,4,323,4620,217,838,9693,156703
Swan,0,62150,1881,27705,17,1615,163,0,306,8416,4255,327,29,6958,1872,1960,76,10,161,1631,20,2918,5644,0,14302,2090,4,12359,1179,35,330,709,81,33,0,351,3239,323,1345,15383,179888
Moore,3,81346,728,28268,12,1256,24,0,109,9953,4892,360,11,5731,2500,1930,14,18,44,500,0,919,1129,0,3139,384,0,2451,177,15,359,309,71,38,5,54,2973,191,342,6481,156738
Burt,0,61201,1494,27488,50,2093,173,0,531,5457,4465,249,16,4136,996,1029,37,12,316,647,15,3671,6267,0,9093,759,0,12969,1822,39,246,329,113,23,0,572,3444,332,1482,10126,161708
Tangney,3,63823,1342,26625,15,874,41,5,161,7413,4313,333,18,7108,1829,1503,86,22,103,1245,8,1478,3377,0,25361,2110,0,12477,368,54,260,459,108,68,4,302,2270,247,836,8844,175475
Fremantle,5,60246,526,25763,12,1262,16,0,237,7640,4131,394,44,13520,4414,1473,13,23,64,558,5,798,3112,0,5619,791,0,3672,89,59,325,542,193,48,3,247,1658,257,654,10337,148741
Brand,5,82420,225,31412,39,3436,55,0,737,6818,4491,368,14,3909,1507,918,12,20,170,202,7,853,3333,0,1665,387,0,3218,66,35,251,371,61,53,0,219,2503,229,739,13292,164025
Migratory - Offshore - Shipping (WA),0,204,0,40,0,10,0,0,0,25,19,0,0,13,3,8,0,0,0,0,0,4,16,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,73,431
