Electorate,Born in Australia,Born overseas,Total
Banks,91050,71843,162893
Barton,83119,98524,181643
Bennelong,88189,103030,191219
Berowra,94860,57711,152571
Blaxland,80982,107625,188607
Bradfield,87633,81549,169182
Calare,141740,27492,169232
Chifley,99496,102567,202063
Cook,108854,40596,149450
Cowper,136935,33270,170205
Cunningham,119693,41983,161676
Dobell,131304,31418,162722
Eden-Monaro,127896,33634,161530
Farrer,138948,34168,173116
Fowler,67784,105739,173523
Gilmore,130609,33134,163743
Grayndler,95463,55266,150729
Greenway,101159,100383,201542
Hughes,114535,35765,150300
Hume,141604,30490,172094
Hunter,149063,25357,174420
Kingsford Smith,94444,87489,181933
Lindsay,134364,53487,187851
Lyne,132040,25307,157347
Macarthur,130554,74947,205501
Mackellar,107435,47952,155387
Macquarie,117229,28101,145330
McMahon,86231,89418,175649
Mitchell,106496,81716,188212
New England,130246,28403,158649
Newcastle,134058,32104,166162
North Sydney,93694,73515,167209
Page,139193,29591,168784
Parkes,125770,29197,154967
Parramatta,77608,125670,203278
Paterson,149971,25607,175578
Reid,88557,113263,201820
Richmond,127362,40074,167436
Riverina,136391,24958,161349
Robertson,115632,36341,151973
Shortland,129930,21992,151922
Sydney,90579,113636,204215
Warringah,94380,56439,150819
Watson,82452,100702,183154
Wentworth,84217,61885,146102
Werriwa,100705,98467,199172
Whitlam,131235,37310,168545
No usual address (NSW),5912,5459,11371
Migratory - Offshore - Shipping (NSW),0,0,0
Aston,101819,57284,159103
Ballarat,126487,25756,152243
Bendigo,127644,24911,152555
Bruce,87697,91442,179139
Calwell,93284,95198,188482
Casey,125122,32322,157444
Chisholm,85493,98162,183655
Cooper,101021,55258,156279
Corangamite,124014,28738,152752
Corio,120885,38357,159242
Deakin,112961,54149,167110
Dunkley,116583,41429,158012
Flinders,115498,34857,150355
Fraser,82238,94150,176388
Gellibrand,102974,87010,189984
Gippsland,123600,30757,154357
Goldstein,102484,52252,154736
Gorton,94875,83225,178100
Hawke,116711,48678,165389
Higgins,98440,56622,155062
Holt,99847,87408,187255
Hotham,84215,111375,195590
Indi,129088,27532,156620
Isaacs,104131,56395,160526
Jagajaga,117204,41665,158869
Kooyong,104559,58795,163354
La Trobe,111990,57479,169469
Lalor,99417,101906,201323
Macnamara,95504,72576,168080
Mallee,135141,32498,167639
Maribyrnong,103645,49763,153408
McEwen,122561,37333,159894
Melbourne,98288,101676,199964
Menzies,93770,79085,172855
Monash,117092,29257,146349
Nicholls,126983,32524,159507
Scullin,92633,77766,170399
Wannon,129664,24891,154555
Wills,98820,59499,158319
No usual address (Vic.),4283,4806,9089
Migratory - Offshore - Shipping (Vic.),9,29,38
Blair,146810,43138,189948
Bonner,108700,54183,162883
Bowman,116956,42266,159222
Brisbane,120712,62543,183255
Capricornia,127976,31816,159792
Dawson,125227,36856,162083
Dickson,122552,37019,159571
Fadden,123332,71285,194617
Fairfax,125461,44005,169466
Fisher,128350,43835,172185
Flynn,126176,32501,158677
Forde,129350,63995,193345
Griffith,117440,60149,177589
Groom,129901,30963,160864
Herbert,128942,35104,164046
Hinkler,122891,33674,156565
Kennedy,132278,39124,171402
Leichhardt,121434,54186,175620
Lilley,116537,45021,161558
Longman,143288,43301,186589
Maranoa,123521,27901,151422
McPherson,114885,48723,163608
Moncrieff,109951,72192,182143
Moreton,96085,72391,168476
Oxley,110455,76064,186519
Petrie,127023,58262,185285
Rankin,106163,80693,186856
Ryan,110911,52886,163797
Wide Bay,118401,33835,152236
Wright,139259,42406,181665
No usual address (Qld),9019,5651,14670
Migratory - Offshore - Shipping (Qld),29,154,183
Adelaide,117228,80393,197621
Barker,140683,31004,171687
Boothby,125216,50410,175626
Grey,140896,30589,171485
Hindmarsh,121251,51281,172532
Kingston,122856,43249,166105
Makin,116701,57056,173757
Mayo,135752,37983,173735
Spence,132059,56168,188227
Sturt,118454,68900,187354
No usual address (SA),2262,1115,3377
Migratory - Offshore - Shipping (SA),0,12,12
Brand,114433,67114,181547
Burt,99993,82337,182330
Canning,109788,50158,159946
Cowan,99194,80983,180177
Curtin,108861,64179,173040
Durack,140928,60517,201445
Forrest,117275,40724,157999
Fremantle,105368,61414,166782
Hasluck,113433,61306,174739
Moore,99039,65074,164113
O'Connor,127509,48562,176071
Pearce,97994,79519,177513
Perth,103698,78230,181928
Swan,105200,84672,189872
Tangney,101178,82781,183959
No usual address (WA),4775,3280,8055
Migratory - Offshore - Shipping (WA),151,363,514
Bass,87158,22819,109977
Braddon,91208,18348,109556
Clark,78772,32978,111750
Franklin,88529,23304,111833
Lyons,94156,18911,113067
No usual address (Tas.),973,404,1377
Migratory - Offshore - Shipping (Tas.),6,13,19
Lingiari,93143,27861,121004
Solomon,67397,42891,110288
No usual address (NT),2106,1394,3500
Migratory - Offshore - Shipping (NT),56,43,99
Bean,109931,42679,152610
Canberra,96554,48953,145507
Fenner,101597,56670,158267
No usual address (ACT),384,221,605
Migratory - Offshore - Shipping (ACT),0,0,0
No usual address (OT),12,-1,11
Migratory - Offshore - Shipping (OT),0,0,0
Total,17020422,8402366,25422788
