Electorate,Covid-19 Cases per 100 People,Total
Adelaide,28.68,100
Aston,8.9,100
Ballarat,8.63,100
Banks,25.19,100
Barker,11.66,100
Barton,23.48,100
Bean,0.17,100
Bendigo,6.22,100
Bennelong,19.77,100
Berowra,19.15,100
Blair,8.29,100
Blaxland,26.74,100
Bonner,7.53,100
Boothby,17.02,100
Bowman,7.2,100
Bradfield,18.16,100
Brisbane,8.07,100
Bruce,15.65,100
Calare,19.41,100
Calwell,20.15,100
Canberra,0.04,100
Capricornia,5.63,100
Casey,8.65,100
Chifley,25.58,100
Chisholm,9.02,100
Cook,22.26,100
Cooper,12.68,100
Corangamite,7.57,100
Corio,10.72,100
Cowper,16.91,100
Cunningham,24.14,100
Dawson,7.21,100
Deakin,8.9,100
Dickson,8.22,100
Dobell,21.21,100
Dunkley,9.6,100
Eden-Monaro,14.67,100
Fadden,9.34,100
Fairfax,8.17,100
Farrer,15.46,100
Fenner,0.06,100
Fisher,7.47,100
Flinders,9.25,100
Flynn,4.14,100
Forde,8.78,100
Fowler,23.08,100
Fraser,14.47,100
Gellibrand,12.37,100
Gilmore,16.14,100
Gippsland,6.18,100
Goldstein,12.01,100
Gorton,19.04,100
Grayndler,23.3,100
Greenway,30.93,100
Grey,10.99,100
Griffith,8.01,100
Groom,3.97,100
Hawke,12.52,100
Herbert,9.91,100
Higgins,11.6,100
Hindmarsh,19.27,100
Hinkler,5.31,100
Holt,14.05,100
Hotham,12.37,100
Hughes,24.47,100
Hume,20.19,100
Hunter,21.27,100
Indi,6.13,100
Isaacs,9.11,100
Jagajaga,11.69,100
Kennedy,7.74,100
Kingsford Smith,24.53,100
Kingston,16.59,100
Kooyong,9.63,100
La Trobe,8.28,100
Lalor,17.23,100
Leichhardt,16.32,100
Lilley,8.55,100
Lindsay,26.46,100
Longman,7.24,100
Lyne,14.49,100
Macarthur,27.66,100
Mackellar,22.22,100
Macnamara,14.86,100
Macquarie,19.95,100
Makin,17.77,100
Mallee,6.43,100
Maranoa,3.5,100
Maribyrnong,15.8,100
Mayo,11.79,100
McEwen,8.6,100
McMahon,24.79,100
McPherson,10.53,100
Melbourne,15.22,100
Menzies,10.58,100
Mitchell,22.11,100
Monash,7.85,100
Moncrieff,10.92,100
Moreton,8.42,100
New England,15.83,100
Newcastle,23.48,100
Nicholls,7.3,100
North Sydney,18.99,100
Oxley,9.39,100
Page,12.78,100
Parkes,16.68,100
Parramatta,24,100
Paterson,22.15,100
Petrie,7.73,100
Rankin,9.16,100
Reid,21.55,100
Richmond,16.17,100
Riverina,16.27,100
Robertson,20.94,100
Ryan,8.3,100
Scullin,18.53,100
Shortland,20.99,100
Spence,21.01,100
Sturt,17.46,100
Sydney,21.37,100
Wannon,6.91,100
Warringah,21.68,100
Watson,25.21,100
Wentworth,23.64,100
Werriwa,25.84,100
Whitlam,22.41,100
Wide Bay,5.44,100
Wills,14.84,100
Wright,5.62,100
