Electorate,15-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over,Total
Banks,9139,22357,23139,21101,20815,18239,11983,6514,1761,58,135106
Barton,8255,31171,33090,23273,20887,16882,11957,6946,1665,26,154148
Bennelong,9295,27540,34904,26067,21952,18744,11768,6431,1827,54,158584
Berowra,10623,14782,15541,22343,21727,17936,12920,6190,1687,66,123813
Blaxland,11724,31681,28819,22279,21019,17405,10522,5063,1440,54,150001
Bradfield,11279,16816,20321,25302,22650,17017,13497,7534,2334,54,136812
Calare,10167,18954,20816,19761,21611,20740,15949,6835,1448,32,136304
Chifley,12586,28640,33580,26287,21615,17123,10512,4049,955,28,155365
Cook,8537,17096,19013,19979,19888,16913,13063,7158,2102,55,123810
Cowper,9679,15826,17551,18893,22048,25303,20819,9530,2351,58,142073
Cunningham,9767,23886,20689,20336,20034,17894,12923,6935,1737,38,134240
Dobell,10033,18394,19744,19970,20295,18981,14995,7315,1943,56,131734
Eden-Monaro,8718,16387,19984,19900,23063,22446,15155,5952,1317,31,132953
Farrer,10298,19076,20146,19693,22111,22972,16935,7928,1794,47,141007
Fowler,11236,25254,23468,21616,22402,19945,11722,5410,1384,37,142478
Gilmore,8273,14423,16359,17204,21226,27311,22005,9206,2019,40,138060
Grayndler,6069,23151,28840,23383,19134,13517,9068,4160,1001,27,128354
Greenway,11895,26391,36285,31241,20923,15589,9643,3686,698,13,156361
Hughes,9699,16521,19480,21554,19369,15958,11358,4802,1314,45,120095
Hume,10914,19766,22796,21841,21764,18927,13598,5308,1173,28,136113
Hunter,10422,20823,22317,20753,21651,20862,15812,6942,1670,46,141295
Kingsford Smith,8753,32911,33170,24445,20641,15625,11474,6019,1449,43,154528
Lindsay,11509,27049,29566,25119,20833,16983,11411,4338,883,26,147710
Lyne,8337,11982,13832,16214,21214,26530,22894,9448,2073,54,132575
Macarthur,12600,27809,34769,26845,21601,18539,11170,3718,567,9,157621
Mackellar,9840,15131,16908,22157,21877,17459,14291,7417,1971,69,127120
Macquarie,9058,15180,17135,18761,20113,18804,13501,5206,1056,28,118852
McMahon,11462,24124,24473,22409,21522,18123,11581,5142,1115,26,139961
Mitchell,12409,19584,26717,30062,22470,17367,12782,5018,1086,26,147523
New England,10205,17668,18212,17680,19850,20610,15934,7367,1520,43,129088
Newcastle,9686,27961,24137,20623,19796,17361,11798,5808,1793,56,139005
North Sydney,8001,20420,29650,25454,20320,16017,12262,5627,1721,53,139516
Page,9286,15853,17806,19622,23065,26105,18469,7915,1810,40,139966
Parkes,8622,18295,19326,16892,19675,19201,13664,6558,1357,34,123625
Parramatta,9165,34777,42442,26364,20116,16386,9890,4632,1024,19,164828
Paterson,10202,21014,22411,20638,21072,21310,16939,6522,1296,31,141438
Reid,8326,39217,40974,25186,21940,17880,11515,5922,1644,46,172643
Richmond,8502,14604,19468,21018,22024,24816,18598,8664,2311,69,140075
Riverina,10076,19505,18790,17787,19683,19909,15245,7380,1717,41,130124
Robertson,8514,15173,17215,19206,20253,19793,16158,7619,1988,59,125967
Shortland,8720,16144,17734,18317,19645,19347,15860,7422,1539,33,124765
Sydney,5221,54861,55324,26889,19515,14247,8515,3324,559,9,188461
Warringah,8534,16457,21942,22805,20977,14904,11241,5383,1532,49,123828
Watson,10532,28028,28231,23398,22017,17286,11150,6230,1502,40,148398
Wentworth,6356,21407,28024,20319,17074,12950,10922,5412,1734,72,124257
Werriwa,14596,27267,28864,26605,24066,18104,9750,4082,848,26,154210
Whitlam,10265,18863,20203,20538,21008,20305,16529,7942,1551,30,137237
No usual address (NSW),532,1942,2028,1776,1647,1447,602,117,22,0,10112
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0
Aston,9314,19181,22100,21578,21470,18528,12536,5896,1340,46,131987
Ballarat,9108,18172,18753,18872,19711,18913,13619,5633,1392,32,124204
Bendigo,8508,17381,18607,18414,19541,19863,14610,6547,1611,28,125110
Bruce,11078,25468,26424,23265,22507,18784,11525,5376,1165,30,145620
Calwell,12026,28393,33839,23814,20711,13998,7664,2900,440,15,143794
Casey,9563,17615,21030,20754,21329,18759,13220,4866,1008,24,128156
Chisholm,11321,29156,24925,23494,22017,17945,14526,9696,2461,49,155599
Cooper,7078,24052,29452,22328,19418,13464,9179,6056,1537,36,132603
Corangamite,8476,17229,20020,19134,17622,18871,14810,6069,1546,39,123811
Corio,9064,22631,22392,19903,19630,17607,12843,6116,1464,29,131674
Deakin,9568,18994,23728,22960,21116,17745,13863,7270,1943,53,137248
Dunkley,9215,17906,21848,21701,20933,17304,12455,5565,1367,41,128332
Flinders,8232,13133,15169,17321,20296,21549,19778,9066,2071,62,126669
Fraser,8354,30179,32832,23598,19844,16315,10423,5339,1306,27,148218
Gellibrand,9572,22132,36346,29382,20444,14466,8850,4134,896,17,146246
Gippsland,8251,15859,17388,16746,20554,23337,17757,7050,1435,24,128407
Goldstein,10235,15442,17194,21907,23135,17598,13410,6481,2163,67,127627
Gorton,11541,23900,28602,25885,20917,16124,9589,3430,672,19,140670
Hawke,9964,21350,26534,21922,19085,15503,10031,3350,698,11,128449
Higgins,7314,28281,27529,19550,18582,14642,11254,5900,1615,47,134712
Holt,11548,26836,33837,25535,19306,13352,7698,2890,584,16,141598
Hotham,10219,33698,31263,24855,22477,18325,13668,7514,1872,59,163955
Indi,8916,14994,17073,18310,21430,23150,17123,7099,1662,44,129805
Isaacs,9111,17585,22620,23805,21420,16823,11914,6121,1672,58,131118
Jagajaga,9163,17551,21395,22358,20495,18401,13365,5972,1557,30,130296
Kooyong,11534,23107,19560,21275,22505,17568,13192,6725,2162,76,137707
La Trobe,10598,22010,28798,23045,18291,13212,9363,3732,766,19,129832
Lalor,11294,29257,41108,26616,18767,14027,7855,2833,591,13,152359
Macnamara,5881,31717,36596,23273,19490,15257,10587,4347,1249,40,148433
Mallee,8984,17895,19031,18091,22621,23780,17695,8627,2140,46,138916
Maribyrnong,7886,21156,24188,21196,19358,15531,11776,6244,1415,41,128786
McEwen,10275,17426,24331,22428,19728,15437,10292,3248,647,13,123834
Melbourne,7776,65001,49154,21730,16194,12109,7893,3222,749,21,183844
Menzies,10157,20691,22506,22945,22970,18847,14891,9232,2193,69,144504
Monash,7650,13833,16219,15971,19521,22538,17101,6880,1520,47,121284
Nicholls,9207,17411,18114,18153,21199,21530,16177,7518,1658,44,131014
Scullin,9602,23883,28234,22770,19745,16024,10611,5090,961,17,136944
Wannon,8601,15363,16893,17734,21527,23011,16645,7315,1713,40,128845
Wills,6556,28403,32431,21178,17125,12031,8092,6231,1767,33,133834
No usual address (Vic.),459,1597,1821,1528,1230,927,309,55,7,0,7946
Migratory - Offshore - Shipping (Vic.),0,0,3,14,15,8,0,0,0,0,38
Blair,12294,25689,28271,23544,22290,18189,12064,4693,951,30,148016
Bonner,10283,19173,23269,24045,20624,15802,11284,5376,1291,45,131198
Bowman,10104,15721,18396,20570,21902,20799,15564,6278,1457,50,130844
Brisbane,9264,41954,35968,24566,21132,14086,8641,3510,941,26,160098
Capricornia,9791,19997,21979,20191,20989,18036,11298,4875,993,32,128183
Dawson,9628,20621,21506,20940,22149,19111,12068,5051,1040,17,132129
Dickson,10879,18306,20984,23230,21474,16354,11404,3743,782,26,127184
Fadden,11476,25005,26079,25544,24796,20788,16872,6471,1344,48,158410
Fairfax,9563,16569,20584,22402,22836,21866,16863,7267,1670,50,139665
Fisher,10432,18748,20386,21543,22531,21616,17865,7838,1664,25,142641
Flynn,9586,17575,20364,20111,22168,19282,11838,4229,651,20,125829
Forde,12431,27224,28367,24857,21983,17574,12760,4826,929,28,150978
Griffith,9789,36332,33019,25088,20366,13641,8049,3687,1070,32,151062
Groom,10764,20663,20264,18603,19010,17794,13714,6604,1489,38,128942
Herbert,11045,25758,22860,20375,20018,16435,10415,4100,814,12,131831
Hinkler,8366,14307,15071,16661,20336,24410,21692,8968,1644,40,131489
Kennedy,10406,19659,20913,20253,23081,21818,14741,5918,1144,24,137954
Leichhardt,10551,21129,23962,24412,24258,20125,12539,4245,845,22,142107
Lilley,8595,22932,26675,22346,19181,14990,10850,5896,1750,53,133264
Longman,11459,23002,23202,22382,22860,21946,17965,6378,1286,26,150508
Maranoa,8459,16207,16505,17025,20642,20945,15418,6369,1267,28,122859
McPherson,9551,19384,22350,22900,20208,18134,13971,6459,1705,42,134713
Moncrieff,9368,27935,26475,23167,23140,20770,17208,7306,1703,48,157117
Moreton,9342,27482,28088,22729,18918,15076,10441,4901,1310,29,138311
Oxley,12307,25237,29969,25556,21549,16015,9762,3845,825,22,145088
Petrie,10949,20780,25972,25077,22387,19091,15590,7000,1702,36,148597
Rankin,12869,24689,28961,24662,20809,16847,10867,3733,734,17,144189
Ryan,12718,25022,21142,23879,19231,14177,11053,4875,1308,45,133453
Wide Bay,8516,12339,14233,17809,22398,24870,19673,7091,1442,27,128391
Wright,12153,19616,22960,24493,24858,20211,13662,4542,835,19,143356
No usual address (Qld),566,2334,2315,1978,2059,2634,1204,137,9,0,13234
Migratory - Offshore - Shipping (Qld),0,41,53,55,19,4,0,0,0,0,183
Adelaide,10053,37221,33119,24488,22213,19405,13060,6643,2152,72,168422
Barker,9726,17420,19129,19817,24116,24495,18032,7797,1828,50,142401
Boothby,9555,22588,23424,22255,21470,21288,16772,8355,2735,85,148524
Grey,9035,17697,19445,18786,24370,25069,18169,7439,1604,49,141658
Hindmarsh,8656,22252,24050,21189,23502,20972,15180,8015,2207,64,146090
Kingston,9580,19758,22328,20975,21451,20411,15027,5765,1436,47,136777
Makin,10115,22710,24324,22199,21605,18693,14925,6677,1382,29,142664
Mayo,9947,15396,18247,21089,24066,25353,20630,7501,1643,60,143917
Spence,11667,27056,27067,22057,22758,18699,11730,5745,1226,41,148036
Sturt,10635,23752,25346,24064,23188,20286,17310,9519,2721,77,156898
No usual address (SA),186,516,608,465,493,474,200,29,7,0,2975
Migratory - Offshore - Shipping (SA),0,0,3,4,4,0,0,0,0,0,12
Brand,11407,23539,27743,24016,22383,16362,10773,4615,844,22,141699
Burt,10650,23935,30642,24622,19798,15998,10561,4356,823,22,141417
Canning,9221,16235,19418,18886,20885,20145,16457,7055,1220,27,129549
Cowan,9985,24407,27960,22601,22030,19530,13771,6017,1089,25,147408
Curtin,11116,21884,24482,22927,21461,17925,13905,7435,2046,78,143257
Durack,10871,24360,31267,27147,27351,21942,12345,4341,735,18,160379
Forrest,9255,14599,19601,21074,21053,20323,14611,5741,1209,31,127496
Fremantle,8904,21489,26664,23271,21350,17145,11160,5160,1166,22,136332
Hasluck,10784,20862,26465,23593,22244,16912,11764,4964,983,25,138584
Moore,10523,16600,19489,22600,23293,21047,13759,4904,1118,28,133353
O'Connor,9645,18422,21364,21575,25028,23779,15967,6512,1267,38,143602
Pearce,11906,22713,27500,25046,22123,14219,9249,3945,722,20,137448
Perth,7085,30174,36492,24606,21376,17272,11482,5998,1810,49,156347
Swan,9301,33159,33858,23950,21156,18020,12038,5961,1671,49,159166
Tangney,12326,21084,22577,25714,23612,21134,14960,6960,1967,66,150405
No usual address (WA),261,1303,1542,1454,1189,1065,399,57,17,0,7285
Migratory - Offshore - Shipping (WA),6,93,151,137,78,47,3,0,0,0,516
Bass,6207,14444,13650,12659,14262,14084,10510,4661,1041,21,91537
Braddon,5992,12030,12294,12246,15261,15473,11756,5040,981,13,91094
Clark,5932,18342,18064,12978,13191,12310,8886,4256,1040,30,95028
Franklin,5949,12660,15152,13574,13982,14520,10823,4605,1004,22,92283
Lyons,5886,12058,13249,12813,16046,16968,11825,4181,685,8,93730
No usual address (Tas.),95,232,203,197,232,187,95,7,0,0,1248
Migratory - Offshore - Shipping (Tas.),0,4,4,3,0,0,0,0,0,0,19
Lingiari,8269,19070,20828,15833,14690,10066,4265,1100,163,7,94284
Solomon,5886,17426,20270,15344,13041,9294,5093,1548,232,7,88143
No usual address (NT),95,510,638,569,591,498,142,23,0,0,3052
Migratory - Offshore - Shipping (NT),4,10,28,18,15,16,0,0,0,0,94
Bean,8395,19598,23212,20229,19143,16090,11365,4705,882,21,123643
Canberra,9325,29568,23282,17897,16058,12932,9847,4718,1316,33,124971
Fenner,8696,24431,29348,23516,15983,11320,7959,2717,502,8,124469
No usual address (ACT),58,146,94,97,73,63,22,3,0,0,560
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0
No usual address (OT),0,0,4,0,0,3,0,0,0,0,11
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0
Total,1457812,3351215,3691909,3284809,3152858,2766562,1982689,882998,208394,5547,20784787
