Electorate,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African,Supplementary codes,Not stated,Total
Banks,17202,34885,20451,8770,7121,27326,9377,1609,661,576,7134,135106
Barton,13466,27475,32527,11200,9125,31248,13777,3554,499,894,10381,154148
Bennelong,14761,37905,13236,6294,6635,53947,16034,1477,601,732,6952,158584
Berowra,18898,52534,8880,4559,2796,19862,10296,854,867,412,3857,123813
Blaxland,13617,16615,11715,30586,17647,23435,17742,789,1299,1372,15178,150001
Bradfield,16076,52450,7468,3651,3411,36497,9606,1118,1616,548,4374,136812
Calare,40675,75007,3628,460,1241,1120,1929,352,321,340,11213,136304
Chifley,29467,33181,10063,8924,20521,5632,31612,1107,1658,1494,11703,155365
Cook,22489,55876,22204,3975,2207,6835,1759,1669,470,386,5940,123810
Cowper,39887,82179,3642,681,1715,1169,1467,447,521,401,9974,142073
Cunningham,27509,67160,18834,2889,2483,3270,3257,1132,594,502,6604,134240
Dobell,36440,74182,5820,603,1795,1886,1692,709,451,377,7779,131734
Eden-Monaro,34465,75045,7442,472,1492,1229,2742,552,411,380,8720,132953
Farrer,37553,74385,8820,369,1934,1167,4342,256,481,334,11365,141007
Fowler,12074,14203,19697,22881,32064,18845,6119,2349,757,970,12513,142478
Gilmore,36348,81731,6189,334,1166,1038,969,556,290,247,9189,138060
Grayndler,17949,59583,18253,3215,5269,9944,4583,1993,540,497,6540,128354
Greenway,21944,38280,11473,7151,9705,10467,44045,1270,1664,1238,9120,156361
Hughes,25888,58806,12995,3883,2869,4860,3968,1171,641,371,4655,120095
Hume,36140,72973,10808,1754,1550,1445,1938,971,622,405,7499,136113
Hunter,43231,79501,3670,366,1436,1065,1272,367,449,365,9569,141295
Kingsford Smith,19245,56314,23483,5251,6774,21081,5866,4118,1158,886,10364,154528
Lindsay,35630,63108,12722,3871,5380,3412,10126,882,1104,859,10617,147710
Lyne,40677,77723,3096,266,840,653,591,327,226,236,7939,132575
Macarthur,33947,51929,15401,8597,9474,4779,18711,2606,1753,1143,9273,157621
Mackellar,23095,73564,11534,1103,2097,4907,2860,1751,763,374,5077,127120
Macquarie,28038,70617,8555,810,1246,1600,1381,699,366,341,5203,118852
McMahon,18000,24677,17254,33285,11944,9088,11445,1923,971,1049,10335,139961
