Electorate,Northern European Languages,Southern European Languages,Eastern European Languages,Southwest and Central Asian Languages,Southern Asian Languages,Southeast Asian Languages,Eastern Asian Languages,Australian Indigenous Languages,Other Languages,Supplementary codes,Not stated,Total
Banks,64260,9540,5266,7847,8695,7624,24360,28,1120,146,6220,135106
Barton,54058,21380,7362,10701,13105,9899,27328,45,993,133,9149,154148
Bennelong,68708,6014,2418,7669,11393,6637,48745,14,553,129,6307,158584
Berowra,83554,2956,1745,3875,8026,2544,17234,7,338,81,3457,123813
Blaxland,32631,5292,3884,35707,15212,20397,20954,17,3162,237,12507,150001
Bradfield,81667,2917,1742,3487,7205,3283,32158,5,236,83,4034,136812
Calare,119303,977,530,393,1840,1076,735,149,425,105,10770,136304
Chifley,67821,4341,2624,10312,30527,17935,3999,70,6948,245,10545,155365
Cook,91102,11095,4071,2932,1132,1893,5716,19,344,102,5411,123810
Cowper,125895,1056,391,563,1284,1456,807,295,542,140,9635,142073
Cunningham,105619,5737,5496,2658,2775,2343,2624,36,695,105,6156,134240
Dobell,116371,1922,758,427,1399,1448,1406,80,601,87,7231,131734
Eden-Monaro,114886,1854,2012,401,2625,1244,856,130,429,83,8443,132953
Farrer,118185,2541,295,427,4412,1722,1003,122,1223,134,10940,141007
Fowler,32267,7916,8329,24073,5182,39616,12000,25,2854,194,10023,142478
Gilmore,123361,1788,808,247,826,905,689,129,221,90,8993,138060
Grayndler,91601,10971,1969,2254,3245,4744,6919,70,519,95,5968,128354
Greenway,71845,4769,2418,7892,41723,8448,8356,32,2357,222,8305,156361
Hughes,94779,4945,2786,3189,3285,2668,3608,22,547,111,4161,120095
Hume,118687,3053,1303,1392,1546,1226,976,49,676,120,7089,136113
Hunter,127295,831,489,273,1077,1232,720,100,570,123,8576,141295
Kingsford Smith,91265,15939,4885,3907,4379,8627,14936,76,663,157,9699,154528
Lindsay,109289,3921,1951,3734,9083,4514,2468,81,2697,168,9808,147710
Lyne,121818,737,281,189,492,606,347,105,156,76,7767,132575
Macarthur,95919,6301,3563,8697,17995,8450,3114,58,4851,230,8436,157621
Mackellar,105241,5418,2512,1577,1634,1744,3848,23,365,74,4688,127120
Macquarie,106631,2249,1188,563,1023,972,1056,110,252,88,4714,118852
McMahon,52000,7927,3985,36926,7046,12941,6777,17,2830,217,9304,139961
Mitchell,83525,4414,2441,7906,18125,4966,21107,17,822,150,4045,147523
New England,111649,624,149,466,1704,1403,1076,244,652,256,10874,129088
Newcastle,118273,2394,1996,1139,2777,1876,2566,103,926,160,6791,139005
North Sydney,92864,5620,2702,3057,4819,3632,20652,11,222,83,5860,139516
Page,123831,1022,181,173,1646,838,742,299,438,115,10692,139966
Parkes,103756,416,213,190,2287,983,602,290,386,82,14422,123625
Parramatta,50601,4033,2250,19346,41560,7043,26352,46,2248,215,11126,164828
Paterson,128798,1005,519,267,1395,1237,867,117,605,118,6503,141438
Reid,67146,12291,2807,6900,19204,7909,45827,19,650,129,9769,172643
Richmond,122766,2913,421,363,856,1017,910,129,262,100,10342,140075
Riverina,113831,567,233,1173,1736,1206,920,207,685,168,9389,130124
Robertson,110021,2327,1023,556,1480,1513,2133,63,425,91,6330,125967
Shortland,114246,1239,896,285,688,817,918,78,403,65,5132,124765
Sydney,109612,11698,3850,3045,4306,14490,27059,106,641,169,13482,188461
Warringah,100775,7153,2256,1195,1305,1524,4905,7,321,68,4311,123828
Watson,40913,14360,1922,25812,17131,12772,22660,39,2271,205,10319,148398
Wentworth,96068,9240,3452,1955,665,1476,3819,18,159,80,7321,124257
Werriwa,53421,9362,7525,25884,18352,19824,5667,31,4465,278,9388,154210
Whitlam,116533,3787,4240,1637,1543,1544,949,48,430,95,6428,137237
No usual address (NSW),5816,214,73,136,104,147,232,17,72,21,3288,10112
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0
Aston,90601,3893,2082,2600,8428,3975,15424,9,443,203,4335,131987
Ballarat,110421,993,679,317,2399,945,1214,15,405,100,6712,124204
Bendigo,110374,884,303,373,1613,2168,874,40,371,104,8003,125110
Bruce,68679,7957,9076,15422,17977,7252,7652,15,2504,597,8502,145620
Calwell,49364,7473,2335,40783,24467,5296,1510,15,3368,223,8973,143794
Casey,114429,2037,1044,564,1132,2062,1599,12,291,140,4844,128156
Chisholm,72203,9206,2408,2879,16359,5727,39843,8,533,181,6239,155599
Cooper,83261,18166,3492,4305,5481,4270,6461,55,1067,184,5867,132603
Corangamite,110153,1966,822,440,2281,990,1065,11,323,96,5666,123811
Corio,105614,2920,4568,1858,3887,2853,1636,17,591,137,7591,131674
Deakin,99258,3604,1497,1816,5614,4674,15245,16,527,165,4830,137248
Dunkley,108783,3125,2226,1041,2030,1820,1962,11,774,236,6320,128332
Flinders,113201,3170,911,308,310,676,548,17,153,100,7278,126669
Fraser,57806,10821,7169,4712,10056,35237,8907,30,3561,234,9676,148218
Gellibrand,78730,8577,5148,4289,21237,7928,8892,14,3263,264,7903,146246
Gippsland,112281,1561,471,220,1195,1402,641,35,355,101,10156,128407
Goldstein,98480,6647,4787,2013,2758,1433,6738,11,189,127,4434,127627
Gorton,58652,11793,11005,7758,14758,19245,4895,13,3537,210,8801,140670
Hawke,94910,4523,2924,2085,8962,3933,1170,19,2960,184,6768,128449
Higgins,96370,8646,2942,1696,5392,2842,10596,0,384,149,5700,134712
Holt,74390,4143,3167,11473,25131,7779,3193,18,4142,851,7309,141598
