Electorate,Economically Progressive,Socially Progressive,Total
Adelaide,46.7722255,62.9663561,100
Aston,69.4290767,34.3010916,100
Ballarat,37.6173405,63.4311467,100
Banks,61.9357092,36.2646127,100
Barker,82.4552591,21.8964428,100
Barton,33.8592176,63.1813842,100
Bass,51.3121572,49.4657348,100
Bean,47.814478,57.2658542,100
Bendigo,40.376696,59.9663134,100
Bennelong,65.3221697,40.1094969,100
Berowra,72.1477357,33.2123974,100
Blair,62.2420812,33.5011017,100
Blaxland,41.935738,49.6960898,100
Bonner,76.3275758,32.2414494,100
Boothby,57.3582716,52.4605928,100
Bowman,73.9946053,25.7932096,100
Braddon,61.4886861,36.8799717,100
Bradfield,82.3461334,31.5153424,100
Brand,53.1898679,39.8348855,100
Brisbane,68.7537332,45.5813674,100
Bruce,41.4533645,54.077231,100
Burt,50.5857727,39.9095968,100
Calare,62.3807734,34.6993611,100
Calwell,39.5914495,54.916645,100
Canberra,34.4368758,74.745109,100
Canning,75.4628885,22.0139172,100
Capricornia,81.3070736,10.9127502,100
Casey,54.5093729,49.7455845,100
Chifley,36.159489,49.3386088,100
Chisholm,57.3354689,50.2603204,100
Clark,20.7459238,85.3996737,100
Cook,83.2688072,22.1485314,100
Cooper,0.6723132,99.3349802,100
Corangamite,54.8755432,54.004217,100
Corio,45.708405,59.3078948,100
Cowan,56.9209116,41.0859682,100
Cowper,51.2748791,46.170109,100
Cunningham,25.8136973,67.7149993,100
Curtin,84.4448337,37.0319888,100
Dawson,85.5457289,11.5506036,100
Deakin,60.7881842,46.1637725,100
Dickson,74.8494161,31.0369069,100
Dobell,50.053689,42.7488963,100
Dunkley,53.6642208,52.2766623,100
Durack,86.8135811,15.4491438,100
Eden-Monaro,55.1582181,48.663834,100
Fadden,85.4873549,14.4878081,100
Fairfax,75.2076332,34.0717272,100
Farrer,72.2284756,27.7623375,100
Fenner,42.8868366,56.7208158,100
Fisher,74.4141227,30.8838877,100
Flinders,58.9442606,48.7749882,100
Flynn,84.9910011,7.4136662,100
Forde,74.6044657,21.8012846,100
Forrest,76.7379428,29.6253922,100
Fowler,33.0508567,50.6877834,100
Franklin,34.4116066,67.8661977,100
Fraser,18.1688898,81.4201365,100
Fremantle,49.010412,58.3009495,100
Gellibrand,39.1827192,68.1900899,100
Gilmore,47.749133,52.0607483,100
Gippsland,69.1203766,30.8358646,100
Goldstein,73.2980628,44.7967087,100
Gorton,44.2419794,49.7583688,100
Grayndler,12.4148061,91.5473466,100
Greenway,57.835248,39.2189967,100
Grey,77.5481591,21.221288,100
Griffith,56.6530699,56.1470515,100
Groom,90.5951637,10.7881521,100
Hasluck,69.343501,36.5776981,100
Hawke*,46.6931102,50.5103896,100
Herbert,71.2926565,25.9796478,100
Higgins,62.9356319,54.7955699,100
Hindmarsh,49.9159512,54.7472888,100
Hinkler,80.7550132,14.7033399,100
Holt,53.7344049,42.3966812,100
Hotham,48.2682006,55.8413404,100
Hughes,68.343764,35.1507605,100
Hume,65.7306894,29.998334,100
Hunter,55.5585864,35.5746626,100
Indi,61.8650048,44.2218922,100
Isaacs,55.9731846,55.6014754,100
Jagajaga,44.9823669,61.2663269,100
Kennedy,68.7760968,33.7804113,100
Kingsford Smith,46.7815609,62.2668258,100
Kingston,40.5174268,55.9611028,100
Kooyong,65.6534553,52.0965925,100
La Trobe,72.6378098,31.4674396,100
Lalor,43.1275319,53.5994823,100
Leichhardt,60.5851022,42.3949116,100
Lilley,62.9540815,44.2709637,100
Lindsay,54.3270735,34.3674137,100
Lingiari,56.4935289,47.3469293,100
Longman,65.1440251,27.9958436,100
Lyne,63.9388111,33.148784,100
Lyons,56.2715422,42.8729076,100
Macarthur,51.4658837,39.2118005,100
Mackellar,69.1293495,41.0444532,100
Macnamara,48.2063263,70.0403139,100
Macquarie,41.6194761,52.1095446,100
Makin,51.9188594,46.0820915,100
Mallee,67.6037696,33.8676608,100
Maranoa,100,0,100
Maribyrnong,36.7471516,67.9666859,100
Mayo,57.3025268,53.5215178,100
McEwen,53.9137652,52.1316495,100
McMahon,54.7194554,35.2483985,100
McPherson,74.6198782,32.8743227,100
Melbourne,17.1143181,94.0199202,100
Menzies,68.358758,41.4148523,100
Mitchell,90.4677646,17.5367198,100
Monash,64.1125136,39.9355912,100
Moncrieff,86.0422097,21.7226475,100
Moore,82.8279373,26.9066701,100
Moreton,50.386526,53.3638319,100
New England,68.3612551,28.6864147,100
Newcastle,33.6291114,68.174894,100
Nicholls,79.3927829,18.3323077,100
North Sydney,73.1513489,44.2762231,100
O'Connor,84.2666487,18.8509169,100
Oxley,60.2270597,42.5770292,100
Page,40.9651121,50.1195144,100
Parkes,81.4422737,11.7987433,100
Parramatta,51.8980177,46.0034501,100
Paterson,54.8383743,35.9782079,100
Pearce,71.1197869,25.7026423,100
Perth,53.4392998,56.0408067,100
Petrie,69.8080734,28.2038687,100
Rankin,59.8977777,36.3067457,100
Reid,58.7833317,46.5390542,100
Richmond,34.5379439,63.9774337,100
Riverina,83.6310433,15.0833658,100
Robertson,51.0176686,48.4711411,100
Ryan,66.8051314,45.0064651,100
Scullin,30.9608497,62.647367,100
Shortland,50.8863282,48.2405337,100
Solomon,57.4931222,49.6930768,100
Spence,37.058478,50.7332473,100
Sturt,68.2654995,43.4432271,100
Swan,65.0329181,41.608171,100
Sydney,33.3376322,79.3648472,100
Tangney,80.7861448,31.2609216,100
Wannon,64.4384483,40.6498263,100
Warringah,70.855226,53.6196144,100
Watson,28.8061395,67.8449394,100
Wentworth,73.1083227,51.7978143,100
Werriwa,52.6337547,43.2653468,100
Whitlam,38.1714585,57.1942112,100
Wide Bay,73.5182813,26.8383816,100
Wills,0,100,100
Wright,80.8170254,21.7517955,100
