Electorate,Government Accountability,Climate Change,Cost of Living,Economy,Environment,Healthcare,Total
Adelaide,10.62,33.7,11.15,11.22,8.23,9.69,100
Aston,10.75,28.32,14.57,14.6,6.86,9.6,100
Ballarat,12.52,35.32,10.24,11.03,8,7.02,100
Banks,12.92,24.67,14.46,14.95,7.14,8.09,100
Barker,12.31,18.57,13.25,15.96,6.49,10.78,100
Barton,12.61,32.02,12.77,12.55,8.34,6.47,100
Bass,11.55,28.02,14.88,11.68,7.31,13.82,100
Bean,13.32,32.96,12.34,10.24,7,7.83,100
Bendigo,11.45,33.58,10.8,10.86,8.39,7.28,100
Bennelong,11.48,29.49,13.07,13.85,6.66,6.82,100
Berowra,11.63,30.3,9.59,14.4,7.08,6.12,100
Blair,11.9,22.32,16.54,14.38,6.48,7.58,100
Blaxland,12.63,27.14,16.92,11.1,7.98,6.46,100
Bonner,10.37,23.3,16.39,15.54,7.01,8.79,100
Boothby,9.57,31.33,11.55,12.56,8.44,12.26,100
Bowman,12.08,21.73,15.75,16.06,6.45,7.71,100
Braddon,11.15,22.07,16.74,12.66,7.74,15.85,100
Bradfield,11.67,34.74,9.04,16.45,6.76,4.45,100
Brand,11.8,23.86,14.03,13.72,7.41,8.77,100
Brisbane,10.68,28.75,13.42,15.75,7.96,6.31,100
Bruce,13.44,27.62,15.14,11.67,7.77,8.53,100
Burt,9.87,25.46,14.36,12.06,7.22,9.21,100
Calare,12.66,26.93,13.44,13.23,6.16,6.61,100
Calwell,11.17,25.24,13.49,10.29,7.67,12.84,100
Canberra,12.88,40.96,9.79,9.65,7.69,4.88,100
Canning,11.02,21.28,13.76,14.7,7.25,8.21,100
Capricornia,11.89,18.24,18.16,15.09,6.38,8.24,100
Casey,11.51,31.59,11.54,12.12,7.43,7.49,100
Chifley,12.35,23.8,18.42,10.85,7.93,7.06,100
Chisholm,14.91,29.46,11.32,14.14,7.23,7.03,100
Clark,11.15,40.83,15.42,8.27,7.88,9.85,100
Cook,11.27,23.17,12.34,17.61,6.73,7.33,100
Cooper,11.1,42.97,9.48,8.38,7.94,5.8,100
Corangamite,12.17,32.89,11.42,11.93,8.21,7.68,100
Corio,11.06,36.32,11.16,11.39,7.96,7.04,100
Cowan,9.77,26.22,12.37,12.63,6.85,9.19,100
Cowper,12.38,31.32,12.58,13.03,6.37,8.06,100
Cunningham,12.38,35.83,14.28,10.9,8.48,7.07,100
Curtin,11.23,34.64,7.14,15.8,7.12,6.54,100
Dawson,10.07,16.07,15.02,16.02,6.06,10.19,100
Deakin,10.34,32.91,12.67,13.16,7.01,6.56,100
Dickson,11.36,23.88,14.28,14.95,7.22,7.76,100
Dobell,11.07,27.88,15.78,13.79,7.17,8.64,100
Dunkley,11.2,28.78,11.94,11.96,7.63,7.14,100
Durack,9.22,22.83,13.16,16.04,6.25,7.69,100
Eden-Monaro,12.59,34.57,12.22,11.91,7.53,6.63,100
Fadden,10.32,21.05,19.03,16.13,7.02,7.37,100
Fairfax,11.6,27.38,15.61,15.16,7.23,7.04,100
Farrer,11.72,24.91,13.97,13.12,5.43,10.7,100
Fenner,12.83,31.69,14.32,11.6,7.81,6.09,100
Fisher,11.1,26.89,12.89,15.88,7.71,7.22,100
Flinders,13.13,33.66,11.23,11.78,8.09,6.41,100
Flynn,11.79,16.35,18.17,16.33,6.19,10.42,100
Forde,11.84,21.79,20,15.9,7.2,9.33,100
Forrest,9.36,26.05,13.97,14.94,7.14,8.61,100
Fowler,12.56,17.23,14.38,11.42,8.11,10.66,100
Franklin,9.69,34.42,15.43,9.85,8.05,12.6,100
Fraser,11.7,35.85,10.45,10.85,7.57,6.9,100
Fremantle,10.35,33.31,9.78,11.94,7.47,6.83,100
Gellibrand,11.66,36.08,12.36,10.78,8.02,6.62,100
Gilmore,12.89,32.32,12.97,12.01,6.97,7.55,100
Gippsland,11.91,23.83,11.69,13.68,6.24,9.27,100
Goldstein,13.42,38.67,8.75,14.95,7.45,5.65,100
Gorton,11.51,28.35,14.27,12.35,7.94,8.53,100
Grayndler,10.93,44.23,11.17,8.85,8.63,5,100
Greenway,10.57,24.53,15.75,13.03,7.5,10.72,100
Grey,12.07,21.81,10.5,16.13,6.68,13.1,100
Griffith,9.94,32.27,13.55,14.71,8.14,6.12,100
Groom,10.84,20.23,13.33,16.52,6.23,8.75,100
Hasluck,10.45,29.15,11.04,14.12,7.8,7.05,100
Hawke,11.57,29.46,11.8,11.23,7.99,10.08,100
Herbert,10.7,24.45,13.4,14.19,6.38,7.9,100
Higgins,10.41,37.7,9.12,13.32,7.35,6.65,100
Hindmarsh,11.9,30.71,13.73,11.5,8.3,11.75,100
Hinkler,12.87,19.48,13.16,16.24,6.19,10.23,100
Holt,10.74,26.74,15.95,12.9,7.12,8.79,100
Hotham,10.76,30.89,12.95,12.22,7.27,8.73,100
Hughes,13.29,30.28,12.07,14.57,7.02,6.4,100
Hume,11.92,24.79,12.2,15.81,7.01,6.24,100
Hunter,13.43,25,14.01,14.4,7.54,8.83,100
