Electorate,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over,Total
Bass,11803,12844,14444,13650,12659,14262,14084,10510,4661,1041,21,109977
Braddon,11764,12692,12030,12294,12246,15261,15473,11756,5040,981,13,109556
Clark,10732,11919,18342,18064,12978,13191,12310,8886,4256,1040,30,111750
Franklin,12625,12877,12660,15152,13574,13982,14520,10823,4605,1004,22,111833
Lyons,12415,12811,12058,13249,12813,16046,16968,11825,4181,685,8,113067
Brand,22620,20508,20548,24282,20240,19149,14816,9900,4369,813,17,157271
Bullwinkel,17796,19979,16119,19296,20505,22602,20206,14713,5948,1044,25,158227
Burt,28955,23264,22992,30468,23824,18826,14696,9339,3786,713,20,176886
Canning,18117,19470,15347,17605,18226,19958,18374,15229,6644,1152,26,150158
Cowan,22136,20239,22387,26465,22022,20271,16513,11445,5063,919,21,167485
Curtin,17295,21320,21132,23376,21665,20387,17048,13051,6913,1894,77,164161
Durack,26557,23194,23524,30199,26027,25666,19962,10917,3895,665,18,190634
Forrest,18555,19857,14166,18968,20349,20119,19253,13886,5500,1164,25,151844
Fremantle,19543,17709,20261,25143,22014,20234,16185,10433,4829,1091,17,157466
Hasluck,22533,19004,20224,26061,20660,18045,14095,9260,4034,864,23,154812
Moore,19018,21436,16141,19301,22137,22477,20796,14101,5242,1241,31,161934
O'Connor,20775,20396,17936,20890,21118,24452,23230,15579,6288,1221,33,171921
Pearce,23454,22525,20444,24037,22091,20389,13262,8514,3527,643,14,158900
Perth,16316,13340,28670,34422,22814,19618,15711,10350,5486,1667,50,168448
Swan,20109,17108,33580,33328,22676,19738,16998,11533,5795,1730,59,182642
Tangney,20060,24792,19985,21690,25251,23198,20589,14554,6643,1856,61,178670
Aston,19545,20311,20828,24050,23556,23532,20144,13709,6478,1524,44,173720
Ballarat,18012,19043,18135,18721,18815,19650,18875,13597,5625,1392,32,151898
Bendigo,18445,18462,17819,18993,18943,20224,20602,15169,6836,1694,34,157214
Bruce,24795,25224,26600,28280,25839,24332,19944,12665,6040,1323,35,195072
Calwell,29273,24696,26904,31630,22782,19971,13454,7201,2693,400,15,179010
Casey,19684,20376,18173,21437,21424,22223,19581,13631,4960,1024,24,162538
Chisholm,18588,24022,27126,24272,24932,24498,19349,14930,9254,2573,69,189630
Cooper,16916,15095,24982,30879,23253,20181,14131,9637,6212,1560,36,162885
Corangamite,17354,16146,16139,18308,17270,15931,17547,13941,5772,1479,35,139922
Corio,19689,19671,23467,23581,21217,20713,18467,13417,6329,1526,31,168104
Deakin,21714,21975,21112,25867,25599,23515,19368,14993,7876,1951,52,184037
Dunkley,21043,19588,19442,24366,23350,22403,18717,13096,5832,1466,47,169345
Flinders,16501,19049,13979,16183,19212,22335,23218,21263,9799,2243,67,163863
Fraser,21357,18207,31757,35263,25763,21412,17302,10981,5683,1392,27,189151
