Electorate,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African,Supplementary codes,Not stated,Not applicable,Total
Bass,48205,62412,4247,499,1705,2192,4840,775,727,607,6029,68875,109977
Braddon,54578,61831,3015,297,1172,999,1696,563,389,343,6463,68802,109556
Clark,40117,58410,7877,1126,2696,6832,9254,1357,1184,862,5441,67910,111750
Franklin,47676,66549,5762,525,1420,3568,3011,1195,766,480,5519,65388,111833
Lyons,53559,65391,4021,241,1073,863,1149,637,368,348,7168,72466,113067
Brand,59885,89641,11680,1164,7674,2817,5401,1852,4079,1837,11192,93227,157271
Bullwinkel,61277,94153,14936,746,4828,2705,4814,1458,2568,1177,10808,91273,158227
Burt,56148,75636,10625,3428,15281,10607,24231,1705,6426,3434,10312,113527,176886
Canning,61171,93898,9805,501,3775,1559,1908,1368,2605,939,9525,89176,150158
Cowan,42687,60202,30902,6310,19412,8892,14052,2318,7198,2740,9530,111527,167485
Curtin,50932,91841,20187,2359,4543,12844,8182,3551,3345,1184,7388,93509,164161
Durack,90210,85485,10564,619,6437,2471,2746,1364,2236,1185,26707,122798,190634
Forrest,63643,91246,13217,524,3594,2049,2102,1310,2370,801,9884,87504,151844
Fremantle,50004,81175,28378,1870,6962,7901,6093,2842,3428,1500,8038,92323,157466
Hasluck,49494,69229,20108,3565,12585,6434,13834,1660,5037,2787,8519,94853,154812
Moore,52989,102541,18650,1871,3889,4935,4238,2357,4987,932,5642,93670,161934
O'Connor,75757,93866,11041,508,4616,1501,2096,1183,2214,956,17458,105452,171921
Pearce,50210,96511,13285,2579,6074,3372,6133,2056,7386,1814,8013,95902,158900
Perth,42530,75674,30537,3742,10254,15132,12247,3702,3835,1859,10182,103231,168448
Swan,47314,73558,17009,5112,14602,21230,21264,2571,5191,2864,12209,118663,182642
Tangney,46307,78236,17589,3737,8549,31303,18250,2253,3741,1719,7237,115263,178670
Aston,51975,75339,20185,3703,7579,24754,16185,1758,1984,898,6568,112433,173720
Ballarat,62185,91160,10706,833,1928,2595,3981,1059,773,557,8818,87250,151898
Bendigo,65800,91994,9392,828,3568,2243,3038,874,679,620,10786,92332,157214
Bruce,42463,54592,32099,8423,11609,12661,46646,2918,4842,2055,11826,139640,195072
Calwell,32348,28963,26027,53628,8161,2885,34826,1349,3357,1947,12493,135342,179010
Casey,66288,99530,16367,1301,3862,3297,3192,1565,1384,667,6778,90043,162538
Chisholm,37292,60976,26354,3829,8248,49033,24219,1969,1825,1056,7368,133704,189630
Cooper,39848,64319,46712,7292,7055,10780,9326,2881,2241,1120,7792,98858,162885
Corangamite,55054,84206,13707,925,2015,2259,3747,1327,1093,574,6975,79532,139922
Corio,60819,89140,24048,2154,4903,3209,6835,1230,1125,924,10010,100313,168104
Deakin,54583,82847,21561,3503,9152,28474,11975,1990,1822,940,6613,115382,184037
Dunkley,63710,95436,20484,2505,4524,4294,5707,2226,2408,892,9274,98404,169345
Flinders,63736,101929,16680,931,1684,1650,1636,1722,1167,514,9372,96166,163863
Fraser,33725,46038,34879,6125,42804,17487,15367,3576,4134,2089,15743,137157,189151
