Electorate,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Not stated,Not applicable,Total
Bass,13639,5404,12390,7614,3089,1141,413,159,137,3067,62922,109977
Braddon,11434,5160,12736,8440,3734,1351,520,189,163,3369,62459,109556
Clark,18611,6269,11559,6004,2217,794,299,127,107,2938,62822,111750
Franklin,13895,5981,13513,7474,2773,928,317,135,110,2577,64115,111833
Lyons,11798,5748,13082,7887,3400,1170,440,192,137,3486,65732,113067
Brand,16583,8011,17369,10112,4203,1384,525,182,137,3947,94811,157271
Bullwinkel,16645,7032,19059,11402,4576,1385,484,174,157,3973,93346,158227
Burt,19292,9366,18734,10365,4341,1581,635,263,285,4120,107910,176886
Canning,14551,6610,18938,11712,4612,1411,523,174,139,4016,87477,150158
Cowan,21178,8860,19060,9688,3674,1356,624,294,284,3830,98636,167485
Curtin,26126,7980,19391,10162,2905,666,206,88,63,3666,92909,164161
Durack,18303,7412,16493,11073,5066,1857,757,382,282,10326,118695,190634
Forrest,14958,6731,18793,11640,4439,1386,487,164,134,4094,89028,151844
Fremantle,21930,8621,18516,9152,3028,791,286,101,107,3652,91289,157466
Hasluck,18771,8501,17281,8950,3405,1117,481,176,189,3586,92349,154812
Moore,17756,7401,23663,11566,3302,744,226,77,61,2550,94588,161934
O'Connor,15541,6725,17871,12614,5695,1815,702,272,221,7070,103394,171921
Pearce,17865,8302,19224,9975,3619,1098,352,138,122,3074,95126,158900
Perth,33213,9607,15770,6928,2231,676,269,91,110,4697,94858,168448
Swan,30619,10414,16958,8284,3021,1001,409,192,184,5834,105713,182642
Tangney,22121,8814,24605,11981,3608,877,323,107,104,3111,103035,178670
Aston,22065,9891,22884,10894,3637,960,322,131,127,3377,99440,173720
Ballarat,18857,6938,16334,10724,4426,1484,598,275,235,4428,87602,151898
Bendigo,18501,7228,17267,11368,4827,1549,640,265,211,5118,90241,157214
Bruce,22890,10214,22366,11455,4303,1606,670,302,350,5105,115804,195072
Calwell,21074,8183,16771,9887,4515,1829,863,425,568,4597,110290,179010
Casey,19319,7703,19958,11652,4085,1085,369,148,106,3158,94953,162538
Chisholm,27549,11643,24920,10209,2849,718,268,94,112,3805,107458,189630
Cooper,31944,8723,15924,6975,2235,701,314,130,185,4543,91204,162885
Corangamite,17115,6261,17372,10496,3573,926,326,108,96,3466,80195,139922
Corio,22438,8039,18673,11080,4223,1326,536,224,181,4459,96914,168104
Deakin,24546,10789,23380,11430,3601,1026,361,129,121,3474,105182,184037
Dunkley,21310,9515,20492,10496,3656,1040,390,135,132,4387,97797,169345
Flinders,17658,7611,22368,13083,4526,1051,351,143,124,5040,91900,163863
Fraser,30861,10311,17709,8547,3190,1210,532,292,367,6165,109971,189151
Gellibrand,23495,12827,21925,8655,2861,969,436,218,193,4384,122080,198038
Gippsland,15341,6424,17653,12066,5255,1643,667,257,211,5948,88895,154357
Goldstein,24111,9714,23239,10133,2533,589,157,80,83,3441,96797,170886
Gorton,20588,8852,20963,10377,3529,1132,495,226,265,4238,107291,177966
Hawke,18686,8304,18145,10323,3986,1335,520,240,239,4186,99719,165679
Holt,19684,9633,18333,9117,3626,1425,630,286,266,4008,107469,174480
Hotham,31851,11999,21544,8642,2718,898,348,174,192,4819,113075,196246
Indi,16547,6720,18009,12128,5058,1590,605,253,199,5306,90198,156620
Isaacs,23866,10346,21493,9974,3326,1098,441,218,196,3793,103455,178210
Jagajaga,22318,8486,21644,10280,3078,777,294,119,146,2831,94996,164977
Kooyong,31528,8914,20198,10145,2798,639,192,65,78,3570,94539,172664
