Electorate,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
Bass,4500,1745,12144,7062,17148,30467,120,8003,2735,7603,18439,109977
Braddon,2173,1311,8210,6706,19993,31713,107,10052,2388,8445,18458,109556
Clark,11769,3088,20006,7288,12301,25567,77,6008,2461,6462,16720,111750
Franklin,6400,2826,15466,8467,16432,27989,51,6104,2403,6143,19553,111833
Lyons,2334,1310,8422,7104,20122,33542,84,9563,2335,8909,19338,113067
Brand,2752,1842,12035,11330,28760,45196,97,7196,3683,10663,33725,157271
Bullwinkel,4061,2749,15978,12308,27248,45213,78,7465,4047,10842,28231,158227
Burt,5295,2002,17246,12481,26619,47596,142,8431,4806,10487,41789,176886
Canning,2085,1807,10622,11088,28469,44445,106,8240,3691,11125,28489,150158
Cowan,5446,2491,20250,12736,22425,45873,139,9524,6313,9771,32512,167485
Curtin,17893,5756,42280,12371,10836,30612,19,4287,3490,8647,27968,164161
Durack,2884,2232,13767,10536,31215,50993,138,9647,3850,25988,39384,190634
Forrest,2756,2392,14532,10834,28027,41853,69,7566,3577,10755,29479,151844
Fremantle,8147,3721,24745,12489,22055,37217,66,6839,4011,9354,28811,157466
Hasluck,4637,2356,17065,12016,23810,41826,89,7235,4257,8888,32626,154812
Moore,7409,4283,26704,14699,22775,38983,44,5163,4158,7398,30318,161934
O'Connor,2626,2117,13291,10309,28114,51224,118,10113,3830,18386,31788,171921
Pearce,3498,2214,15570,13243,27531,43314,82,5554,3969,8601,35338,158900
Perth,14119,5154,38507,14411,16605,34974,62,5874,4266,11287,23195,168448
Swan,13121,4113,34467,14970,19753,42402,66,6747,4799,13609,28589,182642
Tangney,13032,4844,35943,14462,17246,41685,54,6428,4554,7664,32765,178670
Aston,9464,3779,26770,15734,23044,43103,68,9851,4193,8016,29694,173720
Ballarat,5996,4021,17752,11695,23554,36490,155,11303,2666,10298,27974,151898
Bendigo,5422,4216,17658,11951,24569,37903,163,12216,3141,11806,28169,157214
Bruce,8245,2871,23090,16334,23165,49690,176,13959,7752,12170,37609,195072
Calwell,7445,2226,18782,13445,17241,43872,149,15281,7396,10839,42328,179010
Casey,5513,3882,19261,14743,28298,39213,98,9705,3596,8103,30133,162538
Chisholm,21785,5836,44671,15050,10794,38241,53,9020,4691,8956,30519,189630
Cooper,16150,6017,34343,12011,12972,31543,65,11390,4637,9024,24729,162885
Corangamite,6128,3932,20402,13131,20960,31126,78,7376,2692,8149,25946,139922
Corio,7252,3908,21670,13283,24616,40092,135,12930,3767,10780,29671,168104
Deakin,13349,5571,33578,16326,19104,40242,81,9921,4810,8106,32945,184037
Dunkley,5168,3523,19201,15531,27451,42313,122,10421,3846,10554,31226,169345
Flinders,5246,3766,19937,15418,25591,40830,96,10422,3812,12399,26338,163863
Fraser,12272,4026,30969,13145,15838,44743,145,15414,7769,14152,30680,189151
Gellibrand,17131,4386,33899,15315,16872,38529,66,9588,4696,10594,46950,198038
Gippsland,2945,2606,12051,11091,27987,40325,157,13836,2969,14453,25949,154357
Goldstein,15778,5892,40528,14708,11226,34196,37,6601,4008,8005,29908,170886
Gorton,6769,2565,23038,13217,18820,47023,90,13018,6166,9849,37411,177966
Hawke,4636,2671,15197,13065,25795,42104,139,11206,3916,9973,36981,165679
Holt,6317,2108,17520,14674,23110,42259,164,11096,5888,9434,41904,174480
Hotham,18735,4295,37842,15277,15150,43202,71,13085,6903,11314,30379,196246
Indi,3758,3621,14808,12946,27735,38424,120,12048,3174,13167,26814,156620
Isaacs,9068,3599,26716,14625,17644,44804,110,12805,7358,9209,32279,178210
Jagajaga,13223,5849,31573,13731,17023,34141,71,8860,4033,6822,29653,164977
Kooyong,22276,6651,48742,12921,7394,31911,29,5887,3619,7742,25495,172664
La Trobe,6481,2648,17816,14127,23237,36120,80,8638,3449,8343,38074,159025
Lalor,11951,2821,22596,14016,19689,39314,154,10160,5075,10855,43116,179732
Macnamara,21976,6029,47350,14426,10734,28490,33,4383,3607,11807,19533,168371
Mallee,2324,2364,11797,10747,26701,46101,165,18198,3681,16829,28724,167639
Maribyrnong,12571,5074,32294,13162,16047,36846,60,11051,4648,8953,27155,167869
McEwen,6588,3612,18948,13632,23206,34502,93,8065,3188,7394,35822,155045
Melbourne,31745,6310,62730,15200,10129,35957,59,4352,4322,16412,14614,201840
Menzies,18299,5461,40984,15961,12804,39818,66,11057,5228,9069,29866,188620
Monash,3370,2962,13141,11400,26253,36693,160,12272,3096,11950,25066,146349
Nicholls,2852,2565,12294,11456,26732,44243,178,16533,3628,14932,29696,165099
Scullin,8312,2446,19979,13350,18339,42655,114,14816,6227,9853,33358,169443
Wannon,3780,3076,15210,11898,26254,41906,136,14267,2863,13435,26799,159632
Wills,19048,6170,38544,12166,12818,31307,45,10646,4730,8931,24795,169207
Adelaide,17306,5093,40193,14465,18673,46245,99,10185,5976,10182,29197,197621
Barker,2077,1923,11615,10108,29834,53729,166,15253,4081,13619,29282,171687
Boothby,12362,5051,33263,14553,20201,42695,78,8108,4456,7751,27102,175626
Grey,1988,1700,10559,9346,29684,54230,170,14786,3386,15818,29825,171485
Hindmarsh,7427,3301,24032,13578,24969,47776,99,11368,4907,8619,26443,172532
Kingston,3982,2628,16368,12885,31530,48750,81,8449,3932,8157,29334,166105
Makin,6148,2488,18851,13013,27710,50565,133,10567,5235,7956,31093,173757
Mayo,6555,4030,22056,14775,28289,45409,106,8454,4228,10010,29817,173735
Spence,2235,1506,10372,10352,30693,59177,234,14708,6599,12156,40188,188227
Sturt,16629,5272,37862,14455,17539,42771,51,9602,4676,8045,30455,187354
Bean,12469,5212,26621,13023,16668,33850,72,5932,3501,6302,28964,152610
Canberra,23914,6825,35249,8749,8226,27172,31,3964,2464,8370,20542,145507
Fenner,16426,4810,28239,12790,15264,32017,68,5353,3366,6134,33801,158267
Lingiari,3119,1636,8870,5913,14935,31594,242,11020,3330,13623,26719,121004
Solomon,7100,2646,15855,7804,14587,23564,105,4501,2444,9538,22146,110288
Blair,3793,2614,14955,13673,33339,50846,201,12139,4156,12300,41931,189948
Bonner,10194,3959,28480,13396,19605,37301,70,7284,3606,7307,31687,162883
Bowman,4438,2758,16855,14857,28912,42442,108,8329,3855,8289,28377,159222
Brisbane,18388,6576,49181,15087,15596,36602,31,4135,3525,10960,23158,183255
Capricornia,2605,1885,11964,8305,28927,43592,123,11006,2824,16950,31615,159792
Dawson,2964,1932,13560,9638,29911,44984,103,10536,3109,15394,29950,162083
Dickson,5743,3512,20767,14195,25766,40169,78,6894,3549,6518,32391,159571
Fadden,6702,2805,20660,17951,31404,51003,121,9230,5047,13492,36201,194617
Fairfax,5956,3483,21775,15563,28605,41519,97,7673,4054,10937,29798,169466
Fisher,5508,3208,20702,15259,30092,43749,108,8485,4142,11387,29550,172185
Flynn,1727,1517,10003,8141,29636,44279,149,11962,2888,15519,32851,158677
Forde,4053,2221,15619,14991,33334,51895,151,10623,4889,13200,42367,193345
Griffith,16786,6019,43965,14286,16354,35301,48,4943,3370,9987,26528,177589
Groom,5160,2867,17302,11308,25947,41117,141,11322,3857,9926,31921,160864
Herbert,4387,2539,16391,10863,27811,44492,121,8813,3077,13343,32219,164046
Hinkler,2482,1973,11692,10260,28850,45264,195,14183,3702,12901,25073,156565
Kennedy,2341,1800,11346,9661,29573,48098,160,12976,3383,18610,33447,171402
Leichhardt,5124,3025,18822,13468,28108,42614,175,8527,4082,18172,33519,175620
Lilley,8545,4241,28319,14060,21085,37746,66,7248,3667,8285,28293,161558
Longman,2498,2226,13058,14446,35702,53049,150,12511,4526,12349,36078,186589
Maranoa,1737,1540,10510,8725,24627,42964,148,13768,3124,15714,28559,151422
McPherson,6562,3045,22726,15270,25039,40122,44,6761,4064,11091,28895,163608
Moncrieff,8102,3144,26289,17575,26032,46963,101,7545,4839,16529,25023,182143
Moreton,14787,4503,34487,12898,15373,36341,65,6882,4382,8590,30165,168476
Oxley,8095,3116,22829,13946,23276,48938,134,9409,5623,9720,41427,186519
Petrie,5943,3133,20892,15873,29433,48009,115,10061,4509,10632,36686,185285
Rankin,6522,2273,18910,13092,25036,49141,177,10694,6048,12289,42660,186856
Ryan,18699,5586,37817,12246,12804,33027,40,4180,2901,6151,30346,163797
Wide Bay,3083,2181,13341,11722,27431,42571,150,11287,3758,12862,23842,152236
Wright,3649,2377,14760,13899,33147,48270,145,11142,4186,11773,38308,181665
Banks,9849,2634,27759,14212,17364,42423,75,10152,6375,10070,30428,171343
Barton,16054,2803,37491,17164,15712,46037,55,11616,7698,13419,30774,198827
Bennelong,25011,4566,48703,15064,11993,33986,64,6309,5435,9613,32439,193177
Berowra,21319,4775,42616,16230,15706,36523,64,6684,5752,7851,36333,193842
Blaxland,9163,1687,24120,14387,14485,54353,146,15385,10915,18876,40718,204250
Bradfield,26974,5368,51452,14448,7421,32918,29,5612,4849,6861,36965,192900
Calare,4431,2460,15986,11097,29080,40598,181,13152,4125,15199,32931,169232
Chifley,8519,1599,22815,10885,17147,44129,109,11264,5029,12577,41315,175396
Cook,7931,2993,25201,15170,21355,35116,70,7142,5418,8212,27860,156462
Cowper,4077,2685,16002,12439,28904,41504,229,13961,4783,14901,27596,167076
Cunningham,10695,3606,24990,13736,26186,40269,153,12315,5396,10349,30392,178088
Dobell,3600,2068,14317,12322,29099,42227,169,11814,4508,11286,30923,162337
Eden-Monaro,7186,3528,18198,12985,26871,39329,130,10399,3983,12886,28403,163903
Farrer,3240,2365,14431,10874,28115,46292,177,15532,4071,15923,32105,173116
Fowler,4302,1101,17698,11440,15385,53344,186,18243,12545,13774,32199,180214
Gilmore,5172,3110,16117,12844,29388,38060,198,12534,4806,13550,25472,161247
Grayndler,18813,4843,42219,13576,12256,31453,48,8018,5347,9592,24610,170759
Greenway,14285,2617,30144,12779,15968,33697,62,6589,4364,8512,39533,168565
Hughes,8459,2679,23183,13953,21727,37543,90,7615,4973,7899,33221,161332
Hume,4607,1904,14207,11818,26241,36957,99,8984,3993,7392,35161,151371
Hunter,3314,1876,12508,11379,34076,42060,203,14085,4240,12056,31774,167583
Kingsford Smith,17696,3337,38578,15136,16267,38891,52,7969,5599,13289,27777,184591
Lindsay,5862,1865,16163,11988,26676,45892,140,11176,4359,12359,37469,173936
Lyne,3089,2097,12691,11657,30189,40108,206,14507,4419,13605,24773,157347
Macarthur,6276,1705,16722,11729,21348,42177,137,9679,4657,9369,36814,160613
Mackellar,11092,3785,33756,17469,19606,37618,75,6458,5897,8599,32360,176719
Macquarie,8255,3588,20044,14003,26392,36502,104,8760,4352,8102,29148,159250
McMahon,6915,1705,20408,12744,19772,49415,169,15631,8974,11910,36333,183982
Mitchell,17766,3753,37231,15001,14788,35782,43,6353,5112,6114,37675,179625
New England,4586,2377,14737,10700,28990,45619,224,15577,4369,17088,33557,177826
Newcastle,9691,3592,27446,12517,23784,38646,140,9843,4051,10253,27233,167192
Page,3964,2754,16197,12106,29560,43490,196,13730,4543,16011,29353,171908
Parkes,3106,1931,13560,9597,27727,46672,195,16573,3955,21377,36683,181379
Parramatta,25961,3638,45378,15458,13910,39615,76,7985,6119,12951,40632,211733
Paterson,3244,1957,12619,12074,31373,41042,162,12926,3963,9551,31039,159939
Reid,23474,4023,47721,18032,12812,39345,46,7761,6422,12998,29170,201820
Richmond,5683,3091,21434,14182,25863,39950,134,10073,4520,15147,27361,167436
Riverina,4246,2664,16101,11345,28543,45527,187,14244,4301,14924,33377,175452
Robertson,6088,2674,19560,13412,23802,36860,117,8927,4683,10167,26065,152356
Shortland,4468,2384,16782,12071,29047,38690,159,12140,4342,8864,28063,157009
Sydney,31575,5693,64349,18482,11835,36090,77,4452,5083,15716,19914,213261
Warringah,22556,5452,51636,15259,10595,29441,29,4105,4624,8485,29437,181612
Watson,9468,1650,23992,13188,14209,52109,96,13730,8931,15980,40166,193515
Wentworth,23140,4689,55052,13619,9317,28240,36,3549,4242,12739,24722,179353
Werriwa,5166,1326,17776,11736,16437,46549,127,11801,7740,10083,37724,166468
Whitlam,5158,2497,15994,13400,30223,40594,182,11845,4943,9912,30738,165474
Total,1358120,495376,3604996,1944014,3333448,6138556,16717,1487737,680986,1677556,4632354,25369858
