Electorate,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Not stated,Not applicable,Total
Bass,607,5739,2983,5266,9178,9492,8271,7540,8193,8663,5563,4537,3230,4179,738,1428,5921,18439,109977
Braddon,665,5313,2887,5165,10404,10264,8395,7328,7851,7920,5316,4463,3110,3992,623,1089,6306,18458,109556
Clark,496,6880,3115,4840,6917,8148,8019,7476,8501,9463,6681,5567,3990,6152,1197,2417,5158,16720,111750
Franklin,502,6138,3109,4628,7403,8132,7608,7094,8022,9394,6604,5751,4036,5964,1008,1509,5373,19553,111833
Lyons,741,5589,2858,5441,10279,10345,8146,7842,8392,9148,5846,4520,2885,3502,551,884,6749,19338,113067
Brand,1005,11064,3965,6076,9584,9296,8983,7975,9010,10700,8391,7632,5476,9968,2185,2142,10088,33725,157271
Bullwinkel,933,10580,4868,6425,9922,9588,9274,8105,9310,10878,8540,7731,5882,10853,2642,3616,10844,28231,158227
Burt,1111,14002,4466,7211,10450,9406,9353,9043,11353,13390,10019,8442,5705,8850,1824,1714,8743,41789,176886
Canning,1050,10408,4315,6549,11593,10536,9901,8287,7990,8682,6393,5923,4830,10094,2535,3238,9336,28489,150158
Cowan,1107,12201,4564,7776,11348,10634,9618,9157,11281,12827,9654,7913,5681,9052,1865,2236,8064,32512,167485
Curtin,542,11050,5585,5963,6351,7552,7840,6883,7971,9402,8332,8585,6948,15018,5028,15562,7582,27968,164161
Durack,1283,8980,3760,7992,9976,8527,8106,7812,9250,11006,9115,8922,7462,15069,4371,5392,24229,39384,190634
Forrest,807,8296,4592,5820,9962,9925,9996,9269,9858,10570,7550,6643,5198,9314,2270,2855,9433,29479,151844
Fremantle,777,9804,4416,5861,8768,8529,8142,7854,9211,11148,9315,8835,6836,13053,3214,4898,7988,28811,157466
Hasluck,934,10861,4058,5947,8778,8394,8228,7969,9822,12034,9495,7940,5779,9760,2159,2336,7693,32626,154812
Moore,627,10615,5637,6496,8481,8442,8868,8352,8717,10489,8844,8678,6768,14020,3872,6810,5894,30318,161934
O'Connor,1242,8971,4358,6854,11308,11161,10206,9378,10257,11470,8036,7772,6038,10768,2616,3159,16526,31788,171921
