Electorate,Non-Indigenous,Aboriginal,Torres Strait Islander,Both Aboriginal and Torres Strait Islander,Not stated,Total
Bass,100558,3998,185,176,5064,109977
Braddon,94525,8694,323,349,5668,109556
Clark,103639,3423,142,151,4384,111750
Franklin,101684,5511,188,236,4214,111833
Lyons,100101,5964,375,313,6302,113067
Brand,143980,4756,109,176,8253,157271
Bullwinkel,145740,4881,71,74,7452,158227
Burt,163569,5227,86,131,7869,176886
Canning,138229,4033,105,71,7728,150158
Cowan,157727,2952,71,83,6659,167485
Curtin,156594,1186,33,15,6327,164161
Durack,136043,28964,428,744,24455,190634
Forrest,139345,4042,53,88,8315,151844
Fremantle,148026,2766,48,58,6574,157466
Hasluck,143726,4496,119,139,6319,154812
Moore,156165,1207,47,37,4473,161934
O'Connor,146703,9376,158,156,15524,171921
Pearce,149781,2693,105,72,6245,158900
Perth,158088,1689,49,58,8567,168448
Swan,169694,3556,89,94,9206,182642
Tangney,172162,1710,35,53,4718,178670
Aston,167971,1056,36,32,4632,173720
Ballarat,141830,2483,94,60,7434,151898
Bendigo,145498,3025,106,65,8514,157214
Bruce,185413,993,43,30,8591,195072
Calwell,169402,1116,53,25,8420,179010
Casey,155269,1621,68,38,5535,162538
Chisholm,183475,443,13,14,5683,189630
Cooper,155243,1434,44,46,6110,162885
Corangamite,133094,1280,19,31,5502,139922
Corio,158213,2370,79,63,7380,168104
Deakin,178451,866,31,28,4662,184037
Dunkley,159891,1856,95,56,7456,169345
Flinders,153969,1576,80,46,8189,163863
Fraser,177532,1028,28,27,10534,189151
Gellibrand,188542,1132,47,43,8266,198038
Gippsland,139922,3663,98,57,10613,154357
Goldstein,165242,428,9,4,5206,170886
Gorton,170084,1015,23,29,6813,177966
Hawke,155032,2303,65,77,8192,165679
Holt,165508,1348,50,38,7538,174480
Hotham,188495,584,32,21,7122,196246
Indi,143530,3130,108,89,9762,156620
Isaacs,171782,638,40,17,5740,178210
Jagajaga,159377,1015,34,30,4519,164977
Kooyong,166711,435,18,15,5489,172664
La Trobe,151189,1237,53,28,6512,159025
