Electorate,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
Bass,1194,42654,2057,1204,76,1021,54126,411,7227,109977
Braddon,705,42779,719,473,48,530,55814,441,8039,109556
Clark,2067,37665,4973,2276,122,1569,56296,474,6307,111750
Franklin,1040,43324,1494,668,75,769,57273,447,6744,111833
Lyons,583,47197,479,327,49,511,54799,323,8792,113067
Brand,1731,61377,2056,1481,62,1967,75465,787,12342,157271
Bullwinkel,1598,66081,1258,1750,119,978,73157,774,12511,158227
Burt,4561,68200,7664,12755,50,4772,66894,835,11156,176886
Canning,1244,63246,633,578,60,800,72051,661,10883,150158
Cowan,7953,75854,5570,11810,731,2380,52791,651,9748,167485
Curtin,4226,69323,2783,1715,591,991,74586,586,9360,164161
Durack,1852,72370,1045,1722,83,1423,80936,842,30360,190634
Forrest,1305,60758,615,899,67,722,75121,738,11621,151844
Fremantle,2507,67667,2203,1946,207,1107,71807,729,9291,157466
Hasluck,4078,65882,5122,5467,459,3483,60301,719,9298,154812
Moore,1670,76906,1367,1337,229,736,71977,588,7126,161934
O'Connor,1288,65937,674,1096,76,980,81095,719,20061,171921
Pearce,1892,66805,2486,2239,119,1432,74409,627,8884,158900
Perth,6261,64311,4809,4122,2524,1636,72695,760,11341,168448
Swan,7881,68272,6928,12355,157,4077,68629,840,13502,182642
Tangney,7521,79002,6818,5411,125,2803,67510,579,8901,178670
Aston,7207,73889,5929,2563,154,2058,73081,741,8098,173720
Ballarat,1166,62659,1393,834,89,1294,73818,717,9926,151898
Bendigo,1768,63680,906,814,121,983,76586,742,11605,157214
Bruce,10073,82263,9435,25188,180,4635,50654,609,12030,195072
Calwell,5047,73548,10434,43148,43,9677,25170,486,11455,179010
Casey,1611,61497,799,419,221,1008,87641,893,8444,162538
Chisholm,11632,74588,10820,3482,1588,1952,75710,541,9318,189630
Cooper,4138,61093,3888,6493,451,1289,75980,835,8709,162885
Corangamite,1126,59788,1357,804,90,985,67049,575,8136,139922
Corio,1876,74422,2338,3334,116,1784,72245,800,11192,168104
Deakin,5957,78627,4750,2372,221,2017,80907,690,8493,184037
Dunkley,2118,66145,1669,1363,437,1012,85157,918,10527,169345
Flinders,1065,69048,355,302,344,471,80320,674,11285,163863
Fraser,21294,70258,6489,10364,192,2564,63340,751,13899,189151
Gellibrand,5697,73733,21775,16934,150,7568,58924,708,12554,198038
Gippsland,1086,62805,631,771,74,818,73368,603,14207,154357
Goldstein,2653,68837,3387,1188,11837,816,73187,596,8394,170886
Gorton,10810,93754,8272,12734,35,6949,33045,487,11878,177966
Hawke,2058,76479,4147,5467,96,5920,60039,738,10734,165679
Holt,7905,63688,11853,18105,125,10027,51716,646,10425,174480
Hotham,15117,76704,13618,7713,4803,3839,62767,701,10989,196246
Indi,1071,69388,922,408,90,800,70656,660,12624,156620
Isaacs,17395,70045,5238,12537,1028,2993,59254,575,9147,178210
Jagajaga,2934,72885,2656,3499,243,962,73904,753,7135,164977
Kooyong,5333,70210,4383,1913,4044,974,76645,662,8500,172664
La Trobe,6129,60641,7777,5771,119,6646,62233,653,9048,159025
Lalor,4269,68623,22676,16445,59,12421,42300,681,12271,179732
Macnamara,3631,48313,4983,2590,16678,937,77943,759,12539,168371
Mallee,2308,76613,901,2038,47,1157,68850,498,15216,167639
Maribyrnong,4390,86897,4661,6894,164,951,55119,540,8242,167869
McEwen,1974,66956,4725,3455,97,4704,64347,666,8116,155045
Melbourne,11099,49370,8105,6854,1447,1194,105389,968,17409,201840
Menzies,9418,80171,4826,5123,445,2055,76959,537,9086,188620
Monash,1109,59059,464,342,110,728,72480,653,11425,146349
Nicholls,1425,77522,1315,4840,51,2199,63568,514,13662,165099
Scullin,6289,81278,10819,19932,47,7331,33414,495,9839,169443
Wannon,933,71922,538,397,112,536,71060,578,13552,159632
Wills,3239,58556,4768,15381,471,989,75960,879,8966,169207
Adelaide,7933,73789,10327,9566,183,5051,79294,749,10734,197621
Barker,1088,70460,486,1161,55,1375,81714,549,14787,171687
Boothby,2612,71180,4931,3081,164,2032,83137,694,7808,175626
Grey,868,70366,554,458,44,1092,81253,549,16296,171485
Hindmarsh,3844,81617,3345,3533,98,3011,68381,656,8046,172532
Kingston,1284,59842,1217,1302,96,1287,91734,814,8527,166105
Makin,4110,69551,5960,8334,58,4749,71801,645,8560,173757
Mayo,1259,64114,373,285,126,828,94935,745,11065,173735
