Electorate,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Bass,812,6370,686,41303,613,60191,109977
Braddon,585,4958,753,40445,553,62249,109556
Clark,2437,9532,637,42310,603,56230,111750
Franklin,2376,8642,769,39885,518,59652,111833
Lyons,1051,5409,868,41554,734,63444,113067
Brand,3174,6584,968,60227,847,85475,157271
Bullwinkel,1411,8850,1254,63443,849,82424,158227
Burt,1615,8021,1009,69931,1150,95168,176886
Canning,1212,5324,1084,56100,768,85673,150158
Cowan,1704,8325,893,69588,1158,85821,167485
Curtin,2458,10795,630,71251,642,78375,164161
Durack,1013,10574,2494,72107,1211,103223,190634
Forrest,831,6791,1137,61999,726,80361,151844
Fremantle,2584,10243,1009,68633,749,74242,157466
Hasluck,1613,7736,902,66056,959,77543,154812
Moore,2068,10708,1059,69513,600,77985,161934
O'Connor,603,8375,2091,66655,1135,93056,171921
Pearce,1587,7389,965,69881,946,78134,158900
Perth,2867,11922,1007,79194,841,72610,168448
Swan,3008,9905,900,80676,1230,86927,182642
Tangney,2740,11624,1038,72407,792,90075,178670
Aston,2529,7029,1182,77367,987,84633,173720
Ballarat,2133,9964,1254,56601,829,81122,151898
Bendigo,1625,10515,1363,57578,900,85239,157214
Bruce,2076,5128,1053,78959,1607,106244,195072
Calwell,1733,5011,858,62684,1612,107102,179010
Casey,1724,7945,1251,71533,944,79137,162538
Chisholm,4103,6763,808,80207,1084,96660,189630
Cooper,4839,10454,1452,69435,1025,75675,162885
Corangamite,2799,8494,1314,54128,657,72532,139922
Corio,3204,10013,1529,64671,995,87685,168104
Deakin,3123,9133,1344,77980,977,91475,184037
Dunkley,1883,8080,1295,71709,957,85424,169345
Flinders,2291,6254,1091,62620,1003,90604,163863
Fraser,3737,8229,1073,75241,1798,99068,189151
Gellibrand,3643,7537,1183,81615,1496,102552,198038
Gippsland,2147,8149,1378,51299,1168,90219,154357
Goldstein,3065,6645,1003,75910,842,83429,170886
Gorton,2331,6695,889,70784,1516,95747,177966
Hawke,1911,7421,1309,64971,1108,88965,165679
Holt,1526,4364,867,73872,1513,92347,174480
Hotham,4307,6225,911,84599,1722,98469,196246
Indi,2443,8283,1686,59318,1136,83747,156620
Isaacs,2403,5831,1079,75743,1348,91809,178210
Jagajaga,4289,10583,1304,67418,712,80669,164977
Kooyong,3798,7754,753,77641,856,81853,172664
La Trobe,1503,5344,1148,70371,1132,79521,159025
Lalor,2267,5235,1077,72110,1650,97392,179732
Macnamara,4382,7892,888,86643,1044,67512,168371
Mallee,550,8080,2140,60363,1567,94937,167639
Maribyrnong,4124,9649,1110,71842,989,80154,167869
McEwen,2194,8068,1396,65429,930,77027,155045
Melbourne,6779,10732,953,104369,1305,77695,201840
Menzies,3398,7593,889,77174,1177,98390,188620
Monash,941,6997,1276,52952,1070,83117,146349
Nicholls,1528,7177,1331,61822,1296,91943,165099
Scullin,2144,6285,987,65751,1382,92892,169443
Wannon,962,7848,2112,62689,1221,84798,159632
Wills,5978,11337,1344,74079,982,75494,169207
Adelaide,5019,11938,838,82979,1064,95784,197621
Barker,776,7235,1246,67568,1231,93629,171687
Boothby,4140,11827,907,70005,769,87989,175626
Grey,909,8252,1350,60728,1141,99115,171485
Hindmarsh,3566,9808,837,70614,838,86871,172532
Kingston,2576,8981,1056,66016,679,86797,166105
Makin,3406,9023,866,68446,931,91083,173757
Mayo,2453,9194,1254,67200,826,92804,173735
Spence,3197,5967,724,66464,1197,110678,188227
Sturt,4164,11224,768,75732,762,94703,187354
Bean,22644,8529,222,48716,644,71852,152610
Canberra,29417,6273,144,45693,614,63372,145507
Fenner,23742,7965,139,53904,978,71538,158267
Lingiari,3184,8655,2007,33268,966,72915,121004
Solomon,5222,11448,469,41506,749,50882,110288
Blair,4022,10615,1382,67630,1295,105008,189948
Bonner,2781,10642,910,68285,823,79435,162883
Bowman,1627,8366,1196,64847,770,82418,159222
Brisbane,5407,13578,958,90977,927,71406,183255
Capricornia,1268,8862,1745,61098,974,85851,159792
Dawson,1873,7966,1409,66471,1077,83288,162083
Dickson,3449,11315,1088,65026,749,77947,159571
Fadden,1783,7731,1044,80190,1168,102695,194617
Fairfax,1462,7701,1204,68468,920,89709,169466
Fisher,1456,8805,1156,67629,990,92147,172185
Flynn,535,7428,1763,59981,1166,87807,158677
Forde,1575,8136,1105,76827,1312,104391,193345
Griffith,5008,13667,1030,83561,807,73510,177589
Groom,1846,10172,1323,60564,819,86139,160864
Herbert,7158,10502,1261,59384,895,84844,164046
Hinkler,646,7138,1327,47654,901,98892,156565
Kennedy,1159,9249,2275,59839,1490,97387,171402
Leichhardt,2349,11863,2293,62847,1199,95069,175620
Lilley,3846,12658,1123,67119,768,76038,161558
Longman,1419,8562,1090,67253,1225,107039,186589
Maranoa,458,7308,2464,54358,1214,85621,151422
McPherson,1418,7599,1224,70152,976,82236,163608
Moncrieff,1571,6717,1146,78144,1265,93299,182143
Moreton,4060,10671,959,67850,1196,83738,168476
Oxley,3603,9648,876,69910,1305,101173,186519
Petrie,2477,10826,1037,70579,1082,99283,185285
Rankin,1953,7951,995,68671,1383,105893,186856
Ryan,7518,11136,847,65698,574,78025,163797
Wide Bay,713,5468,1209,50586,944,93325,152236
Wright,1692,8156,1429,72259,1292,96838,181665
Banks,2410,8257,829,62478,1029,96342,171343
Barton,3075,8182,781,78023,1506,107260,198827
Bennelong,3678,8805,650,84721,1128,94191,193177
Berowra,2887,9643,769,81271,963,98315,193842
Blaxland,1565,5429,501,56665,2215,137887,204250
Bradfield,3024,7256,481,81516,873,99751,192900
Calare,1419,10533,1790,61478,1044,92965,169232
Chifley,1711,7100,709,59913,1367,104599,175396
Cook,2439,9063,919,65151,694,78197,156462
Cowper,1437,8213,1326,54621,987,100496,167076
Cunningham,4278,11328,1498,63408,828,96752,178088
Dobell,1233,8447,1074,58780,827,91978,162337
Eden-Monaro,9199,8249,1584,58898,1072,84904,163903
Farrer,1570,7909,2002,66531,1327,93774,173116
Fowler,1298,5172,543,50643,1320,121240,180214
Gilmore,2876,6999,1788,51235,893,97462,161247
Grayndler,5407,11565,1100,74218,824,77647,170759
Greenway,2290,9210,775,69897,1038,85356,168565
Hughes,3418,10261,1108,61747,809,83986,161332
Hume,1474,9145,1102,61988,900,76755,151371
Hunter,1712,6638,1002,63418,946,93865,167583
Kingsford Smith,5264,8976,1008,76412,1177,91749,184591
Lindsay,2351,9841,1042,66423,1090,93183,173936
Lyne,839,6347,1215,50710,953,97278,157347
Macarthur,1684,8192,930,56930,1080,91795,160613
Mackellar,1616,6867,1044,79069,747,87373,176719
Macquarie,2590,10661,1537,61025,738,82703,159250
McMahon,1623,7221,814,60368,1302,112653,183982
Mitchell,2381,9415,674,75442,863,90849,179625
New England,2135,8710,2062,63429,1108,100378,177826
Newcastle,4630,10859,1126,68218,734,81628,167192
Page,1392,8425,1583,58367,1107,101041,171908
Parkes,872,10763,2468,63488,1389,102402,181379
Parramatta,3239,10391,704,82690,1635,113081,211733
Paterson,2827,6298,946,60381,865,88629,159939
Reid,3290,9261,632,87917,1754,98955,201820
Richmond,1331,6704,1447,61980,1078,94892,167436
Riverina,4527,8880,1871,64081,1255,94834,175452
Robertson,1517,8639,968,56137,751,84348,152356
Shortland,1910,8963,1108,57970,665,86393,157009
Sydney,7138,10572,760,105858,1291,87643,213261
Warringah,3056,7459,800,88362,764,81166,181612
Watson,1630,5249,537,54195,1642,130270,193515
Wentworth,4071,7572,563,87738,1106,78296,179353
Werriwa,1705,6614,639,52825,1086,103597,166468
Whitlam,1998,8000,1295,62981,899,90296,165474
Total,458759,1277837,169833,9974984,156710,13331732,25369858
,,,,,,,
"Data source: Census of Population and Housing, 2021, TableBuilder",,,,,,,
,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,
,,,,,,,
,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,
