Electorate,Owned outright,Owned with a mortgage,Purchased under a shared equity scheme,Rented,Occupied rent free,Occupied under a life tenure scheme,Other,Not stated,Not applicable,Total
Banks,19579,19663,63,17785,471,261,143,2723,3741,64427
Barton,20100,20786,69,26527,761,178,160,3801,6444,78827
Bennelong,20319,22251,79,28801,731,516,130,2797,7171,82800
Berowra,22490,24866,88,16203,548,1095,163,1861,4255,71568
Blaxland,14025,16351,85,27196,676,194,197,5976,5758,70460
Bradfield,24826,22174,79,18979,694,554,116,1754,5767,74935
Calare,23369,20532,48,17464,928,277,147,4628,8043,75430
Chifley,10038,21030,60,19938,284,231,98,3971,2847,58498
Cook,20923,20567,72,15445,413,563,128,2342,4387,64844
Cowper,27566,17348,114,19309,598,856,175,4542,7308,77817
Cunningham,23310,20256,86,22360,470,554,140,3239,5139,75565
Dobell,19226,21111,111,17204,382,1020,134,3288,5754,68233
Eden-Monaro,24474,21491,55,16135,849,275,183,4125,11675,79260
Farrer,24589,19707,69,18198,1368,525,179,5905,8343,78877
Fowler,16011,14425,87,23117,570,105,180,4250,4275,63027
Gilmore,29659,17390,112,15203,684,803,208,4056,19213,87328
Grayndler,17238,19761,66,29640,574,278,117,2904,7409,77981
Greenway,9552,25958,47,15327,220,186,77,2268,2621,56263
Hughes,17390,22767,59,12250,266,231,93,1869,2492,57414
Hume,12602,23578,55,10196,344,585,117,1952,2115,51550
Hunter,20844,23089,88,14859,478,783,145,2919,5197,68407
Kingsford Smith,18075,17467,74,33103,709,303,113,4092,8180,82120
Lindsay,13335,22672,55,21849,346,313,108,3774,3625,66081
Lyne,30132,17211,155,13037,674,855,180,4307,9797,76350
Macarthur,11010,22484,81,16675,246,639,106,2804,2555,56601
Mackellar,23048,22423,114,14712,445,1280,166,2189,4674,69050
Macquarie,22008,23389,63,12009,491,346,110,2275,5287,65983
McMahon,16481,19763,61,19272,426,177,145,3554,3044,62927
Mitchell,18053,25426,84,12413,342,626,101,1462,2992,61492
New England,25353,19523,52,19769,1682,369,186,5917,9201,82056
Newcastle,19185,20698,80,24056,425,503,108,2850,5703,73601
Page,28616,19671,87,16452,845,334,215,4980,7513,78712
Parkes,24768,19174,61,19708,2017,439,283,8679,11471,86592
Parramatta,14735,21422,76,35676,579,316,125,4414,8002,85345
Paterson,20284,20544,110,17623,363,790,110,2637,7005,69468
Reid,18600,21168,72,34130,828,169,110,3593,8600,87272
Richmond,26734,18577,111,17367,742,763,202,5152,7567,77224
Riverina,25417,20918,58,17038,1293,474,196,4675,8369,78429
Robertson,21353,19475,104,16529,446,1099,149,3174,7670,69997
Shortland,23814,21216,75,14449,347,470,103,2520,4389,67381
Sydney,14837,19894,85,58751,1005,175,136,6481,17051,118420
Warringah,22729,19890,78,30880,712,306,124,2649,9655,87017
Watson,15290,16011,78,24916,670,135,187,5093,5037,67412
Wentworth,20295,17467,70,37065,898,364,141,4158,12758,93217
Werriwa,11142,20093,63,13964,346,178,130,2949,2234,51093
Whitlam,23068,22243,58,14226,452,486,116,2634,4138,67422
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,31,34
Aston,21708,25872,111,13161,382,823,142,2201,3288,67691
Ballarat,21070,20773,57,15845,535,326,117,3271,6685,68685
Bendigo,23021,21720,64,14956,521,240,124,3664,6097,70403
Bruce,19119,25972,84,16511,420,356,146,3637,3397,69638
Calwell,11250,25658,91,13974,274,205,176,3475,3173,58272
Casey,20699,27956,79,8015,407,430,131,2341,3866,63922
Chisholm,26219,20803,87,18919,710,659,297,2469,7927,78094
Cooper,19196,19461,74,24990,549,220,137,3045,7065,74731
Corangamite,19401,19677,105,11091,413,852,111,2284,11250,65183
Corio,21377,21594,67,20494,498,212,114,3433,4938,72729
Deakin,24148,25795,100,16181,495,492,121,2226,4523,74090
Dunkley,18715,26605,125,17615,340,637,134,3455,4342,71970
Flinders,27419,21954,125,12195,719,1058,191,3738,24624,92033
Fraser,18940,21545,94,25946,732,119,189,4932,8095,80597
Gellibrand,15509,28112,69,20180,412,251,136,3419,5244,73326
Gippsland,26360,19440,62,13477,743,264,148,4667,11610,76762
Goldstein,24608,22020,85,16975,621,357,131,2377,6661,73839
Gorton,16405,25676,79,10950,325,390,178,2977,2605,59588
Hawke,15043,26778,63,13065,322,163,133,3396,3415,62376
Holt,10012,28823,92,12833,262,502,154,3005,2139,57823
Hotham,22180,21471,82,25497,736,367,171,3264,7528,81295
Indi,25407,20125,66,13999,881,287,158,4743,10661,76326
Isaacs,20856,23456,105,16867,506,323,135,2694,4373,69327
Jagajaga,22911,22722,76,13947,481,360,128,1963,4681,67277
Kooyong,25728,18708,74,21844,885,326,137,2521,10678,80906
La Trobe,10792,27538,81,11630,293,485,105,2603,2485,56015
Lalor,12056,26263,82,17212,296,324,143,3617,3840,63840
Macnamara,17070,19241,65,41248,920,148,130,4851,18998,102664
Mallee,28521,18878,66,16032,1337,399,209,5786,10032,81259
Maribyrnong,21881,20918,66,21654,571,241,126,3000,7148,75608
McEwen,14002,27182,45,8629,348,160,88,2285,3074,55807
Melbourne,14392,17115,94,62879,1463,169,145,7454,29973,133674
Menzies,27411,21588,94,18550,840,692,172,2423,7588,79355
Monash,25146,19447,43,11615,747,267,156,4000,17801,79233
Nicholls,24073,20492,83,15303,848,489,168,5059,7407,73918
Scullin,17639,22624,89,14519,391,177,164,3021,3173,61792
Wannon,27754,19757,79,13248,1474,291,175,4183,14554,81512
Wills,19139,19761,56,27891,644,209,127,3194,8209,79222
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,45,49
Blair,16083,24729,52,24303,418,175,119,3986,5313,75192
