Electorate,qotd_financial_difficulty|Strongly agree,qotd_financial_difficulty|Somewhat agree,qotd_financial_difficulty|Neutral,qotd_financial_difficulty|Somewhat disagree,qotd_financial_difficulty|Strongly disagree,qotd_financial_difficulty|Don't know,,,,,,,,,,,,,,,,,,,,,,
Banks,20,25,25,15,14,1,,,,,,,,,,,,,,,,,,,,,,
Barton,16,24,24,18,16,1,,,,,,,,,,,,,,,,,,,,,,
Bennelong,15,23,25,20,15,1,,,,,,,,,,,,,,,,,,,,,,
Berowra,17,23,26,17,16,1,,,,,,,,,,,,,,,,,,,,,,
Blaxland,32,28,17,16,6,1,,,,,,,,,,,,,,,,,,,,,,
Bradfield,13,22,24,20,19,1,,,,,,,,,,,,,,,,,,,,,,
Calare,25,26,23,14,11,1,,,,,,,,,,,,,,,,,,,,,,
Chifley,29,31,19,13,7,1,,,,,,,,,,,,,,,,,,,,,,
Cook,20,26,24,17,12,1,,,,,,,,,,,,,,,,,,,,,,
Cowper,24,22,26,16,11,0,,,,,,,,,,,,,,,,,,,,,,
Cunningham,23,25,25,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Dobell,28,28,23,13,8,1,,,,,,,,,,,,,,,,,,,,,,
Eden-Monaro,20,25,28,16,11,1,,,,,,,,,,,,,,,,,,,,,,
Farrer,19,32,27,13,9,1,,,,,,,,,,,,,,,,,,,,,,
Fowler,33,30,17,11,8,0,,,,,,,,,,,,,,,,,,,,,,
Gilmore,20,23,26,16,14,1,,,,,,,,,,,,,,,,,,,,,,
Grayndler,16,25,21,19,16,2,,,,,,,,,,,,,,,,,,,,,,
Greenway,24,29,22,15,9,2,,,,,,,,,,,,,,,,,,,,,,
Hughes,19,27,28,15,10,1,,,,,,,,,,,,,,,,,,,,,,
Hume,25,29,23,12,9,1,,,,,,,,,,,,,,,,,,,,,,
Hunter,29,27,21,13,10,1,,,,,,,,,,,,,,,,,,,,,,
Kingsford Smith,18,27,21,17,15,1,,,,,,,,,,,,,,,,,,,,,,
Lindsay,29,29,22,12,7,1,,,,,,,,,,,,,,,,,,,,,,
Lyne,23,27,28,13,9,1,,,,,,,,,,,,,,,,,,,,,,
Macarthur,30,27,21,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Mackellar,16,25,26,17,15,1,,,,,,,,,,,,,,,,,,,,,,
Macquarie,20,28,23,18,11,1,,,,,,,,,,,,,,,,,,,,,,
McMahon,27,26,23,13,10,1,,,,,,,,,,,,,,,,,,,,,,
Mitchell,17,26,25,17,14,1,,,,,,,,,,,,,,,,,,,,,,
New England,26,28,24,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Newcastle,23,26,21,16,12,1,,,,,,,,,,,,,,,,,,,,,,
Page,23,28,26,14,8,1,,,,,,,,,,,,,,,,,,,,,,
Parkes,23,30,24,15,9,0,,,,,,,,,,,,,,,,,,,,,,
Parramatta,23,25,24,15,11,1,,,,,,,,,,,,,,,,,,,,,,
Paterson,25,27,24,14,9,1,,,,,,,,,,,,,,,,,,,,,,
Reid,15,27,22,19,14,2,,,,,,,,,,,,,,,,,,,,,,
Richmond,21,27,26,15,9,1,,,,,,,,,,,,,,,,,,,,,,
Riverina,21,29,23,16,10,1,,,,,,,,,,,,,,,,,,,,,,
Robertson,22,26,23,15,12,1,,,,,,,,,,,,,,,,,,,,,,
Shortland,19,26,23,19,12,1,,,,,,,,,,,,,,,,,,,,,,
Sydney,17,24,22,18,18,1,,,,,,,,,,,,,,,,,,,,,,
Warringah,14,23,25,19,18,1,,,,,,,,,,,,,,,,,,,,,,
Watson,24,26,24,14,9,4,,,,,,,,,,,,,,,,,,,,,,
Wentworth,12,25,25,18,18,1,,,,,,,,,,,,,,,,,,,,,,
Werriwa,31,24,24,10,9,2,,,,,,,,,,,,,,,,,,,,,,
