Electorate,Q11|Strongly agree,Q11|Somewhat agree,Q11|Neutral,Q11|Somewhat disagree,Q11|Strongly disagree,Q11|Don't know,,,,,,,,,,,,,,,,,,,,,
Banks,20,25,24,14,15,0,,,,,,,,,,,,,,,,,,,,,
Barton,28,23,25,12,11,1,,,,,,,,,,,,,,,,,,,,,
Bennelong,24,25,25,14,12,0,,,,,,,,,,,,,,,,,,,,,
Berowra,21,25,27,14,12,1,,,,,,,,,,,,,,,,,,,,,
Blaxland,27,21,30,9,13,1,,,,,,,,,,,,,,,,,,,,,
Bradfield,22,26,24,14,13,0,,,,,,,,,,,,,,,,,,,,,
Calare,21,19,30,14,16,1,,,,,,,,,,,,,,,,,,,,,
Chifley,22,23,28,12,14,0,,,,,,,,,,,,,,,,,,,,,
Cook,20,23,27,15,15,0,,,,,,,,,,,,,,,,,,,,,
Cowper,26,22,25,12,14,1,,,,,,,,,,,,,,,,,,,,,
Cunningham,27,27,22,11,12,0,,,,,,,,,,,,,,,,,,,,,
Dobell,26,23,25,11,14,0,,,,,,,,,,,,,,,,,,,,,
Eden-Monaro,21,23,28,14,14,1,,,,,,,,,,,,,,,,,,,,,
Farrer,20,21,29,12,18,0,,,,,,,,,,,,,,,,,,,,,
Fowler,24,23,30,9,13,1,,,,,,,,,,,,,,,,,,,,,
Gilmore,24,22,26,14,14,1,,,,,,,,,,,,,,,,,,,,,
Grayndler,35,29,19,9,8,0,,,,,,,,,,,,,,,,,,,,,
Greenway,23,23,27,13,13,1,,,,,,,,,,,,,,,,,,,,,
Hughes,22,21,27,13,17,1,,,,,,,,,,,,,,,,,,,,,
Hume,22,20,30,12,15,1,,,,,,,,,,,,,,,,,,,,,
Hunter,24,23,26,12,14,1,,,,,,,,,,,,,,,,,,,,,
Kingsford Smith,27,27,23,10,12,1,,,,,,,,,,,,,,,,,,,,,
Lindsay,22,21,27,12,17,1,,,,,,,,,,,,,,,,,,,,,
Lyne,22,23,28,13,14,0,,,,,,,,,,,,,,,,,,,,,
Macarthur,21,25,27,11,15,0,,,,,,,,,,,,,,,,,,,,,
Mackellar,23,24,26,13,13,0,,,,,,,,,,,,,,,,,,,,,
Macquarie,27,22,24,11,15,0,,,,,,,,,,,,,,,,,,,,,
McMahon,27,20,27,13,13,0,,,,,,,,,,,,,,,,,,,,,
Mitchell,20,22,27,14,16,1,,,,,,,,,,,,,,,,,,,,,
