Electorate,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
Banks,10561,2602,27680,13934,16019,39645,75,9256,5927,9418,0,135106
Barton,15171,2752,35129,15360,14228,41363,50,10713,7118,12254,0,154148
Bennelong,24458,4011,45931,14921,12445,35264,77,6737,5600,9133,0,158584
Berowra,14927,3807,31892,13101,13768,30196,45,5541,4747,5791,0,123813
Blaxland,7784,1467,21410,12849,13849,52046,118,14430,9363,16682,0,150001
Bradfield,23504,4604,44045,12934,6995,29318,22,4862,4334,6195,0,136812
Calare,4431,2460,15986,11097,29080,40598,181,13152,4125,15199,0,136304
Chifley,10031,1869,26520,12797,19740,50804,134,12988,5934,14537,0,155365
Cook,7484,2649,24559,14328,19526,34300,61,7166,5345,8397,0,123810
Cowper,4216,2781,16518,12749,29389,42158,231,14104,4880,15046,0,142073
Cunningham,10369,3459,23985,12759,23416,35681,138,10470,4811,9153,0,134240
Dobell,3609,2072,14357,12357,29152,42325,164,11851,4515,11335,0,131734
Eden-Monaro,7492,3682,18816,12632,25752,38710,116,9862,3761,12125,0,132953
Farrer,3240,2365,14431,10874,28115,46292,177,15532,4071,15923,0,141007
Fowler,4147,1056,17057,10967,14704,51365,184,17436,12089,13469,0,142478
Gilmore,5255,3170,16392,13076,29876,38713,200,12707,4884,13776,0,138060
Grayndler,18584,4782,39945,11854,9902,25337,46,5881,4070,7950,0,128354
Greenway,16963,3017,34745,14942,18734,42184,92,8938,5554,11203,0,156361
Hughes,7804,2933,22868,14032,21502,33416,60,6447,4728,6319,0,120095
Hume,4632,2408,15247,13300,31416,42261,141,11380,4474,10852,0,136113
Hunter,3502,1966,13178,11829,35197,43594,211,14422,4426,12973,0,141295
Kingsford Smith,18682,3462,39962,14714,15461,36999,52,7183,5221,12795,0,154528
Lindsay,6372,2096,17612,13107,29092,49416,145,12044,4755,13070,0,147710
Lyne,3089,2097,12691,11657,30189,40108,206,14507,4419,13605,0,132575
Macarthur,8275,2195,21691,15153,27194,53274,163,12119,5995,11560,0,157621
Mackellar,9365,3292,29097,15486,17724,33415,67,5699,5251,7710,0,127120
Macquarie,7744,3354,18598,12882,23971,32970,95,7891,3957,7391,0,118852
McMahon,4888,1364,17105,11823,18117,48339,172,15917,9961,12284,0,139961
