Electorate,Fully engaged,At least partially engaged,Partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Not applicable,Total
Lyne,36315,3363,18288,53559,10017,23935,145480
Paterson,48337,3471,18733,45026,9102,30967,155632
Lyons,29095,2925,13859,30797,6967,18534,102181
Canning,43670,3688,17224,41717,8936,27526,142762
Curtin,65649,2995,20879,33251,9315,28266,160348
Perth,72481,3928,20649,35006,13168,23750,168988
Cowan,64383,4133,22507,42806,9265,32089,175188
Hasluck,55994,3768,19043,32134,10462,31577,152972
Durack,71586,6821,20258,40586,22072,41424,202750
Pearce,59694,4053,19872,28528,7743,36819,156703
Swan,74980,4007,20885,37788,13351,28888,179888
Moore,61761,3680,22844,32809,5506,30145,156738
Burt,57819,3833,19071,37655,8347,34985,161708
Tangney,69184,3378,23090,40350,7704,31769,175475
Fremantle,57467,3684,19504,31230,9089,27764,148741
Brand,56342,4136,18381,37267,11311,36599,164025
Migratory - Offshore - Shipping (WA),304,14,19,18,75,0,431
No usual address (WA),1332,192,404,2088,1542,393,5950
No usual address (NSW),2649,293,984,4333,3281,741,12288
Solomon,48821,3256,9371,15440,9378,22005,108272
Migratory - Offshore - Shipping (NSW),64,50,34,169,63,39,419
Brisbane,80453,3218,17764,24590,12363,21308,159699
Lilley,61558,3446,17736,33396,7503,26509,150151
Dickson,59703,3352,19096,30897,5611,32777,151444
Moreton,68563,3129,19295,35120,7573,28320,161994
Rankin,64813,3805,20013,40246,8788,41498,179171
Oxley,62166,3445,17974,33905,11840,37837,167171
Ryan,70835,2778,17652,28100,6463,27619,153444
Leichhardt,57001,4060,20301,37203,14517,34350,167433
Kennedy,51986,4378,17817,41703,14288,34198,164371
Maranoa,47688,3911,16770,39208,11679,30010,149264
Groom,52865,3163,17475,35725,9161,30474,148864
Flynn,51684,4082,17043,36279,12104,34296,155484
Capricornia,52549,3876,16727,34596,13008,31489,152244
Moncrieff,61736,3334,22606,41438,14021,23985,167110
McPherson,54302,3246,21169,36165,9236,27462,151575
Fadden,58295,3261,20733,39181,10571,31183,163221
Wright,54396,3833,19388,35761,10162,32906,156442
Forde,59367,3603,19056,37670,8663,37182,165537
Blair,55055,3578,17695,39888,9612,36581,162411
Dawson,54995,3899,17724,34802,12458,29945,153824
Longman,50363,3515,18604,44912,10263,32937,160600
Fairfax,47843,3026,21083,40119,8175,27271,147518
Fisher,46268,3197,19949,42731,8011,25960,146115
Wide Bay,36400,2994,18311,49449,10813,24719,142686
New England,50160,3587,18277,40362,12071,29732,154187
Whitlam,48828,3332,19184,43934,7937,29065,152281
Cunningham,58174,3187,18511,40370,7994,27152,155381
Sydney,113712,4060,17826,27203,23671,13707,200179
Farrer,53527,4303,20076,41478,13202,31391,163981
Newcastle,59863,3201,19562,36095,8273,25948,152949
Richmond,41446,3466,22940,47068,12551,25434,152911
Mitchell,65953,2746,17700,29802,3810,33442,153450
Berowra,60153,2680,18248,30993,5063,28000,145132
Macquarie,52857,3070,18784,33225,6567,26930,141441
Greenway,71131,3560,17093,32346,7370,38566,170068
Chifley,63135,3661,15637,41157,8429,39229,171251
McMahon,59013,3427,16247,44913,7694,34402,165697
Kingsford Smith,82480,3570,17801,32387,13325,26669,176232
Barton,72950,3711,19081,40037,9506,27569,172852
Grayndler,69871,3194,16660,26213,10265,23311,149514
Wentworth,66028,3013,16787,24466,13274,22384,145952
Blaxland,58524,3512,17185,48651,9871,36885,174633
Watson,62603,3611,18583,45794,9007,35210,174807
Banks,62000,3253,17838,38898,6402,27413,155804
Cook,54708,3191,17235,32748,6297,24889,139060
Reid,81713,3722,19653,36963,11993,27300,181347
North Sydney,74951,3205,17548,30115,8305,27395,161524
Bradfield,65980,2550,18472,35682,5699,31880,160251
Bennelong,75352,3062,18581,37252,6306,28399,168948
Warringah,63109,3031,17972,27226,7992,28008,147334
Mackellar,57466,3030,20593,31886,6827,28813,148607
Macarthur,62018,3680,16741,36046,7628,35903,162020
Werriwa,62787,3511,16374,40291,8850,39092,170906
Lindsay,65549,3844,17475,34799,9528,35327,166527
Parramatta,74788,3600,18132,43016,10792,35998,186324
Fowler,55059,3257,15651,49678,9270,31328,164235
Hughes,60338,3077,18071,28705,4177,29925,144288
Lingiari,37323,3481,8137,26424,15378,27265,118003
Hinkler,35745,2798,16217,53563,9997,24810,143130
Herbert,61065,3590,17224,34646,10620,32852,159999
Migratory - Offshore - Shipping (Qld),40,10,16,63,20,9,152
No usual address (Qld),2173,346,957,5643,2571,824,12515
Adelaide,74585,3587,22726,42601,10292,27105,180891
Mayo,50368,4113,24044,43491,8085,28888,158998
Sturt,66423,3312,23548,46087,6807,28389,174561
