Electorate,Nil income,Negative income,"$1-$149 ($1-$7799)","$150-$299 ($7800-$15599)","$400-$499 ($20800-$25999)","$500-$649 ($26000-$33799)","$300-$399 ($15600-$20799)","$800-$999 ($41600-$51999)","$650-$799 ($33800-$41599)","$1000-$1249 ($52000-$64999)","$1250-$1499 ($65000-$77999)","$1500-$1749 ($78000-$90999)","$1750-$1999 ($91000-$103999)","$2000-$2999 ($104000-$155999)","$3000 or more ($156000 or more)",Not stated,Not applicable,Total
Lyne,7703,558,4970,10812,14796,11749,16744,9021,10181,7669,4498,3430,2497,3080,1682,12144,23935,145480
Paterson,9036,476,5214,9669,12613,10757,13694,10445,10315,9906,6300,5163,3511,4877,1969,10722,30967,155632
Lyons,5297,345,3349,7511,9467,7807,10636,7230,7431,6471,3667,2786,1606,1576,828,7634,18534,102181
Canning,11290,672,4831,8409,9538,8940,11420,7687,7592,8371,5775,5089,4161,7068,3603,10785,27526,142762
Curtin,12667,533,6255,6772,7812,7541,6724,7835,6695,9616,7813,7612,6070,11997,15043,11084,28266,160348
Perth,11687,734,4837,8254,9969,8867,9632,10306,8749,12076,9669,8804,6500,12087,7855,15220,23750,168988
Cowan,14738,1019,6346,11449,11408,10470,12874,12005,10536,12809,8476,6683,4503,6248,2517,11007,32089,175188
Hasluck,12003,651,5337,7575,7906,8167,8405,9428,7866,10818,7877,6912,4868,7639,3758,12185,31577,152972
Durack,11529,977,5071,10634,9283,8943,11000,9911,8847,11667,8616,8147,7057,14867,9868,24917,41424,202750
Pearce,12816,707,5421,7378,7457,8052,7802,9610,8247,11278,8256,7214,5092,7693,3367,9495,36819,156703
Swan,15937,982,5579,9466,10542,9704,10254,11600,9557,13175,9445,8079,5773,9588,5759,15581,28888,179888
Moore,12498,492,6700,7596,8092,8602,8211,8897,8010,10537,8249,7583,6079,10635,7091,7321,30145,156738
Burt,14297,913,5526,9300,9326,8929,10319,11018,9335,12208,8010,6293,4003,5372,1920,9965,34985,161708
Tangney,17473,757,7904,9341,9220,9303,9380,9846,8812,11022,8395,7841,6106,10787,7866,9649,31769,175475
Fremantle,10818,662,4996,7690,8121,7931,8781,8892,7463,10259,7920,7036,5512,9061,5172,10660,27764,148741
Brand,13292,754,5468,8525,8836,8650,9980,9331,8124,10689,7712,6615,5031,8115,3435,12864,36599,164025
Migratory - Offshore - Shipping (WA),0,6,0,4,7,0,4,10,0,17,12,28,24,94,141,83,0,431
No usual address (WA),502,48,213,820,411,312,558,295,300,264,156,154,129,242,150,1010,393,5950
No usual address (NSW),1141,96,360,1548,1047,704,1326,668,682,536,272,215,134,210,109,2492,741,12288
Solomon,6452,418,2283,3275,3775,4252,3783,6995,5089,9015,7099,6351,4929,7528,4179,10836,22005,108272
Migratory - Offshore - Shipping (NSW),19,0,9,32,31,37,43,25,43,10,7,15,3,13,3,77,39,419
Brisbane,11058,653,4352,6641,8321,8541,6976,10421,8533,12240,9521,9049,6358,11470,10480,13776,21308,159699
Lilley,8947,471,4757,7283,9943,9266,8878,11036,9527,11778,8765,7793,5076,7613,3504,9005,26509,150151
Dickson,9809,436,5669,7719,8460,8773,8718,10740,9488,11314,8216,7352,4666,6903,3457,6942,32777,151444
Moreton,15920,785,6089,9788,10015,9810,10257,10668,9464,11162,7790,6845,4586,6859,4238,9404,28320,161994
Rankin,14977,915,5892,10753,10681,10602,11265,13842,12456,12920,8043,5854,3489,3858,1377,10734,41498,179171
Oxley,12695,744,5613,9568,9037,9018,9592,11729,10254,11548,7845,6562,4070,5384,2296,13364,37837,167171
Ryan,14079,489,6539,8292,7544,8336,7287,8433,7308,9967,7911,7719,5570,9917,8402,8033,27619,153444
Leichhardt,9370,672,4798,10307,10695,10903,10230,12047,11180,11135,7154,6194,3938,5201,2561,16699,34350,167433
Kennedy,8692,894,5026,10226,11916,10765,12643,10715,10864,9698,6245,5213,3465,5202,2009,16593,34198,164371
Maranoa,7125,1001,4675,9400,12401,10428,13353,10054,10114,9259,5482,4308,2620,3495,1860,13683,30010,149264
Groom,8192,559,4986,8041,10699,10138,10610,10580,10476,10401,6674,5812,3631,4502,2133,10953,30474,148864
Flynn,10459,943,5085,9205,9724,8472,10619,8249,8385,8384,6001,5210,4217,8018,4223,13992,34296,155484
