Electorate,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10,Not applicable,Total
Lyne,35796,25281,22785,21814,13190,11116,8478,5753,25,1022,207,145480
Paterson,33245,27545,24286,16098,15795,16732,8944,5656,4309,2677,346,155632
Lyons,25742,24788,16657,18825,10266,2086,3241,536,0,0,40,102181
Canning,16730,17379,12404,17982,25304,20971,14025,9961,5953,1267,791,142762
Curtin,0,762,1757,2707,4732,7942,11596,13073,26776,89147,1865,160348
Perth,704,1369,4723,17457,19890,22330,21467,30069,31764,19120,95,168988
Cowan,18060,24806,24339,27869,21000,26419,16509,9360,3169,3643,13,175188
Hasluck,5336,10069,9579,13511,19946,19739,28944,21047,18110,4771,1933,152972
Durack,31247,15265,20374,24995,28801,28371,15522,13118,8819,1949,14291,202750
Pearce,1377,9423,13643,18521,15954,14904,30433,29344,16854,5778,474,156703
Swan,1874,6819,20784,27938,23508,23100,18854,23656,23173,9255,934,179888
Moore,68,0,1192,5020,9749,13528,19450,29554,39000,39161,10,156738
Burt,21299,35793,26303,17288,14471,9004,11844,10053,11558,4052,40,161708
Tangney,295,450,3558,7367,9039,12936,19787,44261,47384,29412,988,175475
Fremantle,857,6257,12912,14547,12775,16717,20159,29016,23967,11379,149,148741
Brand,13286,25467,17398,20651,24624,22970,22862,9878,4651,456,1789,164025
Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,431,431
No usual address (WA),0,0,0,0,0,0,0,0,0,0,5950,5950
No usual address (NSW),0,0,0,0,0,0,0,0,0,0,12288,12288
Solomon,3197,2620,6197,5970,11600,13915,12040,18440,17807,16007,493,108272
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,419,419
Brisbane,259,964,748,1459,5721,10947,16801,28169,41505,52916,213,159699
Lilley,1994,6218,6066,14437,20101,23306,28340,26234,14390,7455,1607,150151
Dickson,4339,11267,16058,11399,9907,11539,15636,21392,24097,25747,61,151444
Moreton,4611,4610,6086,15747,22967,25282,23184,18978,20816,19229,482,161994
Rankin,43845,27434,14151,13064,11679,21000,22379,16893,7314,1342,67,179171
Oxley,29575,14141,16640,14386,13462,16548,15051,21727,12401,10088,3150,167171
Ryan,270,408,1662,3395,2166,6846,11691,20898,41659,61166,3278,153444
Leichhardt,37078,17778,16046,17435,17087,20151,14568,16487,8386,1965,457,167433
Kennedy,36419,32423,29609,26202,20176,9739,5197,2519,923,68,1094,164371
Maranoa,35578,28536,24313,21644,13411,14150,8078,2821,716,0,14,149264
Groom,15041,25824,23142,15523,15135,14647,15118,11246,8089,4430,670,148864
Flynn,23336,29943,26504,25327,16247,17265,7871,8475,0,0,519,155484
Capricornia,21797,23662,24228,27596,16845,16816,6640,11495,2192,30,948,152244
Moncrieff,6773,17071,24213,24015,17712,21304,23444,20317,9179,2582,514,167110
McPherson,2092,6022,15260,18792,22682,26138,25699,22773,8369,2749,1013,151575
Fadden,7344,15518,21710,21460,19108,23318,19670,15962,10809,8179,130,163221
Wright,13321,12271,16506,25646,28296,20084,16210,15666,7908,202,329,156442
Forde,25632,22683,18963,22768,21438,13171,16356,13720,10385,335,82,165537
Blair,28929,37867,31880,20070,10644,12667,10303,5084,2574,1796,603,162411
Dawson,16306,29764,27774,17597,13746,18733,12029,6497,5754,2077,3545,153824
Longman,27053,35055,24933,21475,15315,15102,13716,6099,910,0,942,160600
Fairfax,6176,13213,13387,17550,22351,21926,21526,21812,7533,1538,506,147518
Fisher,5040,9683,18735,24169,31962,23845,21163,8470,2572,448,31,146115
Wide Bay,39273,18128,26223,21233,13603,8848,7545,3704,2373,858,895,142686
New England,34705,27874,22222,11064,15115,16961,11380,9039,4214,488,1133,154187
Whitlam,23352,21168,24025,18498,15260,9632,16076,12608,10512,1028,114,152281
Cunningham,12798,9248,16727,19197,18557,14355,15989,17952,21672,8397,484,155381
Sydney,8582,1675,1115,6499,8343,10385,8485,22889,32995,94647,4569,200179
Farrer,33469,31383,22282,17275,15915,18930,13123,7251,3692,433,233,163981
Newcastle,7204,8264,24811,25848,16378,18833,11385,12497,20094,5914,1718,152949
Richmond,14882,20712,25458,24379,20380,14880,15924,9960,4932,1333,62,152911
Mitchell,0,0,1101,554,391,1928,3903,16778,48348,80312,150,153450
Berowra,0,1544,136,1122,1494,1793,6051,11738,41057,79913,284,145132
Macquarie,3304,3975,7308,20247,13503,21846,24247,27277,15362,3990,397,141441
Greenway,2644,7171,18654,12898,10901,22358,14138,20749,23589,35882,1087,170068
Chifley,39889,19358,23698,32754,23139,10649,6174,6567,3990,4892,142,171251
McMahon,31964,35359,16410,20556,20451,21875,12435,983,1971,3584,118,165697
