Electorate,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10,Not applicable,Total
Lyne,26581,24733,24524,22317,15238,8916,9277,9836,2831,1022,207,145480
Paterson,19061,35198,21405,17496,13548,13421,18172,6937,5375,4682,346,155632
Lyons,20735,20113,16965,17724,10755,7340,4521,2686,1302,0,40,102181
Canning,12595,19573,11124,14649,24398,22630,15022,11940,6838,3195,791,142762
Curtin,979,1205,2920,6525,8787,6779,10849,15295,28678,76471,1865,160348
Perth,1543,2496,11838,20793,23013,26149,24409,20966,26875,10806,95,168988
Cowan,22655,25062,24377,24418,20670,23019,14850,10150,6404,3575,13,175188
Hasluck,3251,11643,8691,15849,17157,18206,25197,21672,22894,6481,1933,152972
Durack,29692,16021,19119,25768,26588,18636,17848,19349,10632,4805,14291,202750
Pearce,701,8888,12740,19058,18283,12134,23614,27724,27259,5832,474,156703
Swan,4323,11965,22976,23850,30702,23940,17298,14979,20737,8189,934,179888
Moore,68,1192,895,3889,9352,8967,19754,29838,27961,54809,10,156738
Burt,21249,34057,25169,18948,13781,7503,9311,13173,13893,4585,40,161708
Tangney,749,1988,6231,6644,8753,13754,32329,34351,41766,27930,988,175475
Fremantle,2014,9251,14841,11740,15956,16321,24277,19773,21660,12759,149,148741
Brand,9479,24073,21476,14284,20098,27890,22237,12715,8811,1176,1789,164025
Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,431,431
No usual address (WA),0,0,0,0,0,0,0,0,0,0,5950,5950
No usual address (NSW),0,0,0,0,0,0,0,0,0,0,12288,12288
Solomon,4211,3479,8691,9112,13297,12100,11815,16803,10470,17788,493,108272
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,419,419
Brisbane,1822,2030,5229,5070,10752,14949,20618,21647,34066,43297,213,159699
Lilley,2318,5701,9646,16216,18718,18008,23619,24961,18720,10634,1607,150151
Dickson,3700,9813,10787,10648,10605,10663,12406,17752,25115,39891,61,151444
Moreton,5001,6391,17188,20458,26129,20522,13916,14386,18011,19513,482,161994
Rankin,39827,28281,12997,10959,19578,13455,25115,17055,8638,3195,67,179171
Oxley,29272,17674,13046,12426,14030,15323,15891,18973,15102,12273,3150,167171
Ryan,270,2027,4280,4470,5810,7366,12008,17221,33769,62949,3278,153444
Leichhardt,37757,19094,14382,16031,11999,16306,14916,18206,12281,5992,457,167433
