Electorate,English,Cantonese,Mandarin,Total
Lyne,132468,135,136,145480
Lyons,93084,47,156,102181
Canning,123478,167,453,142762
Curtin,124447,1466,4245,160348
Perth,111791,2433,4556,168988
Cowan,104752,2654,3471,175188
Hasluck,120117,357,860,152972
Durack,156545,214,915,202750
Pearce,121558,563,1449,156703
Swan,115471,2686,7677,179888
Moore,133884,733,1334,156738
Burt,109519,1666,4937,161708
Tangney,118621,4951,12865,175475
Fremantle,110499,838,2974,148741
Brand,134363,312,827,164025
Migratory - Offshore - Shipping (WA),307,0,8,431
No usual address (WA),3820,27,85,5950
No usual address (NSW),7209,81,306,12288
Solomon,71748,622,1775,108272
Migratory - Offshore - Shipping (NSW),277,3,23,419
Brisbane,117486,1669,4359,159699
Lilley,120068,1024,1594,150151
Dickson,134338,336,638,151444
Moreton,95405,5551,17364,161994
Rankin,116604,3277,9020,179171
Oxley,107877,1102,2687,167171
Ryan,121505,1497,5578,153444
Leichhardt,119840,509,1196,167433
Kennedy,136698,125,324,164371
Maranoa,131784,92,308,149264
Groom,129026,197,885,148864
Flynn,134402,76,403,155484
Capricornia,131327,147,345,152244
Moncrieff,124110,1248,4110,167110
McPherson,126477,963,2166,151575
Fadden,132695,664,2547,163221
Wright,136829,243,849,156442
Forde,137687,410,1281,165537
Blair,140205,175,542,162411
Dawson,130233,196,653,153824
Longman,140951,239,705,160600
Fairfax,131142,147,375,147518
Fisher,130743,152,401,146115
Wide Bay,126920,84,193,142686
New England,135428,219,672,154187
Whitlam,128917,283,583,152281
Cunningham,119476,569,2845,155381
Sydney,102098,6046,20580,200179
Farrer,138456,228,568,163981
Newcastle,129609,576,1829,152949
Richmond,133120,154,324,152911
Mitchell,98152,5101,9963,153450
Berowra,102111,5427,8435,145132
Macquarie,125664,352,457,141441
Greenway,92121,2348,3490,170068
Chifley,88654,1291,1531,171251
McMahon,70010,2953,3538,165697
Kingsford Smith,98154,5431,12777,176232
Barton,60775,11142,17895,172852
Grayndler,99452,2177,4432,149514
Wentworth,105141,1051,1916,145952
Blaxland,44479,8259,10553,174633
Watson,49744,8062,11291,174807
Banks,78902,11597,15278,155804
Cook,102803,2234,2941,139060
Reid,73321,10808,22697,181347
North Sydney,106259,6665,10043,161524
Bradfield,99974,9085,16431,160251
Bennelong,79233,13787,23135,168948
Warringah,114480,1330,2468,147334
Mackellar,120137,921,1829,148607
Macarthur,110488,1030,1363,162020
Werriwa,68331,2496,2217,170906
Lindsay,129822,544,1175,166527
Parramatta,63279,9107,14535,186324
Fowler,41568,7207,4215,164235
Hughes,116020,1331,1941,144288
Lingiari,59500,104,383,118003
Hinkler,127014,145,491,143130
Herbert,136662,303,474,159999
Migratory - Offshore - Shipping (Qld),113,0,0,152
No usual address (Qld),8700,41,219,12515
Adelaide,107426,2889,8800,180891
Mayo,144136,97,347,158998
Sturt,118383,2785,8494,174561
Boothby,130317,1257,4167,165395
Grey,147660,64,214,169055
Spence,134836,148,546,172726
Makin,126072,979,2408,167050
Kingston,138845,317,1019,158725
Hindmarsh,116674,1004,1877,160762
Barker,145241,111,860,165623
Migratory - Offshore - Shipping (SA),3,0,0,8
No usual address (SA),1934,9,46,2862
No usual address (OT),40,0,6,54
No usual address (NT),1367,0,9,2485
Migratory - Offshore - Shipping (OT),7,0,0,4
Bowman,130749,263,722,147011
Bonner,115410,2107,4677,149634
Griffith,112537,1303,3173,149709
Petrie,135098,619,1186,163268
Migratory - Offshore - Shipping (NT),28,0,0,73
Higgins,104420,2400,8529,153267
Kooyong,109844,5109,13970,162818
Menzies,89578,11871,18293,161729
Chisholm,85734,9984,28000,175950
Deakin,118862,4034,8799,160811
Goldstein,110993,993,4700,147624
Hotham,71792,5946,12957,187984
Isaacs,103380,1553,4309,150076
Jagajaga,117206,1438,4623,153930
Scullin,69603,1499,4323,157629
Gorton,71218,2034,2129,156716
Calwell,56110,399,754,144698
Aston,109520,4779,8067,154154
La Trobe,97922,252,1229,121751
Bruce,87523,1636,4608,174470
Holt,87338,587,1908,149643
Fraser,63936,5088,4127,173193
Gellibrand,92886,2281,5964,160668
Lalor,86059,952,2719,152605
Dunkley,126537,414,1273,152025
Migratory - Offshore - Shipping (Vic.),20,0,0,26
No usual address (Vic.),4202,66,216,7572
Forrest,125945,145,633,146444
O'Connor,145926,130,562,175285
Franklin,89113,130,559,99044
Bass,89464,186,753,102287
Clark,83888,528,2259,102574
Braddon,94137,74,233,102889
Migratory - Offshore - Shipping (Tas.),58,0,0,75
No usual address (Tas.),678,5,11,911
Ballarat,120928,177,904,136395
Hawke,107895,226,574,135949
Mallee,138031,229,688,161417
Wannon,130390,103,609,146662
Bendigo,122501,148,655,139131
McEwen,108361,150,530,127808
Corangamite,104801,171,619,117576
Corio,118829,283,1207,148291
Indi,127261,124,349,144406
Nicholls,125445,212,643,150412
Casey,132492,261,843,150608
Monash,112187,112,333,126729
Gippsland,125055,162,510,144571
Flinders,121976,125,245,137226
Wills,83650,933,2873,151178
Melbourne,95151,5424,23612,186696
Cooper,87049,1830,5531,153352
Maribyrnong,95013,2291,2726,148179
Macnamara,105134,1798,6840,160704
Gilmore,133423,206,259,150435
Riverina,137345,259,529,155790
Eden-Monaro,125948,201,462,147532
Robertson,125100,453,957,143099
Dobell,136630,348,506,154063
Shortland,132037,309,407,144483
Calare,140406,261,311,161298
Parkes,133879,191,298,153770
Page,141217,168,310,159107
Cowper,140406,181,314,159322
Hunter,141220,189,313,156796
Canberra,90907,1227,5163,126770
Fenner,92551,1707,5731,136032
Bean,105180,914,1504,134058
Migratory - Offshore - Shipping (ACT),0,0,0,0
No usual address (ACT),354,6,16,541
Hume,132496,290,441,150643
Total,16878321,280629,595975,23241733
