Electorate,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Lyne,6550,8649,8092,6233,6184,5567,3765,6390,400,450,93200,145480
Paterson,6004,9315,11322,7794,8244,6718,6302,7749,592,444,91154,155632
Lyons,5745,4933,6531,5278,5169,4134,3572,5830,475,315,60204,102181
Canning,5957,7954,11788,6560,7262,5669,6335,6316,638,368,83919,142762
Curtin,12572,29937,6801,7101,9038,6029,1606,3906,805,310,82240,160348
Perth,11657,27016,10864,9020,11534,6803,3478,6397,854,443,80923,168988
Cowan,7403,13465,13531,9323,11220,8145,5995,9575,863,652,95026,175188
Hasluck,8173,12246,12175,8166,10478,6577,6134,6481,742,423,81367,152972
Durack,12170,12820,18519,8789,10142,5851,11146,11378,1189,666,110082,202750
Pearce,7792,12112,14357,8835,10954,7710,5091,7569,775,475,81034,156703
Swan,9625,20577,12763,9334,11868,7369,6071,8027,882,516,92862,179888
Moore,10587,19460,12314,8372,11953,7898,3060,5370,815,363,76539,156738
Burt,5730,10259,12902,8214,10052,7002,7905,8601,760,482,89799,161708
Tangney,10924,23567,10067,8160,11762,7764,3554,6029,798,431,92423,175475
Fremantle,8687,18002,11653,7535,9850,6254,4137,6028,801,431,75365,148741
Brand,6282,9725,14320,9050,9063,6939,6924,8033,869,440,92387,164025
Migratory - Offshore - Shipping (WA),9,81,81,3,8,0,31,102,14,5,100,431
No usual address (WA),109,234,347,161,112,89,272,390,30,25,4177,5950
No usual address (NSW),271,648,476,434,263,224,334,583,57,47,8959,12288
Solomon,7106,12003,8978,7179,8316,4315,3077,4936,746,416,51198,108272
Migratory - Offshore - Shipping (NSW),5,17,17,15,16,15,11,15,0,3,286,419
Brisbane,13596,32142,7409,8696,12146,7499,1937,5221,884,493,69679,159699
Lilley,9020,19107,9547,8059,12400,6779,3839,6291,702,462,73938,150151
Dickson,9272,15586,10946,8774,12523,7164,4227,5983,665,428,75864,151444
Moreton,8684,22413,8503,7806,10304,6882,3807,6999,823,500,85282,161994
Rankin,6876,12658,10949,8398,11513,7533,8289,9668,834,666,101775,179171
Oxley,7660,14625,9494,8618,10760,6796,6409,7951,761,565,93535,167171
Ryan,10720,27868,6178,7984,10205,6394,1574,3716,713,278,77808,153444
Leichhardt,8485,14614,10865,10540,9361,7411,4207,7581,783,569,93012,167433
Kennedy,9538,9053,10930,7664,7789,5752,6886,10085,600,617,95459,164371
Maranoa,12463,7678,8798,6076,6898,5128,5778,10075,471,591,85313,149264
Groom,7784,12809,10112,7513,9055,6135,4412,7877,437,388,82343,148864
Flynn,9224,7992,12086,6031,7218,5377,9201,9340,611,541,87874,155484
Capricornia,7206,9723,12445,6832,8139,5798,8496,7824,562,440,84793,152244
Moncrieff,9801,14758,10981,10005,9970,9911,3515,8196,848,580,88541,167110
McPherson,8677,14636,10522,9026,9558,8851,2965,6283,710,452,79911,151575
Fadden,9341,12371,11274,8560,10651,9033,4419,7378,795,519,88874,163221
Wright,9131,9933,11953,7294,9808,6336,6039,9028,634,498,85800,156442
Forde,7631,10034,12528,8137,11028,7772,6968,9080,781,548,91041,165537
Blair,6700,9848,10526,8786,9602,6481,6518,9074,727,475,93665,162411
Dawson,8333,10862,12425,7477,8453,6668,7544,8414,591,508,82544,153824
Longman,6333,8050,10992,7994,9297,7251,5792,9009,695,477,94710,160600
Fairfax,7712,13283,10528,7920,8570,7185,3129,6682,590,413,81500,147518
Fisher,7358,11438,10392,7711,8127,7195,3396,6683,520,426,82866,146115
Wide Bay,6637,8083,8063,6684,6223,5538,3633,6828,442,414,90131,142686
New England,10429,10777,8631,6790,7217,5870,4498,9147,556,512,89761,154187
Whitlam,6603,10153,10933,8092,8490,6876,5272,6944,599,442,87886,152281
Cunningham,7552,17766,9599,8348,9170,5861,3630,5478,620,413,86938,155381
Sydney,18874,42075,9074,11635,12506,8535,1715,5897,1282,809,87786,200179
Farrer,12155,10612,9784,7390,8269,6549,5386,10155,610,599,92475,163981
Newcastle,7393,20282,9267,8897,9515,6652,3582,5929,622,412,80398,152949
Richmond,7612,12312,9236,8134,7050,6614,3020,6798,531,508,91094,152911
Mitchell,12913,22896,8010,6196,12635,7353,2493,3640,874,501,75941,153450
Berowra,12357,22800,7466,5946,10988,6152,1841,3660,647,435,72838,145132
Macquarie,8623,15052,10624,7577,9688,5528,4197,5809,666,403,73278,141441
Greenway,9532,18903,10131,7513,13756,7526,6467,6652,920,625,88032,170068
Chifley,5187,10589,9127,7557,11246,6495,10102,8893,898,748,100407,171251
McMahon,6275,10309,10299,6438,11272,6425,7069,7173,957,695,98782,165697
Kingsford Smith,12363,26568,8597,8623,12092,7360,3283,5015,854,608,90878,176232
Barton,9502,20147,9856,8229,12029,8136,4726,8276,933,839,90176,172852
Grayndler,14021,31560,6813,6846,10455,5823,1875,3741,856,470,67063,149514
Wentworth,16412,32088,4748,6194,8567,6140,932,2315,962,436,67161,145952
Blaxland,5293,10405,10351,6897,8689,6333,6134,8479,919,963,110172,174633
Watson,6842,14038,9517,7498,9754,7342,5820,8019,852,876,104244,174807
Banks,8672,17110,9148,7175,12194,6967,4252,5823,762,621,83076,155804
Cook,10929,16399,8718,6994,11358,6909,2872,3777,719,471,69929,139060
Reid,13764,28488,8625,7398,12797,8322,2746,5627,1192,820,91554,181347
North Sydney,17364,36148,4926,5865,10906,6391,1045,2293,1045,451,75090,161524
Bradfield,14472,29158,4556,5788,9957,6152,1114,2693,879,451,85033,160251
Bennelong,11554,27902,8014,6771,12448,7065,2327,4424,847,623,86973,168948
Warringah,16259,26888,6223,6464,9682,6365,1402,2824,950,405,69868,147334
Mackellar,13133,19262,9539,7318,10566,7095,2336,4268,743,451,73895,148607
Macarthur,7060,11184,10545,8063,11961,7413,8294,7756,897,586,88261,162020
Werriwa,6580,11282,10039,6755,11252,6616,8031,7826,964,737,100822,170906
Lindsay,8061,12097,11621,8474,13893,7568,8465,7693,927,610,87122,166527
Parramatta,8764,23665,9490,7496,12403,7227,5428,7244,1078,801,102715,186324
Fowler,4769,8907,8753,6189,8262,5624,7019,8710,912,817,104266,164235
Hughes,10403,17883,10365,7904,12969,6815,3314,4234,766,413,69216,144288
Lingiari,5368,8540,7097,6922,5757,2676,2744,4590,747,611,72963,118003
Hinkler,5110,8135,7087,6600,5773,5566,3550,6786,360,383,93783,143130
Herbert,6778,13540,11201,10995,9796,7108,5557,7088,637,442,86864,159999
Migratory - Offshore - Shipping (Qld),9,10,10,3,11,8,0,9,0,3,88,152
No usual address (Qld),264,446,397,348,226,185,301,822,41,49,9427,12515
Adelaide,10210,24325,8556,9475,10793,7293,3393,7557,769,514,98007,180891
Mayo,10450,15096,10397,8587,8757,6560,3440,7274,618,333,87492,158998
Sturt,10450,24938,8272,8525,11264,7568,2511,5753,758,441,94072,174561
Boothby,9760,22143,8632,9637,10843,7149,2325,5769,653,369,88122,165395
Grey,11590,8957,10260,7858,7114,5920,6727,9542,726,541,99817,169055
Spence,5848,6954,10028,9066,8482,7023,7206,10602,757,512,106250,172726
Makin,7509,12907,11651,9730,11977,7894,5252,8233,835,386,90677,167050
Kingston,6901,11778,12212,10080,11088,8136,4268,7599,678,363,85615,158725
Hindmarsh,8684,15061,10071,9016,11517,7435,4469,6982,729,429,86375,160762
Barker,12617,8821,9948,7600,7652,6739,5841,13330,591,495,91995,165623
Migratory - Offshore - Shipping (SA),0,0,4,0,0,0,0,0,0,0,0,8
No usual address (SA),52,103,109,53,54,51,84,211,7,6,2133,2862
No usual address (OT),0,6,0,0,0,0,0,0,0,0,39,54
No usual address (NT),37,108,106,82,34,26,60,104,11,0,1915,2485
Migratory - Offshore - Shipping (OT),0,3,0,0,0,0,0,5,0,0,0,4
Bowman,8723,12040,11174,7656,11211,7055,4415,6868,608,417,76849,147011
Bonner,9735,18729,8766,7122,11691,6926,3702,5798,729,431,76007,149634
Griffith,12078,28254,7923,7720,11651,6713,2181,5101,789,421,66887,149709
Petrie,7641,13195,10438,8939,11387,7380,4939,7528,735,523,90565,163268
Migratory - Offshore - Shipping (NT),0,5,7,0,0,0,0,15,0,0,49,73
Higgins,14882,31623,5473,6621,10273,7354,1081,2843,884,480,71747,153267
Kooyong,14758,31478,4708,6606,10172,7326,1017,2709,832,447,82764,162818
Menzies,11748,21813,7961,6793,10563,7923,1999,4361,673,563,87341,161729
Chisholm,10992,24035,7473,7109,10672,7813,2231,4982,716,607,99326,175950
Deakin,10091,20174,10642,8029,11666,7956,2998,5615,640,472,82531,160811
Goldstein,14653,24224,5318,6238,9207,6766,1164,2569,679,375,76432,147624
Hotham,8147,17022,10560,8315,10488,7965,6600,10246,825,812,107002,187984
Isaacs,10603,17709,9791,6969,11113,7639,3334,5046,692,485,76690,150076
Jagajaga,10778,22563,9237,7624,11266,6705,2263,4287,638,444,78123,153930
Scullin,6359,11146,10229,7796,10170,7863,6584,7972,673,611,88222,157629
Gorton,7201,11350,9622,7068,10953,7406,7292,7839,802,683,86507,156716
Calwell,5007,7564,8451,6748,7771,5816,6574,6752,617,608,88793,144698
Aston,9281,16190,11768,7813,12173,8409,4237,6267,715,505,76791,154154
La Trobe,7236,9500,9922,6022,8463,6066,4355,5777,482,408,63521,121751
Bruce,7468,11781,12931,7995,10843,7989,7012,9185,751,686,97830,174470
Holt,6245,8773,11416,7850,9620,6682,7692,8606,667,584,81505,149643
Fraser,7531,15969,8985,8180,9260,6865,6766,10133,923,855,97732,173193
Gellibrand,10881,18829,8870,7258,11096,6775,5191,5562,827,537,84823,160668
Lalor,6352,10984,9234,7983,10524,6782,8149,7139,687,583,84177,152605
Dunkley,8626,12730,11821,8232,9973,7960,4515,6661,652,517,80331,152025
Migratory - Offshore - Shipping (Vic.),0,3,11,0,0,0,0,3,0,0,9,26
No usual address (Vic.),183,406,298,276,178,128,196,302,36,27,5537,7572
Forrest,7683,9819,12085,6831,7253,6381,5608,8676,610,382,81106,146444
O'Connor,13989,9956,12833,7425,7850,5858,9055,9713,698,584,97329,175285
Franklin,5395,9390,6111,5301,6708,4097,1774,4073,506,227,55466,99044
Bass,4963,8156,5846,5201,5114,4593,3024,4990,406,279,59727,102287
Clark,5233,12484,5423,5910,6440,4255,1828,3896,553,252,56305,102574
Braddon,5117,5750,6287,5031,4743,4308,3578,6322,459,296,60996,102889
Migratory - Offshore - Shipping (Tas.),3,12,8,6,0,0,0,18,0,0,23,75
No usual address (Tas.),16,48,35,29,25,14,20,52,3,0,666,911
Ballarat,7278,12330,9028,7331,7371,5960,3414,6394,534,436,76312,136395
Hawke,6370,8586,10011,7377,9624,6451,6212,5911,660,435,74313,135949
