Electorate,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Not stated - birthplace for either or both parents not stated,Total
Lyne,15414,7611,5228,105777,11451,145480
Paterson,17853,8822,6056,111977,10934,155632
Lyons,10517,4284,3024,76171,8182,102181
Canning,45533,11687,9242,65409,10896,142762
Curtin,62857,13742,10689,62175,10886,160348
Perth,81446,13073,9301,50036,15127,168988
Cowan,95079,11973,8504,48452,11178,175188
Hasluck,58901,12835,9856,58876,12508,152972
Durack,42257,11713,9724,112936,26117,202750
Pearce,80997,11574,9411,44484,10236,156703
Swan,86922,11921,9381,55805,15859,179888
Moore,72480,12738,10200,54385,6934,156738
Burt,80667,11462,9190,50052,10340,161708
Tangney,90349,12293,9796,53691,9351,175475
Fremantle,62326,12717,9428,53449,10821,148741
Brand,65878,13056,10658,60488,13954,164025
Migratory - Offshore - Shipping (WA),189,22,23,128,74,431
No usual address (WA),1618,276,200,2263,1588,5950
No usual address (NSW),3257,554,395,4678,3397,12288
Solomon,37368,6466,5817,46729,11897,108272
Migratory - Offshore - Shipping (NSW),163,19,15,174,45,419
Brisbane,50937,11476,8743,74422,14111,159699
Lilley,42648,11040,8287,79102,9068,150151
Dickson,34637,11983,8489,88997,7329,151444
Moreton,78071,9549,7482,57596,9291,161994
Rankin,83932,10931,8437,63788,12077,179171
Oxley,74987,10116,8079,59780,14209,167171
Ryan,50352,11922,9334,74032,7796,153444
Leichhardt,41223,10087,9035,89511,17573,167433
Kennedy,26317,8796,6974,105099,17190,164371
Maranoa,14534,5799,4656,110243,14034,149264
Groom,20625,7251,5409,104453,11131,148864
Flynn,20967,7184,5629,106625,15080,155484
Capricornia,17207,6858,5252,107250,15673,152244
Moncrieff,60469,11121,9301,70160,16062,167110
McPherson,44262,11280,9048,75993,10997,151575
Fadden,57803,11031,8898,72346,13143,163221
Wright,32308,10550,8307,92648,12628,156442
Forde,53634,12072,9650,78900,11279,165537
Blair,30552,10719,7898,100795,12447,162411
Dawson,25550,8330,6670,98490,14781,153824
Longman,32425,11026,8541,96217,12380,160600
Fairfax,33664,10766,8332,84592,10169,147518
Fisher,32391,10433,7954,85634,9709,146115
Wide Bay,23434,8572,6345,92008,12328,142686
New England,13960,5950,4344,115723,14206,154187
Whitlam,37567,12100,8539,84563,9522,152281
Cunningham,47424,12067,8949,77507,9435,155381
Sydney,108988,10256,7888,47513,25539,200179
Farrer,21936,7339,4797,114518,15393,163981
Newcastle,26711,9883,7146,99919,9285,152949
Richmond,26499,10782,7593,93796,14249,152911
Mitchell,76758,10066,7406,54181,5037,153450
Berowra,62278,10422,7833,58468,6134,145132
Macquarie,28436,12332,8318,83935,8415,141441
Greenway,94953,9380,6549,50155,9025,170068
Chifley,98873,8518,5801,47159,10897,171251
McMahon,105019,9746,5797,35904,9234,165697
Kingsford Smith,94237,10733,8123,48002,15141,176232
Barton,115411,8959,6237,30874,11367,172852
Grayndler,63820,12528,8868,51961,12331,149514
Wentworth,63498,11961,8957,46577,14952,145952
Blaxland,125890,9601,5018,22268,11857,174633
Watson,125140,9449,5772,23611,10826,174807
Banks,85058,9400,6519,47161,7665,155804
Cook,45511,10494,7410,67812,7837,139060
Reid,116162,8744,6473,36097,13868,181347
North Sydney,75963,11936,9416,54066,10143,161524
Bradfield,84483,10468,8700,49567,7033,160251
Bennelong,103437,8775,6847,42269,7623,168948
Warringah,58077,12582,9817,57235,9621,147334
Mackellar,49868,13174,10163,66899,8509,148607
Macarthur,65684,11311,7737,67250,10035,162020
Werriwa,110742,9667,6113,33174,11209,170906
Lindsay,50118,12582,8538,83752,11536,166527
Parramatta,129603,7520,5347,30959,12890,186324
Fowler,124924,5452,3989,18090,11779,164235
Hughes,41776,11463,7992,77322,5737,144288
Lingiari,16825,4187,3599,76069,17326,118003
Hinkler,23574,8333,5855,93979,11390,143130
Herbert,26494,9843,7703,102845,13112,159999
Migratory - Offshore - Shipping (Qld),46,3,4,76,25,152
No usual address (Qld),3385,607,391,5483,2657,12515
Adelaide,82657,11222,7701,67163,12143,180891
Mayo,34175,11385,8513,94840,10085,158998
Sturt,74437,12025,8091,71893,8123,174561
Boothby,51149,11763,8350,85202,8935,165395
Grey,22300,7903,6189,117813,14846,169055
Spence,56179,11980,9346,82981,12243,172726
Makin,63908,11746,8647,74064,8690,167050
Kingston,46132,12052,9067,83033,8435,158725
Hindmarsh,58236,11257,7480,75216,8566,160762
Barker,23665,7602,5928,115746,12695,165623
Migratory - Offshore - Shipping (SA),5,0,0,0,0,8
No usual address (SA),703,168,106,1252,637,2862
No usual address (OT),22,0,3,16,7,54
No usual address (NT),440,106,56,1211,671,2485
Migratory - Offshore - Shipping (OT),0,0,0,3,0,4
Bowman,39804,11196,8450,79832,7729,147011
Bonner,50893,11163,8120,71295,8164,149634
Griffith,48640,11358,8630,70249,10823,149709
Petrie,49655,11500,8510,82759,10845,163268
Migratory - Offshore - Shipping (NT),48,0,0,14,6,73
Higgins,62301,10701,8115,61752,10394,153267
Kooyong,66713,10919,8593,68204,8386,162818
Menzies,85294,9207,6741,52954,7540,161729
Chisholm,104468,8209,6248,48254,8765,175950
Deakin,57509,11492,8145,76153,7517,160811
Goldstein,56357,11657,8739,62816,8061,147624
Hotham,129202,7663,5803,34762,10553,187984
Isaacs,63197,10330,7890,59964,8699,150076
Jagajaga,49411,11535,7790,77462,7733,153930
