Electorate,TPP_Winner25,YouGovCall,LabCoalitionTPPSwing25,CoalitionShare,CoalitionLo,CoalitionHi,GreensShare,GreensLo,GreensHi,IndependentShare,IndependentLo,IndependentHi,LaborShare,LaborLo,LaborHi,OneNationShare,OneNationLo,OneNationHi,OtherShare,OtherLo,OtherHi,LaborTCPShare,CoalitionTCPShare,GreensTCPShare,OtherTCPShare
Adelaide,Labor,Safe Labor,6,33,30,36,20,17,23,6,5,8,34,29,38,6,4,7,2,1,2,56,44,0,0
Aston,Coalition,Safe Coalition,1,42,39,47,13,11,15,7,5,9,29,25,33,7,5,9,2,1,3,46,54,0,0
Ballarat,Labor,Safe Labor,7,29,26,33,16,13,18,8,6,10,35,30,40,9,7,12,3,2,5,56,44,0,0
Banks,Coalition,Safe Coalition,2,44,40,49,10,8,13,7,5,9,30,26,34,6,5,8,2,1,4,45,55,0,0
Barker,Coalition,Safe Coalition,-3,49,45,54,8,6,10,10,8,12,19,16,23,12,9,15,1,1,3,36,64,0,0
Barton,Labor,Safe Labor,7,34,30,38,13,11,16,6,4,8,39,34,44,7,5,9,2,1,3,55,45,0,0
Bass,Coalition,Safe Coalition,1,37,33,41,12,10,15,10,8,13,28,24,32,11,9,14,2,1,3,48,52,0,0
Bean,Labor,Safe Labor,8,33,29,37,13,11,15,11,8,14,36,32,41,6,5,8,1,0,2,55,45,0,0
Bendigo,Labor,Safe Labor,6,30,27,33,13,11,15,9,7,12,34,30,39,11,9,13,3,1,4,55,45,0,0
Bennelong,Coalition,Safe Coalition,4,44,39,49,11,9,14,6,4,8,29,25,34,6,5,8,3,2,6,45,55,0,0
Berowra,Coalition,Safe Coalition,1,48,44,53,13,11,15,8,6,11,24,21,28,5,4,6,2,1,3,41,59,0,0
Blair,Labor,Lean Labor,4,33,29,37,12,10,14,4,3,6,33,29,37,16,13,19,3,1,4,51,49,0,0
Blaxland,Labor,Safe Labor,5,30,26,34,14,11,18,6,4,8,39,33,45,8,6,11,3,1,5,58,42,0,0
Bonner,Coalition,Safe Coalition,1,44,40,48,14,12,17,5,4,7,28,25,32,7,6,9,1,0,2,46,54,0,0
Boothby,Coalition,Lean Coalition,4,38,34,42,13,11,15,13,11,16,29,25,33,6,4,7,1,1,2,49,51,0,0
Bowman,Coalition,Safe Coalition,3,45,41,50,11,9,13,6,4,8,25,22,29,11,9,13,2,1,3,42,58,0,0
Braddon,Coalition,Safe Coalition,0,42,37,46,9,7,11,13,10,16,22,19,26,11,8,14,3,2,6,42,58,0,0
Brand,Labor,Safe Labor,9,27,23,30,13,10,15,6,4,8,39,35,44,11,9,14,4,2,7,58,42,0,0
Bruce,Labor,Likely Labor,4,35,32,39,12,10,14,5,4,7,34,30,39,9,7,11,5,2,7,52,48,0,0
Bullwinkel,Coalition,Lean Coalition,4,37,34,41,12,10,14,8,6,10,30,27,35,9,7,11,3,1,5,49,51,0,0
Burt,Labor,Safe Labor,7,29,26,32,13,11,15,6,4,7,37,33,42,11,9,13,5,3,7,56,44,0,0
Calare,Coalition,Safe Coalition,-1,46,42,51,7,6,8,18,15,22,15,13,18,13,10,16,1,0,1,0,60,0,0
Calwell,Labor,Safe Labor,5,27,24,31,15,12,18,4,2,5,38,32,43,11,8,14,5,3,9,58,42,0,0
Canberra,Labor,Safe Labor,8,25,22,28,21,18,25,8,6,10,41,37,46,4,3,5,1,0,1,64,36,0,0
Canning,Coalition,Safe Coalition,5,42,37,46,10,8,12,11,8,14,26,22,30,9,7,12,3,2,5,44,56,0,0
Capricornia,Coalition,Safe Coalition,3,41,36,46,6,5,8,5,4,7,26,22,30,21,17,25,1,0,2,41,59,0,0
Casey,Coalition,Safe Coalition,3,39,35,43,15,13,17,13,10,15,23,19,26,8,6,9,3,2,5,46,54,0,0
Chifley,Labor,Safe Labor,4,28,24,31,10,8,12,7,5,9,44,38,49,10,8,13,2,1,3,59,41,0,0
Chisholm,Coalition,Likely Coalition,5,42,38,46,13,11,16,9,7,11,30,26,34,4,3,5,2,1,3,48,52,0,0
Cook,Coalition,Safe Coalition,1,52,48,57,8,7,10,6,4,8,24,21,27,8,6,10,1,1,2,37,63,0,0
Cooper,Labor,Safe Labor,10,22,19,25,27,23,31,5,3,6,39,34,44,5,3,6,3,1,4,58,0,42,0
Corangamite,Labor,Safe Labor,6,36,32,39,13,11,15,7,5,9,34,30,39,8,6,9,3,1,4,52,48,0,0
Corio,Labor,Safe Labor,6,29,26,33,14,12,17,6,5,8,37,33,41,9,7,11,4,2,6,57,43,0,0
Cowan,Labor,Safe Labor,5,32,29,36,13,11,16,7,5,9,36,31,41,8,6,10,4,2,6,55,45,0,0
Cunningham,Labor,Safe Labor,7,29,26,33,18,15,21,6,4,8,38,33,42,8,6,9,2,1,3,58,42,0,0
Dawson,Coalition,Safe Coalition,1,45,40,50,7,5,9,4,2,5,24,20,27,18,15,22,2,1,4,38,62,0,0
Deakin,Coalition,Likely Coalition,1,40,37,45,14,12,16,8,6,10,30,26,34,6,4,7,2,1,3,49,51,0,0
Dickson,Coalition,Safe Coalition,2,41,38,45,12,10,15,8,6,10,28,25,32,9,7,11,1,1,2,46,54,0,0
Dobell,Labor,Lean Labor,6,35,31,39,9,7,11,6,5,8,35,30,39,13,11,16,2,1,3,51,49,0,0
Dunkley,Labor,Safe Labor,3,32,29,36,12,10,14,7,5,9,35,31,40,10,8,13,4,2,6,54,46,0,0
Durack,Coalition,Safe Coalition,1,41,37,45,12,10,14,5,3,6,27,23,31,12,10,15,3,2,5,45,55,0,0
Eden-Monaro,Coalition,Likely Coalition,8,37,33,41,10,8,12,9,7,11,30,26,34,11,8,13,3,2,5,48,52,0,0
Fadden,Coalition,Safe Coalition,0,47,43,51,11,9,12,7,5,8,22,19,25,12,10,14,2,1,3,39,61,0,0
Fairfax,Coalition,Safe Coalition,1,45,41,50,13,11,15,7,6,9,21,18,25,11,9,14,2,1,4,40,60,0,0
Farrer,Coalition,Safe Coalition,-3,49,45,54,9,8,11,9,7,12,19,17,23,11,8,13,2,1,4,37,63,0,0
Fenner,Labor,Safe Labor,6,30,27,33,15,13,18,5,4,7,42,38,47,6,5,8,1,0,2,60,40,0,0
Fisher,Coalition,Safe Coalition,1,45,41,50,12,10,14,6,4,7,23,20,27,12,10,14,2,1,3,41,59,0,0
Flinders,Coalition,Safe Coalition,2,43,39,48,10,8,12,15,12,19,22,18,25,7,5,9,3,1,4,42,58,0,0
Flynn,Coalition,Safe Coalition,3,38,34,43,7,5,8,7,5,9,27,23,32,19,16,23,2,1,3,44,56,0,0
Forde,Coalition,Safe Coalition,1,39,35,43,12,10,14,6,5,8,26,23,30,13,11,16,3,2,5,45,55,0,0
Forrest,Coalition,Safe Coalition,2,43,39,47,13,11,15,7,5,9,25,22,29,9,7,11,3,1,4,44,56,0,0
Franklin,Labor,Safe Labor,8,31,27,34,15,12,17,6,4,9,36,32,41,8,6,11,4,2,6,56,44,0,0
Fraser,Labor,Safe Labor,5,27,24,31,20,16,23,6,4,8,39,34,45,6,4,7,3,1,5,61,39,0,0
Fremantle,Labor,Safe Labor,9,29,26,33,18,15,21,6,4,8,36,32,41,7,5,8,4,2,6,58,42,0,0
Gellibrand,Labor,Safe Labor,3,30,27,34,17,15,20,5,4,7,37,33,42,7,5,9,3,2,5,58,42,0,0
Gilmore,Coalition,Safe Coalition,3,40,35,44,9,8,12,12,9,15,29,25,34,8,6,11,1,1,2,47,53,0,0
Gippsland,Coalition,Safe Coalition,-7,49,44,55,8,6,10,6,4,9,21,18,24,15,12,18,1,0,2,36,64,0,0
Gorton,Labor,Likely Labor,9,36,32,40,11,9,14,6,4,8,35,30,39,10,8,12,3,1,5,51,49,0,0
Grayndler,Labor,Safe Labor,7,19,17,22,22,18,26,6,4,8,47,41,53,5,3,6,1,1,3,64,0,36,0
Greenway,Labor,Likely Labor,7,37,33,41,11,9,13,8,6,11,35,30,40,7,6,9,2,1,3,51,49,0,0
Grey,Coalition,Safe Coalition,0,43,39,47,9,8,11,15,12,18,19,16,22,11,8,13,3,1,5,40,60,0,0
Groom,Coalition,Safe Coalition,-1,45,41,50,7,6,9,14,11,16,18,15,21,14,12,17,1,0,2,37,63,0,0
Hasluck,Labor,Safe Labor,8,34,31,38,13,11,16,8,6,10,33,28,37,8,7,10,3,2,5,52,48,0,0
Hawke,Labor,Likely Labor,6,32,29,36,12,10,14,9,7,11,31,27,35,13,10,16,4,2,6,51,49,0,0
Herbert,Coalition,Safe Coalition,-1,45,40,50,10,8,12,8,6,10,21,18,25,12,9,16,4,2,7,39,61,0,0
Hindmarsh,Labor,Safe Labor,7,36,32,39,13,11,15,7,5,9,34,30,39,8,6,10,2,1,4,52,48,0,0
Hinkler,Coalition,Safe Coalition,1,43,39,48,6,5,7,16,12,19,20,17,24,13,11,16,1,1,2,39,61,0,0
Holt,Labor,Safe Labor,3,31,27,35,12,10,15,6,4,8,36,31,41,11,8,13,4,2,7,54,46,0,0
Hotham,Labor,Safe Labor,5,33,29,36,15,13,18,6,5,8,37,33,42,6,4,7,3,2,5,56,44,0,0
Hughes,Coalition,Safe Coalition,3,42,38,47,9,7,11,15,13,18,25,21,28,7,6,10,1,1,2,44,56,0,0
Hume,Coalition,Safe Coalition,5,47,42,52,8,6,10,12,9,15,20,17,23,12,9,15,2,1,3,38,62,0,0
Hunter,Coalition,Lean Coalition,6,33,30,38,9,7,10,10,7,12,31,26,35,15,12,19,2,1,4,49,51,0,0
Isaacs,Labor,Safe Labor,4,33,30,36,13,11,15,6,4,8,38,33,42,7,6,9,3,1,5,55,45,0,0
Jagajaga,Labor,Safe Labor,6,32,29,35,15,13,18,8,6,10,36,32,41,5,4,7,4,2,6,56,44,0,0
Kingsford Smith,Labor,Safe Labor,5,32,29,35,16,13,18,6,4,8,40,35,45,5,4,7,1,1,2,58,42,0,0
Kingston,Labor,Safe Labor,10,29,25,32,13,11,15,9,7,12,37,32,42,10,8,13,2,1,3,57,43,0,0
La Trobe,Coalition,Safe Coalition,-3,42,38,47,13,10,15,4,3,6,27,23,31,11,8,14,3,1,4,44,56,0,0
Lalor,Labor,Safe Labor,6,29,26,33,14,11,16,6,5,8,37,33,42,9,7,12,4,2,7,57,43,0,0
Leichhardt,Coalition,Safe Coalition,0,38,34,42,12,10,15,6,4,8,28,24,32,14,11,17,4,2,6,47,53,0,0
Lilley,Labor,Safe Labor,5,33,30,36,15,13,17,6,4,8,37,33,41,7,6,9,2,1,3,56,44,0,0
Lindsay,Coalition,Safe Coalition,0,43,39,48,9,8,11,5,4,7,28,25,33,12,9,15,2,1,3,44,56,0,0
Lingiari,Labor,Safe Labor,-6,29,24,33,14,11,18,7,4,9,37,32,43,10,7,14,3,1,5,57,43,0,0
Longman,Coalition,Safe Coalition,3,40,36,44,9,7,10,6,4,8,27,23,30,15,12,18,4,2,7,44,56,0,0
Lyne,Coalition,Safe Coalition,-3,45,40,49,8,7,9,12,10,15,20,17,24,12,9,15,3,1,5,39,61,0,0
Lyons,Coalition,Safe Coalition,5,38,34,43,11,9,13,7,5,9,27,23,31,12,10,16,5,3,8,46,54,0,0
Macarthur,Labor,Safe Labor,7,33,30,37,10,8,12,5,3,7,38,33,43,13,10,15,2,1,3,53,47,0,0
Macnamara,Labor,Likely Labor,3,30,26,33,28,24,32,6,4,8,32,27,36,3,2,4,2,1,3,58,42,0,0
Macquarie,Coalition,Tossup Coalition,6,37,34,41,10,8,11,6,5,8,34,30,39,11,9,14,2,1,3,50,50,0,0
Makin,Labor,Safe Labor,7,34,30,38,11,9,14,7,5,9,36,32,41,10,8,12,2,1,3,53,47,0,0
Mallee,Coalition,Safe Coalition,-4,47,43,52,8,6,9,15,12,18,15,13,18,13,10,16,2,1,4,36,64,0,0
Maranoa,Coalition,Safe Coalition,-3,52,46,57,6,4,7,5,3,7,17,14,20,18,14,23,2,1,4,0,72,0,0
Maribyrnong,Labor,Safe Labor,6,32,29,35,16,14,19,6,5,8,37,33,41,6,4,7,3,2,5,57,43,0,0
McEwen,Coalition,Tossup Coalition,4,37,34,41,13,11,16,5,3,6,32,28,36,10,8,13,3,1,4,50,50,0,0
McMahon,Labor,Safe Labor,7,34,30,38,9,8,12,7,5,9,38,33,43,9,7,11,4,2,6,54,46,0,0
McPherson,Coalition,Safe Coalition,-1,45,41,49,14,12,16,5,4,7,23,20,26,10,9,12,3,1,4,42,58,0,0
Menzies,Coalition,Safe Coalition,5,44,39,49,13,11,16,7,5,10,27,24,31,5,3,6,3,2,6,45,55,0,0
Mitchell,Coalition,Safe Coalition,2,53,48,59,11,9,13,6,4,8,23,20,27,5,4,6,2,1,3,38,62,0,0
Monash,Coalition,Safe Coalition,3,39,35,43,11,9,13,14,11,18,22,19,26,12,10,15,2,1,3,44,56,0,0
Moncrieff,Coalition,Safe Coalition,-2,46,42,50,13,11,15,5,4,7,23,20,26,11,9,13,3,2,5,41,59,0,0
Moore,Coalition,Safe Coalition,5,44,40,49,13,11,16,7,5,9,26,23,31,6,5,8,3,2,5,44,56,0,0
Moreton,Labor,Safe Labor,5,35,32,39,19,16,21,5,4,7,34,30,38,6,4,7,1,1,2,54,46,0,0
New England,Coalition,Safe Coalition,-3,47,42,51,9,7,11,14,11,17,18,16,21,10,8,13,1,1,2,38,62,0,0
Newcastle,Labor,Safe Labor,7,27,24,30,17,15,20,5,4,7,41,37,46,8,7,10,2,1,3,61,39,0,0
O'Connor,Coalition,Safe Coalition,2,44,40,48,12,10,14,6,5,8,23,20,27,11,9,13,4,2,6,42,58,0,0
Oxley,Labor,Safe Labor,5,31,28,35,14,12,16,6,4,7,38,34,43,9,7,11,1,1,2,56,44,0,0
Page,Coalition,Safe Coalition,-1,43,39,47,10,8,12,16,14,19,18,15,21,10,8,13,2,1,4,41,59,0,0
Parkes,Coalition,Safe Coalition,-4,48,43,52,7,6,8,7,5,10,19,16,22,15,12,19,4,2,6,36,64,0,0
Parramatta,Labor,Likely Labor,2,38,34,42,12,10,15,8,6,11,34,30,38,5,4,7,2,1,3,51,49,0,0
Paterson,Coalition,Safe Coalition,6,39,35,43,7,6,9,7,5,9,31,27,36,14,12,17,1,1,2,46,54,0,0
Pearce,Labor,Likely Labor,8,35,31,39,13,10,15,5,4,7,33,29,37,11,9,14,4,2,6,51,49,0,0
Perth,Labor,Safe Labor,5,30,27,33,21,18,24,5,4,6,36,32,41,6,5,7,2,1,4,59,41,0,0
Petrie,Coalition,Safe Coalition,0,41,37,46,11,10,14,6,5,8,29,25,33,10,8,12,2,1,3,46,54,0,0
Rankin,Labor,Safe Labor,5,32,28,35,12,10,14,5,4,6,37,32,42,12,10,14,2,1,3,55,45,0,0
Reid,Labor,Likely Labor,4,38,35,42,12,10,14,8,6,10,35,30,39,5,4,7,2,1,3,51,49,0,0
Richmond,Labor,Lean Labor,5,31,27,37,23,19,27,9,6,13,25,21,30,6,4,8,6,2,10,53,47,0,0
Riverina,Coalition,Safe Coalition,1,45,40,49,9,7,10,7,5,9,22,19,25,13,11,16,5,3,7,39,61,0,0
Robertson,Coalition,Safe Coalition,4,40,36,44,9,8,11,8,6,10,32,28,36,9,7,11,2,1,3,48,52,0,0
Scullin,Labor,Safe Labor,9,30,26,34,15,12,18,5,3,7,36,31,41,9,7,12,6,3,9,56,44,0,0
Shortland,Coalition,Tossup Coalition,6,36,32,40,9,7,11,8,6,11,33,29,38,11,8,14,3,2,5,50,50,0,0
Solomon,Labor,Safe Labor,6,33,29,37,16,13,19,5,3,6,32,27,37,9,7,11,6,3,9,53,47,0,0
Spence,Labor,Safe Labor,8,28,25,32,12,10,15,4,3,6,37,32,41,16,14,20,2,1,3,55,45,0,0
Sturt,Coalition,Safe Coalition,3,43,39,47,15,12,17,7,5,10,29,25,33,5,4,7,2,1,3,47,53,0,0
Swan,Labor,Safe Labor,6,34,31,37,16,14,19,6,5,8,34,29,38,7,6,9,3,2,5,54,46,0,0
Sydney,Labor,Safe Labor,6,19,17,22,24,21,28,4,2,5,46,41,52,5,3,6,1,1,2,63,0,37,0
Tangney,Coalition,Safe Coalition,5,42,38,47,11,9,13,7,5,9,31,28,36,5,4,7,3,2,6,47,53,0,0
Watson,Labor,Safe Labor,5,28,24,33,14,11,17,5,3,8,42,36,48,7,5,10,3,1,6,60,40,0,0
Werriwa,Coalition,Lean Coalition,6,38,33,43,11,9,14,4,3,6,33,28,38,9,6,12,5,2,9,49,51,0,0
Whitlam,Labor,Lean Labor,8,35,32,39,10,8,12,6,4,8,34,30,38,12,10,15,3,2,4,51,49,0,0
Wide Bay,Coalition,Safe Coalition,-1,44,39,49,9,8,11,11,9,14,20,17,24,14,11,17,2,1,3,39,61,0,0
Wills,Labor,Safe Labor,12,23,20,26,31,26,35,4,2,5,35,30,40,4,3,6,4,2,6,54,0,46,0
Wright,Coalition,Safe Coalition,2,46,41,52,10,8,12,4,2,5,21,18,24,18,15,22,2,1,3,37,63,0,0
Bradfield,Coalition,Likely Coalition,0,42,37,46,10,8,12,24,19,28,20,17,23,4,3,6,1,0,1,0,52,0,0
Brisbane,Labor,Safe Labor,1,36,32,40,24,21,27,4,3,6,30,27,34,4,3,6,2,1,3,54,46,0,0
Clark,Independent,Safe Independent,7,18,15,21,15,12,19,40,34,47,23,19,27,3,2,5,0,0,1,37,0,0,0
Cowper,Coalition,Lean Coalition,-1,37,33,42,7,6,9,25,20,30,17,14,20,13,10,17,1,0,2,0,51,0,0
Curtin,Independent,Safe Independent,-1,37,33,42,12,10,15,29,25,34,18,15,21,3,2,4,1,0,1,0,47,0,0
Fowler,Labor,Likely Labor,-1,27,22,32,12,9,16,22,16,28,32,27,38,5,3,8,2,0,3,56,44,0,0
Goldstein,Independent,Safe Independent,1,37,33,41,10,8,12,33,28,38,17,14,20,3,2,4,1,0,1,0,46,0,0
Griffith,Labor,Likely Labor,1,29,26,33,31,27,35,4,2,6,32,28,36,3,2,5,1,0,2,53,0,47,0
Indi,Independent,Safe Independent,1,35,30,39,8,6,10,37,32,44,13,10,15,7,5,9,1,0,1,0,44,0,0
Kennedy,Other,Safe Other,-2,33,27,40,8,5,10,3,1,5,14,11,19,3,1,6,39,30,49,0,40,0,60
Kooyong,Independent,Safe Independent,2,39,35,43,12,10,15,29,25,34,16,14,20,3,2,4,0,0,1,0,48,0,0
Mackellar,Independent,Safe Independent,-1,38,33,42,9,7,11,35,29,40,14,11,16,5,3,7,0,0,1,0,46,0,0
Mayo,Other,Safe Other,6,30,26,36,12,9,15,2,1,3,17,14,21,7,5,10,32,25,39,0,40,0,60
Melbourne,Greens,Safe Greens,6,19,16,22,42,38,47,4,3,6,30,26,34,3,2,4,3,1,4,45,0,55,0
Nicholls,Coalition,Safe Coalition,-3,43,38,47,6,5,8,23,18,28,14,12,17,12,9,16,1,0,2,0,55,0,0
Ryan,Labor,Tossup Labor,0,37,33,41,26,22,30,4,2,6,27,23,32,4,2,6,2,1,3,52,48,0,0
Wannon,Coalition,Likely Coalition,0,41,37,46,8,6,10,25,21,31,18,15,21,7,5,9,1,0,1,0,52,0,0
Warringah,Independent,Safe Independent,1,32,28,36,11,9,14,37,32,42,16,13,20,3,2,4,1,0,1,0,41,0,0
Wentworth,Independent,Safe Independent,0,34,30,39,13,10,16,28,23,34,21,17,24,3,2,5,1,0,1,0,45,0,0
