Electorate,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
Banks,6623,69107,6291,7407,155,821,36819,333,7552,135106
Barton,8587,67723,9779,11189,314,704,44933,454,10461,154148
Bennelong,7747,68867,7777,4635,396,1349,58755,477,8573,158584
Berowra,3955,63918,5569,2062,255,1110,41611,384,4953,123813
Blaxland,13278,49674,6879,40840,36,840,24289,320,13854,150001
Bradfield,5373,59548,5570,1746,2623,1374,54081,430,6073,136812
Calare,941,79573,951,545,88,815,40667,512,12210,136304
Chifley,2567,79440,15969,13222,39,6417,25985,483,11233,155365
Cook,1954,75660,839,1978,270,381,35851,339,6525,123810
Cowper,1396,71921,657,394,143,1406,53846,641,11668,142073
Cunningham,1875,68031,1530,2898,128,701,51166,568,7346,134240
Dobell,1241,71101,791,513,120,663,48206,503,8598,131734
Eden-Monaro,1248,65563,1408,805,100,1151,51900,609,10170,132953
Farrer,932,78596,2336,998,54,1850,43593,419,12228,141007
Fowler,28900,64838,2689,9060,37,3505,22296,341,10808,142478
Gilmore,1154,70431,548,314,147,578,53792,511,10580,138060
Grayndler,4190,45531,2626,1484,686,740,65119,705,7270,128354
Greenway,3915,69710,25587,8601,95,9279,29402,448,9326,156361
Hughes,1857,71070,2172,2299,144,513,36352,396,5290,120095
Hume,1126,83295,838,1248,101,668,39931,431,8476,136113
Hunter,1096,76184,637,427,62,527,51735,513,10121,141295
Kingsford Smith,5536,72624,2558,4083,4518,689,52812,477,11248,154528
Lindsay,1825,80975,4838,3605,62,2267,42643,548,10952,147710
Lyne,871,75732,319,205,91,444,44959,399,9560,132575
Macarthur,4188,85098,8344,13203,68,2497,34336,480,9394,157621
Mackellar,2003,64504,1189,613,438,746,51031,485,6126,127120
Macquarie,1393,61034,610,470,210,936,47447,557,6199,118852
McMahon,8159,80270,3954,16563,35,1668,19459,334,9534,139961
Mitchell,4995,76829,11399,6245,157,3176,38805,349,5564,147523
New England,876,75649,975,562,59,1088,37390,422,12073,129088
Newcastle,1632,62810,1524,1919,133,772,61420,655,8128,139005
North Sydney,4825,59166,4092,1583,1383,937,59087,508,7926,139516
Page,1373,69524,385,336,107,2034,52824,628,12758,139966
Parkes,635,71625,1293,539,26,574,33165,274,15486,123625
