Electorate,Yes vote,No vote
Canberra,0.6208,0.3792
Fraser,0.6446,0.3554
Bass,0.3716,0.6284
Braddon,0.3224,0.6776
Denison,0.5238,0.4762
Franklin,0.4623,0.5377
Lyons,0.3354,0.6646
Adelaide,0.5639,0.4361
Barker,0.3243,0.6757
Bonython,0.3328,0.6672
Boothby,0.5187,0.4813
Grey,0.3233,0.6767
Hindmarsh,0.4951,0.5049
Kingston,0.4143,0.5857
Makin,0.417,0.583
Mayo,0.4924,0.5076
Port Adelaide,0.4754,0.5246
Sturt,0.5373,0.4627
Wakefield,0.3318,0.6682
Brand,0.3369,0.6631
Canning,0.3273,0.6727
Cowan,0.4295,0.5705
Curtin,0.5549,0.4451
Forrest,0.3486,0.6514
Fremantle,0.4828,0.5172
Kalgoorlie,0.3787,0.6213
Moore,0.4258,0.5742
O'Connor,0.2808,0.7192
Pearce,0.3717,0.6283
Perth,0.4738,0.5262
Stirling,0.4842,0.5158
Swan,0.4316,0.5684
Tangney,0.4653,0.5347
Blair,0.2536,0.7464
Bowman,0.3897,0.6103
Brisbane,0.5728,0.4272
Capricornia,0.3186,0.6814
Dawson,0.3103,0.6897
Dickson,0.4122,0.5878
Fadden,0.3696,0.6304
Fairfax,0.3772,0.6228
Fisher,0.385,0.615
Forde,0.3133,0.6867
Griffith,0.4779,0.5221
Groom,0.2742,0.7258
Herbert,0.3853,0.6147
Hinkler,0.3064,0.6936
Kennedy,0.2979,0.7021
Leichhardt,0.41,0.59
Lilley,0.4356,0.5644
Longman,0.3346,0.6654
McPherson,0.4071,0.5929
Maranoa,0.2284,0.7716
Moncrieff,0.39,0.61
Moreton,0.4791,0.5209
Oxley,0.3457,0.6543
Petrie,0.3908,0.6092
Rankin,0.3777,0.6223
Ryan,0.553,0.447
Wide Bay,0.2567,0.7433
Aston,0.5155,0.4845
Ballarat,0.4091,0.5909
Batman,0.6125,0.3875
Bendigo,0.3822,0.6178
Bruce,0.5447,0.4553
Burke,0.4493,0.5507
Calwell,0.5388,0.4612
Casey,0.4545,0.5455
Chisholm,0.5726,0.4274
Corangamite,0.452,0.548
Corio,0.4453,0.5547
Deakin,0.5287,0.4713
Dunkley,0.4533,0.5467
Flinders,0.4191,0.5809
Gellibrand,0.569,0.431
Gippsland,0.3485,0.6515
Goldstein,0.5801,0.4199
Higgins,0.6366,0.3634
Holt,0.4871,0.5129
Hotham,0.542,0.458
Indi,0.3687,0.6313
Isaacs,0.4671,0.5329
Jagajaga,0.5679,0.4321
Kooyong,0.6424,0.3576
Lalor,0.4873,0.5127
La Trobe,0.4841,0.5159
Mallee,0.2878,0.7122
Maribyrnong,0.5677,0.4323
McEwen,0.4452,0.5548
McMillan,0.3637,0.6363
Melbourne,0.7092,0.2908
Melbourne Ports,0.659,0.341
Menzies,0.5985,0.4015
Murray,0.3048,0.6952
Scullin,0.5632,0.4368
Wannon,0.3554,0.6446
Wills,0.5874,0.4126
Banks,0.4576,0.5424
Barton,0.5176,0.4824
Bennelong,0.5462,0.4538
Berowra,0.5172,0.4828
Blaxland,0.4899,0.5101
Bradfield,0.5561,0.4439
Calare,0.3689,0.6311
Charlton,0.437,0.563
Chifley,0.4215,0.5785
Cook,0.4713,0.5287
Cowper,0.3939,0.6061
Cunningham,0.5363,0.4637
Dobell,0.4254,0.5746
Eden-Monaro,0.4613,0.5387
Farrer,0.3389,0.6611
Fowler,0.5189,0.4811
Gilmore,0.4249,0.5751
Grayndler,0.6477,0.3523
Greenway,0.4502,0.5498
Gwydir,0.2779,0.7221
Hughes,0.4916,0.5084
Hume,0.349,0.651
Hunter,0.3681,0.6319
Kingsford-Smith,0.5519,0.4481
Lindsay,0.411,0.589
Lowe,0.5659,0.4341
Lyne,0.3841,0.6159
Macarthur,0.402,0.598
Mackellar,0.4943,0.5057
Macquarie,0.4407,0.5593
Mitchell,0.4689,0.5311
New England,0.3261,0.6739
Newcastle,0.5102,0.4898
North Sydney,0.6128,0.3872
Page,0.3879,0.6121
Parkes,0.3047,0.6953
Parramatta,0.4835,0.5165
Paterson,0.3967,0.6033
Prospect,0.4981,0.5019
Reid,0.4899,0.5101
Richmond,0.4613,0.5387
Riverina,0.335,0.665
Robertson,0.4398,0.5602
Shortland,0.4542,0.5458
Sydney,0.6785,0.3215
Throsby,0.4693,0.5307
Warringah,0.5449,0.4551
Watson,0.5439,0.4561
Wentworth,0.6019,0.3981
Werriwa,0.4185,0.5815
