Electorate,Total benefit $million 
Adelaide,135
Aston,97
Ballarat,75
Banks,115
Barker,67
Barton,124
Bass,47
Bean,152
Bendigo,71
Bennelong,182
Berowra,181
Blair,78
Blaxland,58
Bonner,135
Boothby,126
Bowman,102
Braddon,44
Bradfield,276
Brand,121
Brisbane,239
Bruce,76
Burt,93
Calare,91
Calwell,63
Canberra,194
Canning,109
Capricornia,122
Casey,95
Chifley,84
Chisholm,139
Clark,65
Cook,157
Cooper,125
Corangamite,97
Corio,92
Cowan,93
Cowper,65
Cunningham,116
Curtin,286
Dawson,118
Deakin,118
Dickson,114
Dobell,79
Dunkley,93
Durack,159
Eden-Monaro,112
Fadden,107
Fairfax,95
Farrer,75
Fenner,139
Fisher,97
Flinders,94
Flynn,108
Forde,79
Forrest,103
Fowler,59
Franklin,55
Fraser,92
Fremantle,149
Gellibrand,145
Gilmore,72
Gippsland,71
Goldstein,238
Gorton,84
Grayndler,229
Greenway,132
Grey,70
Griffith,200
Groom,80
Hasluck,127
Hawke,78
Herbert,98
Higgins,254
Hindmarsh,99
Hinkler,54
Holt,73
Hotham,100
Hughes,135
Hume,106
Hunter,99
Indi,63
Isaacs,125
Jagajaga,150
Kennedy,80
Kingsford Smith,209
Kingston,63
Kooyong,261
La Trobe,86
Lalor,96
Leichhardt,93
Lilley,123
Lindsay,105
Lingiari,59
Longman,72
Lyne,55
Lyons,39
Macarthur,99
Mackellar,200
Macnamara,245
Macquarie,102
Makin,70
Mallee,61
Maranoa,53
Maribyrnong,148
Mayo,97
McEwen,108
McMahon,70
McPherson,100
Melbourne,213
Menzies,148
Mitchell,186
Monash,64
Moncrieff,107
Moore,168
Moreton,117
New England,61
Newcastle,122
Nicholls,58
North Sydney,331
O'Connor,110
Oxley,93
Page,57
Parkes,67
Parramatta,121
Paterson,93
Pearce,119
Perth,185
Petrie,99
Rankin,71
Reid,196
Richmond,79
Riverina,70
Robertson,98
Ryan,196
Scullin,70
Shortland,89
Solomon,90
Spence,53
Sturt,151
Swan,153
Sydney,279
Tangney,178
Wannon,69
Warringah,294
Watson,80
Wentworth,319
Werriwa,82
Whitlam,94
Wide Bay,62
Wills,119
Wright,79
