Electorate,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Not applicable,Total
Lyne,24704,20415,30806,17862,15217,12534,23935,145480
Paterson,26825,24331,32446,16443,13777,10846,30967,155632
Lyons,18346,14913,21129,11318,9692,8247,18534,102181
Canning,24641,22018,29677,14547,13825,10525,27526,142762
Curtin,23663,35514,36510,15279,10737,10378,28266,160348
Perth,30550,37943,39114,13590,9520,14516,23750,168988
Cowan,37554,32008,34918,14988,12514,11112,32089,175188
Hasluck,23661,26238,32525,14655,12536,11778,31577,152972
Durack,35185,30855,38174,16870,15600,24647,41424,202750
Pearce,25560,27988,32330,13541,11276,9182,36819,156703
Swan,35638,36341,38349,14442,11362,14864,28888,179888
Moore,23540,31195,36462,16762,11976,6664,30145,156738
Burt,31643,26705,31795,13871,12617,10090,34985,161708
Tangney,29539,34726,38636,17882,13837,9095,31769,175475
Fremantle,24511,28899,33230,13714,10335,10290,27764,148741
Brand,27567,26326,32858,14640,13289,12757,36599,164025
Migratory - Offshore - Shipping (WA),270,29,34,9,11,76,0,431
No usual address (WA),1665,960,795,328,213,1592,393,5950
No usual address (NSW),3501,1981,1607,622,409,3431,741,12288
Solomon,18154,20465,23328,7983,5636,10698,22005,108272
Migratory - Offshore - Shipping (NSW),165,23,42,23,38,89,39,419
Brisbane,25820,42326,37785,11810,7197,13461,21308,159699
Lilley,23857,31215,35887,14082,9760,8835,26509,150151
Dickson,19679,28757,35849,15998,11693,6690,32777,151444
Moreton,31924,33440,34972,14212,10253,8875,28320,161994
Rankin,34949,30671,34172,14954,12347,10583,41498,179171
Oxley,28038,29365,33463,14256,10870,13344,37837,167171
Ryan,21472,34770,37508,15086,9739,7258,27619,153444
Leichhardt,26630,29144,35567,14444,10988,16312,34350,167433
Kennedy,26580,23855,32238,15957,14516,17037,34198,164371
Maranoa,24842,21607,29103,15082,14535,14083,30010,149264
Groom,22665,24951,32277,15175,12485,10832,30474,148864
Flynn,22688,23094,31057,15022,15074,14258,34296,155484
Capricornia,22977,23644,31086,14874,13132,15044,31489,152244
Moncrieff,34337,34082,35397,13980,9443,15881,23985,167110
McPherson,25909,29774,33490,14192,9982,10776,27462,151575
Fadden,28667,30453,34644,14772,11127,12379,31183,163221
Wright,22746,25403,33433,16233,13615,12104,32906,156442
Forde,28266,28545,34346,14965,11822,10419,37182,165537
Blair,26214,26517,33242,15262,13128,11467,36581,162411
Dawson,24393,25360,32543,14820,12453,14307,29945,153824
Longman,26066,26116,33478,16155,13758,12087,32937,160600
Fairfax,21958,26376,34422,16118,11883,9486,27271,147518
Fisher,23141,25841,33498,15988,12102,9592,25960,146115
Wide Bay,22863,21455,30478,16329,14259,12580,24719,142686
New England,25237,23465,31926,15869,13393,14565,29732,154187
Whitlam,27466,25054,31754,16177,13010,9752,29065,152281
Cunningham,28175,29719,34326,15463,11201,9338,27152,155381
Sydney,49998,56189,40806,9263,4993,25224,13707,200179
Farrer,28655,25794,32954,16232,13195,15763,31391,163981
Newcastle,25144,31489,35838,14870,10054,9601,25948,152949
Richmond,25042,25314,33628,16727,12186,14575,25434,152911
Mitchell,24500,29845,33355,15716,11787,4808,33442,153450
Berowra,21448,28532,33214,16492,11693,5751,28000,145132
Macquarie,19938,25715,33297,15642,11948,7970,26930,141441
Greenway,32261,29784,33786,14662,12233,8770,38566,170068
Chifley,42175,26356,28376,12274,12241,10593,39229,171251
McMahon,44671,26249,27142,12110,11512,9607,34402,165697
Kingsford Smith,38763,39385,35386,12679,8481,14883,26669,176232
Barton,44416,33435,32747,13286,10251,11153,27569,172852
Grayndler,23252,36755,36372,11759,6789,11277,23311,149514
Wentworth,23363,38762,31074,9973,6173,14220,22384,145952
Blaxland,50807,26213,25290,11458,11918,12060,36885,174633
Watson,47077,28971,28111,12384,12063,10987,35210,174807
Banks,35232,29514,30777,14163,10894,7809,27413,155804
Cook,25256,28461,30224,13086,9459,7690,24889,139060
Reid,42868,37362,35646,14209,10464,13501,27300,181347
North Sydney,25002,38633,38389,14099,8822,9182,27395,161524
Bradfield,25301,32224,35140,17180,12063,6459,31880,160251
Bennelong,35372,34472,35796,15986,11453,7471,28399,168948
Warringah,20282,34408,33957,13111,8496,9066,28008,147334
Mackellar,22373,30300,34265,15233,9637,7999,28813,148607
