Electorate,More than two vaccinations for COVID-19,Total
McMahon,50,100
Calwell,50,100
Blaxland,51,100
Werriwa,51,100
Fowler,52,100
Forde,53,100
Rankin,54,100
Chifley,55,100
Watson,55,100
McPherson,55,100
Moncrieff,55,100
Dawson,56,100
Fadden,56,100
Flynn,56,100
Wright,56,100
Macarthur,57,100
Banks,58,100
Barton,58,100
Lindsay,58,100
Capricornia,58,100
Page,59,100
Hunter,60,100
Parramatta,60,100
Richmond,60,100
Holt,60,100
Scullin,60,100
Blair,60,100
Kennedy,60,100
Oxley,60,100
Dobell,61,100
Greenway,61,100
Parkes,61,100
Gorton,61,100
Leichhardt,61,100
Cowper,62,100
Hume,62,100
Lalor,62,100
Longman,62,100
New England,63,100
Paterson,63,100
Bruce,63,100
Fairfax,63,100
Groom,63,100
Herbert,63,100
Maranoa,63,100
Reid,64,100
Whitlam,64,100
La Trobe,64,100
Fisher,64,100
Moreton,64,100
Wide Bay,64,100
Spence,64,100
Calare,65,100
Cook,65,100
Farrer,65,100
Kingsford Smith,65,100
Lyne,65,100
Fraser,65,100
Hawke,65,100
Bowman,65,100
Hinkler,65,100
Petrie,65,100
Lingiari,65,100
Cunningham,66,100
Riverina,66,100
Robertson,66,100
Shortland,66,100
Bonner,66,100
Dickson,66,100
Hughes,67,100
Newcastle,67,100
Sydney,67,100
Gellibrand,67,100
Hotham,67,100
Braddon,67,100
Gilmore,68,100
Macquarie,68,100
Dunkley,68,100
McEwen,68,100
Nicholls,68,100
Brisbane,68,100
Griffith,68,100
Lilley,68,100
Makin,68,100
Lyons,68,100
Eden-Monaro,69,100
Mitchell,69,100
Casey,69,100
Gippsland,69,100
Mallee,69,100
Maribyrnong,69,100
Monash,69,100
Wills,69,100
Hindmarsh,69,100
Bennelong,70,100
Mackellar,70,100
Wentworth,70,100
Melbourne,70,100
Barker,70,100
Bass,70,100
Solomon,70,100
Aston,71,100
Chisholm,71,100
Cooper,71,100
Isaacs,71,100
Macnamara,71,100
Adelaide,71,100
Berowra,72,100
Grayndler,72,100
Corio,72,100
Indi,72,100
Menzies,72,100
Grey,72,100
Kingston,72,100
Clark,72,100
Fenner,72,100
Warringah,73,100
Flinders,73,100
Sturt,73,100
Ballarat,74,100
Deakin,74,100
Wannon,74,100
Ryan,74,100
Franklin,74,100
Corangamite,75,100
Jagajaga,75,100
Mayo,75,100
Bean,75,100
North Sydney,76,100
Bendigo,76,100
Goldstein,76,100
Higgins,76,100
Boothby,77,100
Bradfield,78,100
Kooyong,78,100
Canberra,78,100
Durack,83,100
Burt,84,100
Pearce,84,100
Brand,85,100
Hasluck,85,100
O'Connor,85,100
Canning,86,100
Cowan,86,100
Forrest,86,100
Swan,86,100
Fremantle,87,100
Perth,87,100
Tangney,87,100
Moore,88,100
Curtin,89,100
