Electorate,Voters naming Climate Change as the Most Important Issue,Economically Progressive,Socially Progressive,Total
Adelaide,32.2137549,46.7722255,62.9663561,100
Aston,24.6179392,69.4290767,34.3010916,100
Ballarat,30.2340201,37.6173405,63.4311467,100
Banks,26.077016,61.9357092,36.2646127,100
Barker,18.9152344,82.4552591,21.8964428,100
Barton,31.5452746,33.8592176,63.1813842,100
Bass,25.5681101,51.3121572,49.4657348,100
Bean,31.2447575,47.814478,57.2658542,100
Bendigo,29.0948025,40.376696,59.9663134,100
Bennelong,29.6721159,65.3221697,40.1094969,100
Berowra,29.1852371,72.1477357,33.2123974,100
Blair,19.5673111,62.2420812,33.5011017,100
Blaxland,28.945798,41.935738,49.6960898,100
Bonner,22.5714219,76.3275758,32.2414494,100
Boothby,28.8299934,57.3582716,52.4605928,100
Bowman,21.1767585,73.9946053,25.7932096,100
Braddon,16.1226623,61.4886861,36.8799717,100
Bradfield,34.1823486,82.3461334,31.5153424,100
Brand,21.3530738,53.1898679,39.8348855,100
Brisbane,28.7148123,68.7537332,45.5813674,100
Bruce,25.0561212,41.4533645,54.077231,100
Burt,24.8559687,50.5857727,39.9095968,100
Calare,25.483951,62.3807734,34.6993611,100
Calwell,23.2520259,39.5914495,54.916645,100
Canberra,38.205011,34.4368758,74.745109,100
Canning,19.6406386,75.4628885,22.0139172,100
Capricornia,13.1964051,81.3070736,10.9127502,100
Casey,27.5854688,54.5093729,49.7455845,100
Chifley,18.8932734,36.159489,49.3386088,100
Chisholm,31.1059734,57.3354689,50.2603204,100
Clark,37.234438,20.7459238,85.3996737,100
Cook,26.0349658,83.2688072,22.1485314,100
Cooper,41.6525687,0.6723132,99.3349802,100
Corangamite,29.8679465,54.8755432,54.004217,100
Corio,31.3743886,45.708405,59.3078948,100
Cowan,24.6255492,56.9209116,41.0859682,100
Cowper,27.4597746,51.2748791,46.170109,100
Cunningham,32.7995751,25.8136973,67.7149993,100
Curtin,34.2970412,84.4448337,37.0319888,100
Dawson,13.8545776,85.5457289,11.5506036,100
Deakin,30.5732181,60.7881842,46.1637725,100
Dickson,23.6261842,74.8494161,31.0369069,100
Dobell,25.7674394,50.053689,42.7488963,100
Dunkley,27.5332823,53.6642208,52.2766623,100
Durack,22.3894425,86.8135811,15.4491438,100
Eden-Monaro,30.9931875,55.1582181,48.663834,100
Fadden,21.9582838,85.4873549,14.4878081,100
Fairfax,26.5248225,75.2076332,34.0717272,100
Farrer,22.9444371,72.2284756,27.7623375,100
Fenner,30.741585,42.8868366,56.7208158,100
Fisher,26.2206969,74.4141227,30.8838877,100
Flinders,32.424116,58.9442606,48.7749882,100
Flynn,11.6714719,84.9910011,7.4136662,100
Forde,17.6878759,74.6044657,21.8012846,100
Forrest,26.8073995,76.7379428,29.6253922,100
Fowler,15.7754616,33.0508567,50.6877834,100
Franklin,29.3487068,34.4116066,67.8661977,100
Fraser,35.3845411,18.1688898,81.4201365,100
Fremantle,33.0924728,49.010412,58.3009495,100
Gellibrand,32.7305521,39.1827192,68.1900899,100
Gilmore,30.1563478,47.749133,52.0607483,100
Gippsland,20.2781978,69.1203766,30.8358646,100
Goldstein,37.3987804,73.2980628,44.7967087,100
Gorton,25.5133789,44.2419794,49.7583688,100
Grayndler,43.1331823,12.4148061,91.5473466,100
Greenway,22.4295266,57.835248,39.2189967,100
Grey,23.3493702,77.5481591,21.221288,100
Griffith,31.8949715,56.6530699,56.1470515,100
Groom,19.606557,90.5951637,10.7881521,100
Hasluck,28.2047483,69.343501,36.5776981,100
Hawke*,19.0855124,46.6931102,50.5103896,100
Herbert,20.3243566,71.2926565,25.9796478,100
Higgins,37.0875661,62.9356319,54.7955699,100
Hindmarsh,27.4539517,49.9159512,54.7472888,100
Hinkler,15.0775486,80.7550132,14.7033399,100
Holt,23.7163433,53.7344049,42.3966812,100
Hotham,30.5785583,48.2682006,55.8413404,100
Hughes,28.5621224,68.343764,35.1507605,100
Hume,26.3781257,65.7306894,29.998334,100
Hunter,22.5633389,55.5585864,35.5746626,100
Indi,24.7444452,61.8650048,44.2218922,100
Isaacs,33.7744702,55.9731846,55.6014754,100
Jagajaga,34.5779119,44.9823669,61.2663269,100
Kennedy,17.4627325,68.7760968,33.7804113,100
Kingsford Smith,32.9153415,46.7815609,62.2668258,100
Kingston,24.8439892,40.5174268,55.9611028,100
Kooyong,40.3118199,65.6534553,52.0965925,100
La Trobe,21.5976977,72.6378098,31.4674396,100
Lalor,23.413038,43.1275319,53.5994823,100
Leichhardt,22.6242893,60.5851022,42.3949116,100
Lilley,27.1752602,62.9540815,44.2709637,100
Lindsay,20.5687616,54.3270735,34.3674137,100
Lingiari,24.809731,56.4935289,47.3469293,100
Longman,19.1207602,65.1440251,27.9958436,100
Lyne,24.3660105,63.9388111,33.148784,100
Lyons,21.2094174,56.2715422,42.8729076,100
Macarthur,20.2427076,51.4658837,39.2118005,100
Mackellar,37.1944428,69.1293495,41.0444532,100
Macnamara,36.9457342,48.2063263,70.0403139,100
Macquarie,29.812526,41.6194761,52.1095446,100
Makin,20.1178475,51.9188594,46.0820915,100
Mallee,18.7825363,67.6037696,33.8676608,100
Maranoa,14.3762014,100,0,100
Maribyrnong,32.206278,36.7471516,67.9666859,100
Mayo,31.1619125,57.3025268,53.5215178,100
McEwen,31.0746657,53.9137652,52.1316495,100
McMahon,25.9757096,54.7194554,35.2483985,100
McPherson,23.5479532,74.6198782,32.8743227,100
Melbourne,45.6884618,17.1143181,94.0199202,100
Menzies,29.0192966,68.358758,41.4148523,100
Mitchell,22.6227032,90.4677646,17.5367198,100
Monash,22.6403413,64.1125136,39.9355912,100
Moncrieff,22.3813919,86.0422097,21.7226475,100
Moore,26.9314025,82.8279373,26.9066701,100
Moreton,30.1199889,50.386526,53.3638319,100
New England,26.6631651,68.3612551,28.6864147,100
Newcastle,32.5336739,33.6291114,68.174894,100
Nicholls,20.6199422,79.3927829,18.3323077,100
North Sydney,38.877549,73.1513489,44.2762231,100
O'Connor,23.7779868,84.2666487,18.8509169,100
Oxley,24.4005561,60.2270597,42.5770292,100
Page,25.2104485,40.9651121,50.1195144,100
Parkes,17.4846214,81.4422737,11.7987433,100
Parramatta,25.514161,51.8980177,46.0034501,100
Paterson,22.0611767,54.8383743,35.9782079,100
Pearce,20.070024,71.1197869,25.7026423,100
Perth,30.2852251,53.4392998,56.0408067,100
Petrie,20.4415506,69.8080734,28.2038687,100
Rankin,18.026832,59.8977777,36.3067457,100
Reid,28.9107914,58.7833317,46.5390542,100
Richmond,34.3646931,34.5379439,63.9774337,100
Riverina,17.7027818,83.6310433,15.0833658,100
Robertson,29.166845,51.0176686,48.4711411,100
Ryan,30.0539787,66.8051314,45.0064651,100
Scullin,23.4826702,30.9608497,62.647367,100
Shortland,24.2773538,50.8863282,48.2405337,100
Solomon,24.4190975,57.4931222,49.6930768,100
Spence,14.9718656,37.058478,50.7332473,100
Sturt,29.1643139,68.2654995,43.4432271,100
Swan,28.2188643,65.0329181,41.608171,100
Sydney,39.8314798,33.3376322,79.3648472,100
Tangney,30.2998353,80.7861448,31.2609216,100
Wannon,25.4553266,64.4384483,40.6498263,100
Warringah,39.9974835,70.855226,53.6196144,100
Watson,30.6227647,28.8061395,67.8449394,100
Wentworth,42.4293522,73.1083227,51.7978143,100
Werriwa,19.244087,52.6337547,43.2653468,100
Whitlam,27.6422611,38.1714585,57.1942112,100
Wide Bay,21.0141444,73.5182813,26.8383816,100
Wills,41.6523852,0,100,100
Wright,20.5421275,80.8170254,21.7517955,100
